OH	INT	oh
MY	NAM	MY
GOOOOOOOD	NAM	GOOOOOOOD
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
THIS	NAM	THIS
MOVIE	NAM	MOVIE
WAS	NAM	WAS
JUST	NAM	JUST
AWFUL	NAM	AWFUL
.	SENT	.
Jamais	ADV	jamais
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
eu	VER:pper	avoir
,	PUN	,
auparavant	PRP	auparavant
le	DET:ART	le
sentiment	NOM	sentiment
d'	PRP	de
avoir	VER:infi	avoir
autant	ADV	autant
,	PUN	,
été	VER:pper	être
pris	VER:pper	prendre
pour	PRP	pour
un	DET:ART	un
con	NOM	con
par	PRP	par
un	DET:ART	un
cinéaste	NOM	cinéaste
,	PUN	,
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
du	PRP:det	du
cinoche	NOM	cinoche
.	SENT	.
Je	PRO:PER	je
l'	PRO:PER	la|le
avoue	VER:pres	avouer
et	KON	et
j'	PRO:PER	je
en	PRO:PER	en
suis	VER:pres	suivre|être
pas	ADV	pas
fier	VER:infi	fier
,	PUN	,
je	PRO:PER	je
fais	VER:pres	faire
désormais	ADV	désormais
parti	VER:pper	partir
de	PRP	de
ces	PRO:DEM	ce
quelques	PRO:IND	quelque
milliers	NOM	millier
d'	PRP	de
abrutis	NOM	abruti
,	PUN	,
qui	PRO:REL	qui
ont	VER:pres	avoir
payé	VER:pper	payer|payer
,	PUN	,
pour	PRP	pour
visionner	VER:infi	visionner
CE	ABR	CE_
GROS	NAM	GROS
CACA	NAM	CACA
BIEN	NAM	BIEN
BOUSEUX	NAM	BOUSEUX
.	SENT	.
Si	KON	si
vous	PRO:PER	vous
vous	PRO:PER	vous
sentez	VER:pres	sentir
tenté	VER:pper	tenter
pour	PRP	pour
voir	VER:infi	voir
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
je	PRO:PER	je
vous	PRO:PER	vous
conseille	VER:pres	conseiller
de	PRP	de
passer	VER:infi	passer
votre	DET:POS	votre
chemin	NOM	chemin
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
vaut	VER:pres	valoir
franchement	ADV	franchement
pas	ADV	pas
la	DET:ART	le
peine	NOM	peine
.	SENT	.
AMES	NAM	AMES
SENSIBLES	NAM	SENSIBLES
S'	NAM	S'
ABSTENIR	NAM	ABSTENIR
,	PUN	,
CE	ABR	CE_
FILM	ABR	FILM
EST	NAM	Est
STRICTEMENT	NAM	STRICTEMENT
RESERVE	NAM	RESERVE
AUX	NAM	AUX
-	PUN	-
DE	ABR	DE
12	NUM	@card@
ANS	NOM	an
.	SENT	.
