Mr	ABR	monsieur
Besson	NAM	Besson
doit	VER:pres	devoir
manquer	VER:infi	manquer
d'	PRP	de
argent	NOM	argent
:	PUN	:
son	DET:POS	son
"	PUN:cit	"
film	NOM	film
"	PUN:cit	"
est	VER:pres	être
une	DET:ART	un
bande	NOM	bande
annonce	VER:pres	annoncer
pour	PRP	pour
le	DET:ART	le
numéro	NOM	numéro
3.	PRO:REL	@ord@
Pas	VER:subi	Pas
la	DET:ART	le
moindre	ADJ	moindre
action	NOM	action
,	PUN	,
pas	ADV	pas
de	PRP	de
combat	NOM	combat
minimoys	NOM	minimoys
contre	PRP	contre
maltazar	NOM	maltazar
,	PUN	,
rien	NOM	rien
!	SENT	!
Résumé	VER:pper	résumer
:	PUN	:
Arthur	NAM	Arthur
reçoit	VER:pres	recevoir
un	DET:ART	un
SOS	NOM	SOS
des	PRP:det	du
Minimoys	NAM	Minimoys
,	PUN	,
il	PRO:PER	il
part	VER:pres	partir
les	PRO:PER	la|le
retrouver	VER:infi	retrouver
et	KON	et
quand	KON	quand
il	PRO:PER	il
arrive	VER:pres	arriver
il	PRO:PER	il
s'	PRO:PER	se
aperçoit	VER:pres	apercevoir
que	KON	que
le	DET:ART	le
SOS	NOM	SOS
venait	VER:impf	venir
de	PRP	de
Maltazar	NAM	Maltazar
qui	PRO:REL	qui
passe	VER:pres	passer
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
réel	ADJ	réel
donc	ADV	donc
prend	VER:pres	prendre
grandeur	NOM	grandeur
humaine	ADJ	humain
.	SENT	.
Et	KON	et
là	ADV	là
on	PRO:PER	on
s'	PRO:PER	se
attend	VER:pres	attendre
à	PRP	à
un	DET:ART	un
combat	NOM	combat
mais	KON	mais
rien	NOM	rien
du	PRP:det	du
tout	NOM	tout
,	PUN	,
...	PUN	...
on	PRO:PER	on
lit	VER:pres	lire
seulement	ADV	seulement
"	PUN:cit	"
à	PRP	à
suivre	VER:infi	suivre
"	PUN:cit	"
sur	PRP	sur
l'	DET:ART	le
écran	NOM	écran
!	SENT	!
1ère	NUM	1er|1ère
réaction	NOM	réaction
:	PUN	:
on	PRO:PER	on
se	PRO:PER	se
dit	VER:pres	dire
"	PUN:cit	"
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
blague	NOM	blague
;	PUN	;
la	DET:ART	le
suite	NOM	suite
c'	PRO:DEM	ce
est	VER:pres	être
tout	ADV	tout
de	PRP	de
suite	NOM	suite
!	SENT	!
"	PUN:cit	"
mais	KON	mais
non	ADV	non
c'	PRO:DEM	ce
est	VER:pres	être
fini	VER:pper	finir
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
décevant	ADJ	décevant
Personnellement	NOM	Personnellement
je	PRO:PER	je
n'	ADV	ne
emmènerai	VER:futu	emmener
pas	ADV	pas
mes	DET:POS	mon
enfants	NOM	enfant
voir	VER:infi	voir
le	DET:ART	le
3	NUM	@card@
car	KON	car
je	PRO:PER	je
ne	ADV	ne
cautionne	VER:pres	cautionner
pas	ADV	pas
un	DET:ART	un
tel	PRO:DEM	tel
"	PUN:cit	"
foutage	NOM	foutage
de	PRP	de
gueule	NOM	gueule
"	PUN:cit	"
surtout	ADV	surtout
quand	KON	quand
on	PRO:PER	on
connait	VER:pres	connaître
le	DET:ART	le
prix	NOM	prix
d'	PRP	de
une	DET:ART	un
place	NOM	place
de	PRP	de
cinéma	NOM	cinéma
et	KON	et
le	DET:ART	le
budget	NOM	budget
que	KON	que
cela	PRO:DEM	cela
représente	VER:pres	représenter
pour	PRP	pour
une	DET:ART	un
famille	NOM	famille
!	SENT	!
!	SENT	!
!	SENT	!
