Ca	NAM	Ca
ne	ADV	ne
vaut	VER:pres	valoir
pas	ADV	pas
le	DET:ART	le
mission	NOM	mission
cléopâtre	ADJ	cléopâtre
;	PUN	;
mais	KON	mais
le	DET:ART	le
film	NOM	film
est	VER:pres	être
assez	ADV	assez
drole	ADJ	drole
,	PUN	,
mais	KON	mais
si	KON	si
les	DET:ART	le
gags	NOM	gag
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
trés	ADJ	trés
fins	ADJ	fin
et	KON	et
trés	ADJ	trés
recherchés	VER:pper	rechercher
;	PUN	;
bref	ADV	bref
un	DET:ART	un
film	NOM	film
à	PRP	à
voir	VER:infi	voir
quand	KON	quand
on	PRO:PER	on
a	VER:pres	avoir
rien	ADV	rien
à	PRP	à
faire	VER:infi	faire
,	PUN	,
ca	VER:simp	ca
detend	NOM	detend
;	PUN	;
par	PRP	par
contre	PRP	contre
le	DET:ART	le
scenario	NOM	scenario
est	VER:pres	être
trés	ADJ	trés
mal	ADV	mal
ficelé	VER:pper	ficeler
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
un	DET:ART	un
film	NOM	film
mais	KON	mais
un	DET:ART	un
empilage	NOM	empilage
de	PRP	de
scène	NOM	scène
sans	PRP	sans
vraiment	ADV	vraiment
de	PRP	de
lien	NOM	lien
.	SENT	.
niveau	NOM	niveau
acteur	NOM	acteur
,	PUN	,
delon	NOM	delon
fait	VER:pres	faire
son	DET:POS	son
autoderision	NOM	autoderision
avec	PRP	avec
brio	NOM	brio
;	PUN	;
on	PRO:PER	on
retrouve	VER:pres	retrouver
le	DET:ART	le
poelvoorde	NOM	poelvoorde
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
aime	VER:pres	aimer
;	PUN	;
cornillac	NOM	cornillac
s'	KON	si
en	PRO:PER	en
sort	VER:pres	sortir
plutôt	ADV	plutôt
bien	ADV	bien
même	ADV	même
si	ADV	si
pour	PRP	pour
certaine	PRO:IND	certain
scène	NOM	scène
clavier	NOM	clavier
aurait	VER:cond	avoir
été	VER:pper	être
bien	ADV	bien
mieux	ADV	mieux
;	PUN	;
franck	NOM	franck
dubosc	ADJ	dubosc
et	KON	et
semoun	NOM	semoun
pourrissent	VER:pres	pourrir
le	DET:ART	le
film	NOM	film
en	PRP	en
faisant	VER:ppre	faire
leur	DET:POS	leur
propre	ADJ	propre
pub	NOM	pub
(	PUN	(
allusion	NOM	allusion
à	PRP	à
camping	NOM	camping
;	PUN	;
le	DET:ART	le
"	PUN:cit	"
pour	PRP	pour
toi	PRO:PER	toi
public	NOM	public
"	PUN:cit	"
ressort	VER:pres	ressortir
dés	NOM	dé
que	KON	que
dubosc	NOM	dubosc
ouvre	VER:pres	ouvrer|ouvrir
la	DET:ART	le
bouche)bref	NOM	bouche)bref
un	DET:ART	un
film	NOM	film
a	VER:pres	avoir
voir	VER:infi	voir
,	PUN	,
mais	KON	mais
qui	PRO:REL	qui
ne	ADV	ne
restera	VER:futu	rester
pas	ADV	pas
dans	PRP	dans
les	DET:ART	le
anales	ADJ	anal
...	PUN	...
