Gare	INT	gare
!	SENT	!
à	PRP	à
ceux	PRO:DEM	celui
qui	PRO:REL	qui
n'	ADV	ne
aiment	VER:pres	aimer
pas	ADV	pas
la	DET:ART	le
banalité	NOM	banalité
.	SENT	.
Il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
rien	ADV	rien
d'	PRP	de
original	ADJ	original
dans	PRP	dans
le	DET:ART	le
film	NOM	film
,	PUN	,
à	PRP	à
part	NOM	part
(	PUN	(
j'	PRO:PER	je
essaie	VER:pres	essayer
d'	PRP	de
éviter	VER:infi	éviter
de	PRP	de
spoiler	VER:infi	spoiler
)	PUN	)
la	DET:ART	le
façon	NOM	façon
dont	PRO:REL	dont
les	DET:ART	le
aliens	NOM	aliens
communiquent	VER:pres	communiquer
avec	PRP	avec
leur	DET:POS	leur
planète	NOM	planète
et	KON	et
les	DET:ART	le
animaux	NOM	animal
.	SENT	.
Mais	KON	mais
tout	PRO:IND	tout
le	DET:ART	le
reste	NOM	reste
n'	ADV	ne
est	VER:pres	être
que	KON	que
guimauve	NOM	guimauve
destinée	VER:pper	destiner
aux	PRP:det	au
consommateurs	NOM	consommateur
aguerris	VER:pper	aguerrir
en	PRP	en
quête	NOM	quête
de	PRP	de
réconfort	NOM	réconfort
intellectuel	ADJ	intellectuel
.	SENT	.
Ne	ADV	ne
vous	PRO:PER	vous
en	PRO:PER	en
faites	VER:pres	faire
pas	ADV	pas
,	PUN	,
vous	PRO:PER	vous
ne	ADV	ne
serez	VER:futu	être
pas	ADV	pas
dépassés	VER:pper	dépasser
!	SENT	!
Je	PRO:PER	je
mets	VER:pres	mettre
0.5	NUM	@card@
point	NOM	point
pour	PRP	pour
la	DET:ART	le
3D	NOM	3D
:	PUN	:
Il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
un	DET:ART	un
seul	ADJ	seul
moment	NOM	moment
où	PRO:REL	où
on	PRO:PER	on
se	PRO:PER	se
dit	VER:pres	dire
"	PUN:cit	"
tiens	VER:pres	tenir
,	PUN	,
on	PRO:PER	on
voit	VER:pres	voir
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
ajouté	VER:pper	ajouter
par	PRP	par
ordinateur	NOM	ordinateur
"	PUN:cit	"
.	SENT	.
De	PRP	de
ce	PRO:DEM	ce
côté-là	NOM	côté-là
,	PUN	,
rien	NOM	rien
à	PRP	à
redire	VER:infi	redire
...	PUN	...
