Chacun	PRO:IND	chacun
ses	DET:POS	son
gouts	NOM	gouts
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
vrai	ADJ	vrai
,	PUN	,
mais	KON	mais
attention	NOM	attention
a	VER:pres	avoir
ou	KON	ou
vous	PRO:PER	vous
placer	VER:infi	placer
votre	DET:POS	votre
argent	NOM	argent
.	SENT	.
Ne	ADV	ne
le	PRO:PER	le
gacher	VER:infi	gacher
pas	ADV	pas
pour	PRP	pour
un	DET:ART	un
film	NOM	film
aussi	ADV	aussi
...	PUN	...
banal	ADJ	banal
.	SENT	.
On	PRO:PER	on
croit	VER:pres	croire
que	KON	que
l'	PRO:PER	la|le
on	PRO:PER	on
va	VER:pres	aller
beaucoup	ADV	beaucoup
rire	VER:infi	rire
grace	NOM	grace
a	VER:pres	avoir
Michael	NAM	Michael
Young	NAM	Young
,	PUN	,
mais	KON	mais
non	ADV	non
pas	ADV	pas
du	PRP:det	du
tout	NOM	tout
.	SENT	.
Ce	PRO:DEM	ce
film	NOM	film
ets	VER:futu	ets
rasoir	NOM	rasoir
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
jamais	ADV	jamais
pu	VER:pper	pouvoir
regarder	VER:infi	regarder
la	DET:ART	le
fin	NOM	fin
je	PRO:PER	je
mettais	VER:impf	mettre
deja	NOM	deja
endormi	VER:pper	endormir
avant	ADV	avant
.	SENT	.
Je	PRO:PER	je
vous	PRO:PER	vous
conseille	VER:pres	conseiller
d'	PRP	de
éviter	VER:infi	éviter
de	PRP	de
louer	VER:infi	louer
ou	KON	ou
acheter	VER:infi	acheter
ce	PRO:DEM	ce
DVD	ADJ	DVD
Sauf	NAM	Sauf
si	KON	si
vous	PRO:PER	vous
aimez	VER:pres	aimer
l'	DET:ART	le
humour	NOM	humour
puéril	ADJ	puéril
quoique	KON	quoique
si	KON	si
on	PRO:PER	on
peut	VER:pres	pouvoir
appellé	VER:pper	appellé
sa	DET:POS	son
de	PRP	de
l'	DET:ART	le
humour	NOM	humour
.	SENT	.
Fortement	ADV	fortement
deconseillé	NOM	deconseillé
.	SENT	.
(	PUN	(
Je	PRO:PER	je
n'	ADV	ne
écris	VER:pres	écrire
que	KON	que
tres	VER:subi	tres
peu	ADV	peu
de	PRP	de
critiques	NOM	critique
,	PUN	,
mais	KON	mais
la	DET:ART	le
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
urgence	NOM	urgence
)	PUN	)
