Certe	NAM	Certe
c	VER:futu	c
magnifique	ADJ	magnifique
!	SENT	!
surtou	NOM	surtou
en	PRP	en
3D	NOM	3D
.	SENT	.
Mais	KON	mais
il	PRO:PER	il
faut	VER:pres	falloir
pa	VER:pper	pa
exagérer	VER:infi	exagérer
,	PUN	,
a	VER:pres	avoir
part	NOM	part
les	DET:ART	le
decor	NOM	decor
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
et	KON	et
assez	ADV	assez
simple	ADJ	simple
.	SENT	.
2h45	NOM	2h45
pour	PRP	pour
sa	DET:POS	son
,	PUN	,
personnelmen	NOM	personnelmen
je	PRO:PER	je
me	PRO:PER	me
sui	VER:subi	sui
ennuyer	VER:infi	ennuyer
profondement	NOM	profondement
la	DET:ART	le
première	NUM	premier
heure	NOM	heure
.	SENT	.
C	NUM	C
long	NOM	long
a	VER:pres	avoir
demarer	VER:infi	demarer
.	SENT	.
L'	DET:ART	le
afrontemen	NOM	afrontemen
final	ADJ	final
reste	VER:pres	rester
spectaculaire	ADJ	spectaculaire
.	SENT	.
Mais	KON	mais
le	PRO:PER	le
3d	VER:futu	3d
ma	DET:POS	mon
quelque	PRO:IND	quelque
peu	ADV	peu
deçu	NOM	deçu
,	PUN	,
je	PRO:PER	je
trouve	VER:pres	trouver
qu'	KON	que
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
peut	VER:pres	pouvoir
.	SENT	.
On	PRO:PER	on
es	VER:pres	être
loin	ADV	loin
d'	PRP	de
une	DET:ART	un
révolution	NOM	révolution
CINEMATGRAPHIQUE	ADJ	CINEMATGRAPHIQUE
!	SENT	!
Du	PRP:det	du
coup	NOM	coup
,	PUN	,
se	PRO:PER	se
film	NOM	film
a	VER:pres	avoir
quelque	PRO:IND	quelque
longueur	NOM	longueur
,	PUN	,
et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
et	KON	et
visible	ADJ	visible
des	PRP:det	du
le	DET:ART	le
debut	NOM	debut
!	SENT	!
Heureusement	ADV	heureusement
que	KON	que
je	PRO:PER	je
les	PRO:PER	la|le
vu	VER:pper	voir
en	PRP	en
3D	NOM	3D
prcque	ADJ	prcque
sinon	KON	sinon
je	PRO:PER	je
pense	VER:pres	penser
que	KON	que
je	PRO:PER	je
me	PRO:PER	me
serai	VER:futu	être
ennuyer	VER:infi	ennuyer
vraimen	NOM	vraimen
plus	ADV	plus
!	SENT	!
