Ahahah	NAM	Ahahah
,	PUN	,
le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
va	VER:pres	aller
encore	ADV	encore
passer	VER:infi	passer
pour	KON	pour
de	PRP	de
la	DET:ART	le
crotte	NOM	crotte
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
entier	ADJ	entier
,	PUN	,
tout	PRO:IND	tout
ça	PRO:DEM	cela
à	PRP	à
cause	NOM	cause
d'	PRP	de
un	DET:ART	un
énième	ADJ	énième
navet	NOM	navet
,	PUN	,
juste	ADJ	juste
bon	ADJ	bon
à	PRP	à
nous	PRO:PER	nous
dire	VER:infi	dire
"	PUN:cit	"
waaaa	NOM	waaaa
,	PUN	,
y'a	VER:simp	y'a
tout	ADV	tout
plein	ADJ	plein
de	PRP	de
stars	NOM	star
aussi	ADV	aussi
ridicules	ADJ	ridicule
que	KON	que
monsieur	NOM	monsieur
le	DET:ART	le
réalisateur	NOM	réalisateur
.	SENT	.
N'	ADV	ne
allez	VER:pres	aller
pas	ADV	pas
voir	VER:infi	voir
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
il	PRO:PER	il
fait	VER:pres	faire
honte	NOM	honte
au	PRP:det	au
cinéma	NOM	cinéma
...	PUN	...
une	DET:ART	un
fois	NOM	foi|fois
de	PRP	de
plus	ADV	plus
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
faut	VER:pres	falloir
pas	ADV	pas
s'	PRO:PER	se
étonner	VER:infi	étonner
que	KON	que
les	DET:ART	le
étrangers	NOM	étranger
pensent	VER:pres	penser
que	KON	que
la	DET:ART	le
culture	NOM	culture
française	ADJ	français
est	VER:pres	être
morte	VER:pper	mourir
avec	PRP	avec
des	PRP:det	du
réalisateurs	NOM	réalisateur
,	PUN	,
acteurs	NOM	acteur
et	KON	et
producteur	NOM	producteur
pareil	ADJ	pareil
.	SENT	.
Enfin	ADV	enfin
,	PUN	,
qui	PRO:REL	qui
croyait	VER:impf	croire
en	PRP	en
là	ADV	là
qualité	NOM	qualité
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
à	PRP	à
part	NOM	part
les	DET:ART	le
parents	NOM	parent|parents
de	PRP	de
ses	DET:POS	son
derniers	NOM	dernier
.	SENT	.
