Oh	INT	oh
mon	DET:POS	mon
Dieu	NOM	Dieu
,	PUN	,
horrible	ADJ	horrible
!	SENT	!
!	SENT	!
Tant	ADV	tant
de	PRP	de
critiques	NOM	critique
positives	ADJ	positif
pour	PRP	pour
ça	PRO:DEM	cela
...	PUN	...
Ce	VER:simp	Ce
film	NOM	film
ne	ADV	ne
ressemble	VER:pres	ressembler
en	PRP	en
rien	NOM	rien
à	PRP	à
un	DET:ART	un
"	PUN:cit	"
Die	NAM	Die
Hard	NAM	Hard
"	PUN:cit	"
.	SENT	.
John	NAM	John
Mc	NAM	Mc
Lane	NAM	Lane
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
était	VER:impf	être
,	PUN	,
mais	KON	mais
où	PRO:REL	où
a	VER:pres	avoir
t	VER:pper	t
-il	PRO:PER	il
mis	VER:pper	mettre
son	DET:POS	son
debardeur	NOM	debardeur
blanc	ADJ	blanc
qui	PRO:REL	qui
finissait	VER:impf	finir
maculé	VER:pper	maculer
de	PRP	de
sang	NOM	sang
et	KON	et
de	PRP	de
crasse	NOM	crasse
dans	PRP	dans
les	DET:ART	le
précédents	ADJ	précédent
Die	NAM	Die
Hard	NAM	Hard
?	SENT	?
Où	PRO:REL	où
est	VER:pres	être
passé	VER:pper	passer
son	DET:POS	son
humour	NOM	humour
?	SENT	?
Où	ADV	où
son	DET:POS	son
passé	NOM	passé
les	DET:ART	le
"	PUN:cit	"
méchants	NOM	méchant
"	PUN:cit	"
charismatiques	ADJ	charismatique
(	PUN	(
palme	NOM	palme
d'	PRP	de
or	NOM	or
à	PRP	à
Jeremy	NAM	Jeremy
Irons	NAM	Irons
dans	PRP	dans
Die	NAM	Die
Hard	NAM	Hard
3	NUM	@card@
)	PUN	)
?	SENT	?
On	PRO:PER	on
nous	PRO:PER	nous
sert	VER:pres	servir
un	DET:ART	un
mix	NOM	mix
rechauffé	VER:pper	rechauffer
des	PRP:det	du
précédents	ADJ	précédent
Die	NAM	Die
Hard	NAM	Hard
et	KON	et
de	PRP	de
quelques	PRO:IND	quelque
films	NOM	film
d'	PRP	de
actions	NOM	action
.	SENT	.
Le	DET:ART	le
film	NOM	film
est	VER:pres	être
complétement	NOM	complétement
nul	ADJ	nul
.	SENT	.
Le	DET:ART	le
mechant	NOM	mechant
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
crédible	ADJ	crédible
une	DET:ART	un
seconde	NUM	second
,	PUN	,
McLane	NOM	McLane
non	ADV	non
plus	ADV	plus
.	SENT	.
J'	PRO:PER	je
espere	NOM	espere
que	PRO:REL	que
Bruce	NAM	Bruce
Willis	NAM	Willis
a	VER:pres	avoir
touché	VER:pper	toucher
un	DET:ART	un
bon	ADJ	bon
cachet	NOM	cachet
pour	PRP	pour
tourner	VER:infi	tourner
dans	PRP	dans
ce	PRO:DEM	ce
film	NOM	film
(	PUN	(
également	ADV	également
pour	PRP	pour
Otage	NAM	Otage
)	PUN	)
car	KON	car
il	PRO:PER	il
a	VER:pres	avoir
déçu	VER:pper	décevoir
les	DET:ART	le
fan	NOM	fan
de	PRP	de
Die	NAM	Die
Hard	NAM	Hard
.	SENT	.
