Navrant	VER:ppre	navrer
.	SENT	.
Comment	ADV	comment
peut	VER:pres	pouvoir
-on	PRO:PER	on
dépenser	VER:infi	dépenser
autant	ADV	autant
d'	PRP	de
argent	NOM	argent
pour	PRP	pour
sortir	VER:infi	sortir
une	DET:ART	un
bouse	NOM	bouse
pareille	ADJ	pareil
?	SENT	?
J'	PRO:PER	je
aime	VER:pres	aimer
un	DET:ART	un
certain	PRO:IND	certain
ciné	NOM	ciné
populaire	ADJ	populaire
(	PUN	(
les	DET:ART	le
visiteurs	NOM	visiteur
,	PUN	,
le	PRO:PER	le
diner	VER:infi	diner
de	PRP	de
cons	NOM	con
,	PUN	,
le	DET:ART	le
précédent	ADJ	précédent
Mission	NAM	Mission
Cléopatre	NAM	Cléopatre
très	ADV	très
drôle	ADJ	drôle
)	PUN	)
,	PUN	,
mais	KON	mais
là	ADV	là
on	PRO:PER	on
est	VER:pres	être
en	PRP	en
présence	NOM	présence
d'	PRP	de
un	DET:ART	un
navet	NOM	navet
à	PRP	à
la	DET:ART	le
façon	NOM	façon
Max	NAM	Max
Pecas	NAM	Pecas
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
encore	ADV	encore
pire	ADJ	pire
que	KON	que
les	PRO:PER	la|le
bronzés	VER:pper	bronzer
3	NUM	@card@
(	PUN	(
ça	PRO:DEM	cela
vous	PRO:PER	vous
situe	VER:pres	situer
le	DET:ART	le
niveau	NOM	niveau
!	SENT	!
)	PUN	)
ça	PRO:DEM	cela
marchera	VER:futu	marcher
peut-etre	NOM	peut-etre
en	PRP	en
France	NAM	France
(	PUN	(
et	KON	et
encore	ADV	encore
,	PUN	,
le	DET:ART	le
rouleau	NOM	rouleau
compresseur	ADJ	compresseur
marketing	NOM	marketing
a	VER:pres	avoir
ses	DET:POS	son
limites	NOM	limite
)	PUN	)
,	PUN	,
mais	KON	mais
si	KON	si
on	PRO:PER	on
compte	VER:pres	compter
là-dessus	ADV	là-dessus
pour	PRP	pour
exporter	VER:infi	exporter
le	DET:ART	le
ciné	NOM	ciné
français	ADJ	français
...	PUN	...
J'	NAM	J'
étais	VER:impf	être
tellement	ADV	tellement
furax	ADJ	furax
d'	PRP	de
avoir	VER:infi	avoir
perdu	VER:pper	perdre
10	NUM	@card@
euros	NOM	euro
pour	PRP	pour
ça	PRO:DEM	cela
,	PUN	,
que	KON	que
ma	DET:POS	mon
vengeance	NOM	vengeance
prend	VER:pres	prendre
la	DET:ART	le
forme	NOM	forme
de	PRP	de
cet	PRO:DEM	ce
écrit	VER:pres	écrire
pour	PRP	pour
vous	PRO:PER	vous
dire	VER:infi	dire
simplement	ADV	simplement
:	PUN	:
N'	ADV	ne
Y	NAM	Y
ALLEZ	NAM	ALLEZ
PAS	NAM	PAS
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
même	ADV	même
pas	ADV	pas
drôle	ADJ	drôle
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
long	ADJ	long
,	PUN	,
les	DET:ART	le
images	NOM	image
sont	VER:pres	être
moches	ADJ	moche
et	KON	et
truffées	VER:pper	truffer
d"effets	NOM	d"effets
spéciaux	ADJ	spécial
bas	ADJ	bas
de	PRP	de
gamme	NOM	gamme
,	PUN	,
le	DET:ART	le
scénario	NOM	scénario
est	VER:pres	être
sans	PRP	sans
intérêt	NOM	intérêt
et	KON	et
complètement	ADV	complètement
décousu	VER:pper	découdre
.	SENT	.
Les	DET:ART	le
gens	NOM	gens
qui	PRO:REL	qui
ont	VER:pres	avoir
produit	VER:pper	produire
ce	PRO:DEM	ce
machin	NOM	machin
méritent	VER:pres	mériter
vraiment	ADV	vraiment
de	PRP	de
se	PRO:PER	se
prendre	VER:infi	prendre
un	DET:ART	un
bide	NOM	bide
financier	ADJ	financier
colossal	ADJ	colossal
.	SENT	.
