Prenant	VER:ppre	prendre
mon	DET:POS	mon
courage	NOM	courage
a	VER:pres	avoir
deux	NUM	deux
mains	NOM	main
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
payé	VER:pper	payer|payer
ma	DET:POS	mon
place	NOM	place
pour	PRP	pour
Asterix	NAM	Asterix
.	SENT	.
Décu	NAM	Décu
,	PUN	,
nul	ADJ	nul
,	PUN	,
côté	NOM	côté
scénario	NOM	scénario
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
du	PRP:det	du
se	PRO:PER	se
fouler	VER:infi	fouler
le	DET:ART	le
poignet	NOM	poignet
pour	PRP	pour
cette	PRO:DEM	ce
histoire	NOM	histoire
sans	PRP	sans
queue	NOM	queue
ni	KON	ni
tête	NOM	tête
,	PUN	,
avec	PRP	avec
leurs	DET:POS	leur
stars	NOM	star
a	VER:pres	avoir
la	DET:ART	le
fin	NOM	fin
.	SENT	.
Reste	VER:pres	rester
l'	DET:ART	le
autoderision	NOM	autoderision
de	PRP	de
Delon	NAM	Delon
avec	PRP	avec
son	DET:POS	son
"	PUN:cit	"
AVE	NAM	AVE
MOI	NAM	MOI
"	PUN:cit	"
,	PUN	,
mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
tout	ADV	tout
,	PUN	,
même	ADV	même
pas	ADV	pas
un	DET:ART	un
sourire	NOM	sourire
n'	ADV	ne
est	VER:pres	être
sorti	VER:pper	sortir
,	PUN	,
mais	KON	mais
les	DET:ART	le
'qu'est	NOM	'qu'est
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
nul	ADJ	nul
'	PUN	'
ça	PRO:DEM	cela
s'	PRO:PER	se
est	VER:pres	être
sorti	VER:pper	sortir
de	PRP	de
ma	DET:POS	mon
bouche	NOM	bouche
par	PRP	par
contre	NOM	contre
,	PUN	,
mais	KON	mais
le	DET:ART	le
public	NOM	public
commence	VER:pres	commencer
un	DET:ART	un
peu	ADV	peu
à	PRP	à
se	PRO:PER	se
lasser	VER:infi	lasser
,	PUN	,
avec	PRP	avec
-54	NUM	@card@
%	SYM	%
lors	ADV	lors
de	PRP	de
sa	DET:POS	son
2eme	ADJ	2eme
semaine	NOM	semaine
,	PUN	,
on	PRO:PER	on
peut	VER:pres	pouvoir
esperer	VER:infi	esperer
les	DET:ART	le
6-7	NUM	@card@
millions	NOM	million
mais	KON	mais
pas	ADV	pas
plus	ADV	plus
.	SENT	.
En	PRP	en
tout	ADV	tout
ce	PRO:DEM	ce
film	NOM	film
c'	PRO:DEM	ce
est	VER:pres	être
de	PRP	de
la	DET:ART	le
daube	NOM	daube
,	PUN	,
ou	KON	ou
plutot	NOM	plutot
un	DET:ART	un
film	NOM	film
marketing	NOM	marketing
