Oui	INT	oui
techniquement	ADV	techniquement
,	PUN	,
le	DET:ART	le
film	NOM	film
est	VER:pres	être
vraiment	ADV	vraiment
bluffant	VER:ppre	bluffer
.	SENT	.
Il	PRO:PER	il
tient	VER:pres	tenir
d'ailleurs	ADV	d'ailleurs
plus	ADV	plus
du	PRP:det	du
film	NOM	film
d'	PRP	de
animation	NOM	animation
tant	ADV	tant
les	DET:ART	le
vrais	ADJ	vrai
comédiens	NOM	comédien
y	PRO:PER	y
font	VER:pres	faire
peu	ADV	peu
d'	PRP	de
apparition	NOM	apparition
.	SENT	.
Le	DET:ART	le
relief	NOM	relief
est	VER:pres	être
lui	PRO:PER	lui
aussi	ADV	aussi
incroyable	ADJ	incroyable
.	SENT	.
J'	PRO:PER	je
ai	VER:pres	avoir
juste	ADJ	juste
un	DET:ART	un
problème	NOM	problème
avec	PRP	avec
la	DET:ART	le
direction	NOM	direction
artistique	ADJ	artistique
que	PRO:REL	que
je	PRO:PER	je
trouve	VER:pres	trouver
un	DET:ART	un
peu	ADV	peu
trop	ADV	trop
colorée	VER:pper	colorer
et	KON	et
lisse	ADJ	lisse
.	SENT	.
Un	DET:ART	un
peu	ADV	peu
de	PRP	de
rugosité	NOM	rugosité
n'	ADV	ne
aurait	VER:cond	avoir
pas	ADV	pas
fait	VER:pper	faire
de	PRP	de
mal	NOM	mal
.	SENT	.
Enfin	ADV	enfin
,	PUN	,
le	DET:ART	le
scénario	NOM	scénario
manichéen	ADJ	manichéen
et	KON	et
naïf	ADJ	naïf
,	PUN	,
mais	KON	mais
surtout	ADV	surtout
les	DET:ART	le
extra-terrestres	NOM	extra-terrestre
,	PUN	,
au	PRP:det	au
mœurs	NOM	mœurs
beaucoup	ADV	beaucoup
trop	ADV	trop
humaines	ADJ	humain
à	PRP	à
mon	DET:POS	mon
goût	NOM	goût
,	PUN	,
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
cessé	VER:pper	cesser
de	PRP	de
me	PRO:PER	me
rappeler	VER:infi	rappeler
nombre	NOM	nombre
d'	PRP	de
histoires	NOM	histoire
déjà	ADV	déjà
racontées	VER:pper	raconter
sur	PRP	sur
le	DET:ART	le
même	ADJ	même
thème	NOM	thème
(	PUN	(
comme	KON	comme
celle	PRO:DEM	celui
de	PRP	de
Pocahontas	NAM	Pocahontas
,	PUN	,
par	PRP	par
exemple	NOM	exemple
)	PUN	)
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
petit	ADJ	petit
bémol	NOM	bémol
,	PUN	,
compte	VER:pres	compter
tenu	VER:pper	tenir
de	PRP	de
la	DET:ART	le
puissance	NOM	puissance
visuelle	ADJ	visuel
de	PRP	de
l'	DET:ART	le
ensemble	NOM	ensemble
.	SENT	.
