Oui	INT	oui
j'	PRO:PER	je
ai	VER:pres	avoir
mis	VER:pper	mettre
une	DET:ART	un
étoile	NOM	étoile
,	PUN	,
pourquoi	ADV	pourquoi
?	SENT	?
car	KON	car
le	DET:ART	le
film	NOM	film
reste	VER:pres	rester
divertissant	ADJ	divertissant
.	SENT	.
Mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
absolument	ADV	absolument
tout	ADV	tout
!	SENT	!
Franchement	ADV	franchement
,	PUN	,
avec	PRP	avec
un	DET:ART	un
casting	NOM	casting
comme	KON	comme
celui	PRO:DEM	celui
la	PRO:PER	la
on	PRO:PER	on
a	VER:pres	avoir
le	DET:ART	le
droit	NOM	droit
de	PRP	de
s'	PRO:PER	se
attendre	VER:infi	attendre
à	PRP	à
autre	ADJ	autre
chose	NOM	chose
qu'	KON	que
à	PRP	à
un	DET:ART	un
défilé	NOM	défilé
de	PRP	de
people	NOM	people
.	SENT	.
Personnellement	ADV	personnellement
ce	PRO:DEM	ce
film	NOM	film
ne	ADV	ne
se	PRO:PER	se
conseil	NOM	conseil
qu'	KON	que
à	PRP	à
trois	NUM	trois
types	NOM	type
de	PRP	de
personnes	NOM	personne
:	PUN	:
les	DET:ART	le
personnes	NOM	personne
y	PRO:PER	y
allant	VER:ppre	aller
en	PRP	en
famille	NOM	famille
avec	PRP	avec
des	PRP:det	du
enfants	NOM	enfant
(	PUN	(
l'	DET:ART	le
humour	NOM	humour
leur	PRO:PER	lui
correspondra	VER:futu	correspondre
d'	PRP	de
avantage	NOM	avantage
)	PUN	)
,	PUN	,
les	DET:ART	le
personnes	NOM	personne
ayant	VER:ppre	avoir
un	DET:ART	un
abonnement	NOM	abonnement
et	KON	et
donc	ADV	donc
ne	ADV	ne
gaspilleront	VER:futu	gaspiller
que	KON	que
leur	DET:POS	leur
temps	NOM	temps
,	PUN	,
ou	KON	ou
encore	ADV	encore
ceux	PRO:DEM	celui
qui	PRO:REL	qui
pourraient	VER:cond	pouvoir
avoir	VER:infi	avoir
des	PRP:det	du
place	NOM	place
arrivant	VER:ppre	arriver
à	PRP	à
expiration	NOM	expiration
^^	ADJ	^^
.	SENT	.
Autre	ADJ	autre
aspect	NOM	aspect
je	PRO:PER	je
dirais	VER:cond	dire
titillant	VER:ppre	titiller
:	PUN	:
la	DET:ART	le
place	NOM	place
trop	ADV	trop
importante	ADJ	important
prise	NOM	prise
par	PRP	par
Monsieur	NAM	Monsieur
Delon	NAM	Delon
...	PUN	...
Seul	NOM	seul
point	ADV	point
positif	ADJ	positif
du	PRP:det	du
film	NOM	film
selon	PRP	selon
moi	PRO:PER	moi
,	PUN	,
le	DET:ART	le
nombre	NOM	nombre
hallucinant	VER:ppre	halluciner
de	PRP	de
clins	NOM	clin
d'	PRP	de
œil	NOM	œil
à	PRP	à
d'	DET:ART	de
autres	ADJ	autre
films	NOM	film
ou	KON	ou
références	NOM	référence
culturelles	ADJ	culturel
.	SENT	.
