Quelle	PRO:REL	quel
honte	NOM	honte
pour	PRP	pour
le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
d'	PRP	de
avoir	VER:infi	avoir
oser	VER:infi	oser
sortir	VER:infi	sortir
un	DET:ART	un
film	NOM	film
aussi	ADV	aussi
nul	ADJ	nul
.	SENT	.
L'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
complètement	ADV	complètement
bouleversée	VER:pper	bouleverser
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
retrouve	VER:pres	retrouver
plus	ADV	plus
celle	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
BD	ABR	BD
,	PUN	,
les	DET:ART	le
acteurs	NOM	acteur
sont	VER:pres	être
navrants	ADJ	navrant
,	PUN	,
les	DET:ART	le
gags	NOM	gag
tombent	VER:pres	tomber
tous	PRO:IND	tout
à	PRP	à
l'	DET:ART	le
eau	NOM	eau
.	SENT	.
On	PRO:PER	on
ne	ADV	ne
voit	VER:pres	voir
Astérix	NAM	Astérix
et	KON	et
Obélix	NAM	Obélix
a	VER:pres	avoir
peine	NOM	peine
20	NUM	@card@
minutes	NOM	minute
dans	PRP	dans
le	DET:ART	le
film	NOM	film
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
que	KON	que
pour	PRP	pour
Benoit	NAM	Benoit
Poelvoorde	NAM	Poelvoorde
.	SENT	.
70	NUM	@card@
%	SYM	%
de	PRP	de
scènes	NOM	scène
ne	ADV	ne
servent	VER:pres	servir
à	PRP	à
rien	ADV	rien
surtout	ADV	surtout
celles	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
fin	NOM	fin
lorsque	KON	lorsque
Zidane	NAM	Zidane
,	PUN	,
Parker	NAM	Parker
et	KON	et
Mauresmo	NAM	Mauresmo
apparaissent	VER:pres	apparaître
,	PUN	,
cela	PRO:DEM	cela
n'	ADV	ne
a	VER:pres	avoir
ni	KON	ni
queue	NOM	queue
ni	KON	ni
tête	NOM	tête
.	SENT	.
Le	DET:ART	le
seul	ADJ	seul
moment	NOM	moment
ou	KON	ou
j	NOM	j
ai	VER:pres	avoir
souri	VER:pper	sourire
un	DET:ART	un
peu	ADV	peu
c'	PRO:DEM	ce
est	VER:pres	être
lorsque	KON	lorsque
jamel	NOM	jamel
Debbouze	NAM	Debbouze
est	VER:pres	être
arrivé	VER:pper	arriver
.	SENT	.
