4	NUM	@card@
étoiles	NOM	étoile
est	VER:pres	être
la	DET:ART	le
note	NOM	note
minimale	ADJ	minimal
que	PRO:REL	que
je	PRO:PER	je
puisse	VER:subp	pouvoir
mettre	VER:infi	mettre
.	SENT	.
Au	PRP:det	au
cinéma	NOM	cinéma
,	PUN	,
en	PRO:PER	en
3D	VER:futu	3D
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
d'abord	ADV	d'abord
un	DET:ART	un
énorme	ADJ	énorme
divertissement	NOM	divertissement
,	PUN	,
une	DET:ART	un
véritable	ADJ	véritable
immersion	NOM	immersion
dans	PRP	dans
un	DET:ART	un
monde	NOM	monde
fantastique	ADJ	fantastique
au	PRP:det	au
même	ADJ	même
niveau	NOM	niveau
que	KON	que
le	DET:ART	le
Seigneur	NAM	Seigneur
des	PRP:det	du
Anneaux	NOM	anneau
en	PRP	en
intensité	NOM	intensité
(	PUN	(
merci	NOM	merci
aux	PRP:det	au
effets	NOM	effet
spéciaux	ADJ	spécial
:	PUN	:
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
que	KON	que
ça	PRO:DEM	cela
mais	KON	mais
on	PRO:PER	on
ne	ADV	ne
les	PRO:PER	la|le
voient	VER:pres	voir
pas	ADV	pas
)	PUN	)
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
spectacle	NOM	spectacle
époustouflant	ADJ	époustouflant
qui	PRO:REL	qui
prend	VER:pres	prendre
comme	ADV	comme
fond	NOM	fond
l'	DET:ART	le
écologie	NOM	écologie
et	KON	et
le	DET:ART	le
possible	ADJ	possible
sombre	ADJ	sombre
avenir	NOM	avenir
de	PRP	de
l'	DET:ART	le
homme	NOM	homme
,	PUN	,
des	PRP:det	du
thèmes	NOM	thème
rarement	ADV	rarement
abordés	VER:pper	aborder
dans	PRP	dans
du	PRP:det	du
cinéma	NOM	cinéma
aussi	ADV	aussi
populaire	ADJ	populaire
-	PUN	-
c'	PRO:DEM	ce
est	VER:pres	être
plaisant	ADJ	plaisant
.	SENT	.
A	PRP	à
noter	VER:infi	noter
également	ADV	également
les	DET:ART	le
quelques	PRO:IND	quelque
références	NOM	référence
parfois	ADV	parfois
mythlogiques	ADJ	mythlogiques
(	PUN	(
scandinave	ADJ	scandinave
,	PUN	,
chinoise	ADJ	chinois
,	PUN	,
...	PUN	...
)	PUN	)
parfois	ADV	parfois
"	PUN:cit	"
geek	NOM	geek
"	PUN:cit	"
ou	KON	ou
"	PUN:cit	"
gamer	NOM	gamer
"	PUN:cit	"
(	PUN	(
cf	NOM	cf
warcraft	NOM	warcraft
)	PUN	)
que	KON	que
j'	PRO:PER	je
apprécie	VER:pres	apprécier
mais	KON	mais
qui	PRO:REL	qui
ne	ADV	ne
gênent	VER:pres	gêner
pas	ADV	pas
le	DET:ART	le
spectateur	NOM	spectateur
non	ADV	non
avisé	ADJ	avisé
.	SENT	.
