Ca	VER:cond	Ca
me	PRO:PER	me
fait	VER:pres	faire
mal	ADV	mal
au	PRP:det	au
coeur	NOM	cœur
de	PRP	de
mettre	VER:infi	mettre
zero	NOM	zero
étoile	NOM	étoile
,	PUN	,
moi	PRO:PER	moi
qui	PRO:REL	qui
adore	VER:pres	adorer
Cornillac	NAM	Cornillac
et	KON	et
Deparideu	NAM	Deparideu
.	SENT	.
Mais	KON	mais
si	KON	si
je	PRO:PER	je
dois	VER:pres	devoir
noter	VER:infi	noter
le	DET:ART	le
film	NOM	film
,	PUN	,
alors	ADV	alors
c'	PRO:DEM	ce
est	VER:pres	être
ZERO	NAM	ZERO
.	SENT	.
Nul	ADJ	nul
.	SENT	.
VIDE	NOM	vide
.	SENT	.
Un	DET:ART	un
scandale	NOM	scandale
,	PUN	,
une	DET:ART	un
honte	NOM	honte
...	PUN	...
Une	ABR	Une
merde	NOM	merde
sans	PRP	sans
nom	NOM	nom
et	KON	et
j'	PRO:PER	je
espere	NOM	espere
que	PRO:REL	que
Langman	NAM	Langman
va	VER:pres	aller
encaisser	VER:infi	encaisser
son	DET:POS	son
cheque	NOM	cheque
et	KON	et
disparaitre	VER:infi	disparaître
du	PRP:det	du
cinema	VER:simp	cinema
francais	VER:impf	francais
à	PRP	à
tout	ADV	tout
jamais	ADV	jamais
.	SENT	.
De	PRP	de
toute	PRO:IND	tout
facon	NOM	facon
ce	PRO:DEM	ce
navet	NOM	navet
lamentable	ADJ	lamentable
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
une	DET:ART	un
oeuvre	NOM	œuvre
de	PRP	de
cinema	VER:simp	cinema
,	PUN	,
et	KON	et
encore	ADV	encore
moins	ADV	moins
du	PRP:det	du
cinema	VER:simp	cinema
francais	VER:impf	francais
,	PUN	,
le	DET:ART	le
vrai	ADJ	vrai
.	SENT	.
On	PRO:PER	on
est	VER:pres	être
au	PRP:det	au
niveau	NOM	niveau
telefilm	NOM	telefilm
pour	PRP	pour
TF1	NAM	TF1
.	SENT	.
D'ailleurs	ADV	d'ailleurs
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
là	ADV	là
ou	KON	ou
ce	PRO:DEM	ce
film	NOM	film
va	VER:pres	aller
finir	VER:infi	finir
,	PUN	,
a	VER:pres	avoir
mon	DET:POS	mon
avis	NOM	avis
Canal	NAM	Canal
+	SYM	+
n'	ADV	ne
en	PRO:PER	en
voudra	VER:futu	vouloir
pas	ADV	pas
.	SENT	.
Une	DET:ART	un
honte	NOM	honte
.	SENT	.
