EH	INT	eh
bien	ADV	bien
voilà	ADV	voilà
:	PUN	:
Mr	ABR	monsieur
Besson	NAM	Besson
fait	VER:pres	faire
dans	PRP	dans
le	DET:ART	le
Mercantile	NAM	Mercantile
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
impression	NOM	impression
de	PRP	de
voir	VER:infi	voir
la	DET:ART	le
préface	NOM	préface
de	PRP	de
Arthur	NAM	Arthur
N°	ABR	numéro
32	NUM	@card@
:	PUN	:
les	DET:ART	le
enfants	NOM	enfant
sortent	VER:pres	sortir
du	PRP:det	du
cinéma	NOM	cinéma
très	ADV	très
déçus	VER:pper	décevoir
car	KON	car
ne	ADV	ne
comprennent	VER:pres	comprendre
pas	ADV	pas
le	DET:ART	le
"	PUN:cit	"
A	PRP	à
suivre	VER:infi	suivre
"	PUN:cit	"
Final	ADJ	final
!	SENT	!
!	SENT	!
(	PUN	(
comment	ADV	comment
il	PRO:PER	il
se	PRO:PER	se
venge	VER:pres	venger
Malthazard	NAM	Malthazard
demandent	VER:pres	demander
-ils	PRO:PER	il
tous	PRO:IND	tout
.	SENT	.
.	SENT	.
surtout	ADV	surtout
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
le	PRO:PER	le
voit	VER:pres	voir
qu'	KON	que
à	PRP	à
la	DET:ART	le
fin	NOM	fin
!	SENT	!
!	SENT	!
Aucune	PRO:IND	aucun
action	NOM	action
,	PUN	,
certes	ADV	certes
des	PRP:det	du
décors	NOM	décor
et	KON	et
des	PRP:det	du
animations	NOM	animation
à	PRP	à
la	DET:ART	le
hauteur	NOM	hauteur
,	PUN	,
mais	KON	mais
pas	ADV	pas
de	PRP	de
scénario	NOM	scénario
intéressant	ADJ	intéressant
.	SENT	.
.	SENT	.
Je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
même	ADV	même
pas	ADV	pas
si	KON	si
j'	PRO:PER	je
irai	VER:futu	aller
voir	VER:infi	voir
le	DET:ART	le
3	NUM	@card@
du	PRP:det	du
coup	NOM	coup
!	SENT	!
!	SENT	!
Par	PRP	par
contre	PRP	contre
on	PRO:PER	on
sait	VER:pres	savoir
qu'	KON	que
au	PRP:det	au
futuroscope	NOM	futuroscope
il	PRO:PER	il
a	VER:pres	avoir
une	DET:ART	un
attraction	NOM	attraction
Arthur	NAM	Arthur
,	PUN	,
avec	PRP	avec
entrée	NOM	entrée
gratuite	ADJ	gratuit
pour	PRP	pour
les	DET:ART	le
arthurs	ADJ	arthurs
,	PUN	,
et	KON	et
que	KON	que
chez	PRP	chez
MCDO	NAM	MCDO
il	PRO:PER	il
a	VER:pres	avoir
Arthur	NAM	Arthur
dans	PRP	dans
le	DET:ART	le
happy	ADJ	happy
meal	NOM	meal
:	PUN	:
ça	PRO:DEM	cela
ça	PRO:DEM	cela
marche	NOM	marche
le	DET:ART	le
commerce	NOM	commerce
...	PUN	...
vive	VER:subp	vivre
Mr	ABR	monsieur
Besson.	ABR	Besson.
.	SENT	.
En	PRP	en
tout	PRO:IND	tout
cas	NOM	cas
je	PRO:PER	je
suis	VER:pres	suivre|être
sorti	VER:pper	sortir
en	PRP	en
me	PRO:PER	me
disant.	VER:infi	disant.
.	SENT	.
Eric	NAM	Eric
Besson	NAM	Besson
m'	PRO:PER	me
a	VER:pres	avoir
bien	ADV	bien
enflé	VER:pper	enfler
sur	PRP	sur
ce	PRO:DEM	ce
coup	NOM	coup
là	ADV	là
!	SENT	!
!	SENT	!
