O	VER:cond	O
mon	DET:POS	mon
dieu	NOM	dieu
,	PUN	,
quel	PRO:REL	quel
gachis	VER:simp	gachis
de	PRP	de
frique	ADJ	frique
,	PUN	,
quel	PRO:REL	quel
connerie	NOM	connerie
ce	PRO:DEM	ce
film	NOM	film
,	PUN	,
78	NUM	@card@
millions	NOM	million
d'	PRP	de
euro	NAM	euro
pour	KON	pour
voir	VER:infi	voir
2	NUM	@card@
stars	NOM	star
dire	VER:infi	dire
2	NUM	@card@
répliques	NOM	réplique
naze	ADJ	naze
enre	VER:subp	enre
2	NUM	@card@
scènes	NOM	scène
d'	PRP	de
action	NOM	action
naze	ADJ	naze
le	PRO:PER	le
tout	ADV	tout
servis	VER:pper	servir
avec	PRP	avec
une	DET:ART	un
musique	NOM	musique
naze	ADJ	naze
et	KON	et
comme	ADV	comme
si	KON	si
sa	DET:POS	son
suffisé	ADJ	suffisé
pas	NOM	pas
ont	VER:pres	avoir
ajoute	VER:pres	ajouter
se	PRO:PER	se
qui	PRO:REL	qui
doit	VER:pres	devoir
faire	VER:infi	faire
rire	VER:infi	rire
la	DET:ART	le
vanne	NOM	vanne
du	PRP:det	du
film	NOM	film
zidane	ADJ	zidane
en	PRP	en
Numéro	NAM	Numéro
dix	NUM	dix
,	PUN	,
cousin	NOM	cousin
de	PRP	de
Numero	NOM	Numero
bis	ADJ	bis
c'	PRO:DEM	ce
est	VER:pres	être
affligeant	ADJ	affligeant
.	SENT	.
Delon	NAM	Delon
surjoue	VER:pres	surjoue
à	PRP	à
mort	NOM	mort
et	KON	et
ce	PRO:DEM	ce
prend	VER:pres	prendre
trop	ADV	trop
au	PRP:det	au
sérieux	NOM	sérieux
.	SENT	.
Au	PRP:det	au
final	ADJ	final
j'	PRO:PER	je
ai	VER:pres	avoir
presque	ADV	presque
versé	VER:pper	verser
une	DET:ART	un
larme	NOM	larme
,	PUN	,
avoir	VER:infi	avoir
dépensé	VER:pper	dépenser
mon	DET:POS	mon
frique	ADJ	frique
pour	PRP	pour
voir	VER:infi	voir
une	DET:ART	un
aussi	ADV	aussi
grosse	ADJ	gros
arnaque	VER:pres	arnaquer
alor	NOM	alor
que	KON	que
la	DET:ART	le
salle	NOM	salle
voisine	VER:pres	voisiner
passés	VER:pper	passer
"	PUN:cit	"
No	ADJ	No
country	NOM	country
for	NOM	for
old	NOM	old
men	NOM	men
"	PUN:cit	"
faut	VER:pres	falloir
vraiment	ADV	vraiment
être	VER:infi	être
con	ADJ	con
,	PUN	,
en	PRP	en
tous	PRO:IND	tout
cas	NOM	cas
c'	PRO:DEM	ce
est	VER:pres	être
clair	ADJ	clair
langmann	NOM	langmann
ira	VER:futu	aller
se	PRO:PER	se
faire	VER:infi	faire
foutre	VER:infi	foutre
avant	PRP	avant
je	PRO:PER	je
retourne	VER:pres	retourner
voir	VER:infi	voir
un	NUM	un
de	PRP	de
ses	DET:POS	son
films	NOM	film
!	SENT	!
