ouille	INT	ouille
quelle	PRO:REL	quel
grosse	ADJ	gros
déception	NOM	déception
!	SENT	!
qui	PRO:REL	qui
aurait	VER:cond	avoir
cru	VER:pper	croire
que	KON	que
la	DET:ART	le
série	NOM	série
Die	VER:futu	Die
Hard	NOM	hard
aurait	VER:cond	avoir
pu	VER:pper	pouvoir
un	DET:ART	un
jour	NOM	jour
tomber	VER:infi	tomber
dans	PRP	dans
les	DET:ART	le
bassesses	NOM	bassesse
faciles	ADJ	facile
du	PRP:det	du
tout	PRO:IND	tout
effet	NOM	effet
spéciaux	ADJ	spécial
...	PUN	...
pourtant	ADV	pourtant
j'	PRO:PER	je
y	PRO:PER	y
croyais	VER:impf	croire
!	SENT	!
je	PRO:PER	je
pensais	VER:impf	penser
naivement	NOM	naivement
au	PRP:det	au
vu	VER:pper	voir
des	PRP:det	du
critiques	NOM	critique
retrouver	VER:infi	retrouver
le	DET:ART	le
John	NAM	John
sarcastique	ADJ	sarcastique
,	PUN	,
au	PRP:det	au
service	NOM	service
d'	PRP	de
un	DET:ART	un
bordel	NOM	bordel
plausible	ADJ	plausible
,	PUN	,
des	PRP:det	du
méchants	NOM	méchant
très	ADV	très
méchants	ADJ	méchant
,	PUN	,
plongée	VER:pper	plonger
dans	PRP	dans
une	DET:ART	un
ironie	NOM	ironie
du	PRP:det	du
sort	NOM	sort
fidèle	ADJ	fidèle
à	PRP	à
la	DET:ART	le
série	NOM	série
.	SENT	.
Damn	NOM	Damn
!	SENT	!
mal	ADV	mal
m'	PRO:PER	me
en	PRO:PER	en
a	VER:pres	avoir
pris	VER:pper	prendre
car	KON	car
rien	ADV	rien
de	PRP	de
tout	ADV	tout
ça	PRO:DEM	cela
au	PRP:det	au
programme	NOM	programme
,	PUN	,
mais	KON	mais
on	PRO:PER	on
a	VER:pres	avoir
droit	NOM	droit
a	VER:pres	avoir
une	DET:ART	un
quantité	NOM	quantité
phénoménale	ADJ	phénoménal
d'	PRP	de
explosions	NOM	explosion
surréalistes	ADJ	surréaliste
,	PUN	,
un	DET:ART	un
scénar	NOM	scénar
'	PUN	'
de	PRP	de
24h	ADJ	24h
chrono	NOM	chrono
cuit	VER:pper	cuire
au	PRP:det	au
micro-onde	NOM	micro-onde
,	PUN	,
et	KON	et
des	PRP:det	du
persos	NOM	persos
tous	PRO:IND	tout
plus	ADV	plus
fades	ADJ	fade
les	DET:ART	le
uns	NOM	un
que	KON	que
les	DET:ART	le
autres	ADJ	autre
.	SENT	.
rien	NOM	rien
à	PRP	à
voir	VER:infi	voir
donc	ADV	donc
avec	PRP	avec
la	DET:ART	le
série	NOM	série
die	ADJ	die
hard	NOM	hard
.	SENT	.
à	PRP	à
vouloir	VER:infi	vouloir
trop	ADV	trop
en	PRP	en
faire	VER:infi	faire
,	PUN	,
les	DET:ART	le
scénaristes	NOM	scénariste
en	PRO:PER	en
ont	VER:pres	avoir
oublié	VER:pper	oublier
l'	DET:ART	le
essence	NOM	essence
même	ADJ	même
de	PRP	de
cette	PRO:DEM	ce
série	NOM	série
.	SENT	.
