Ca	VER:cond	Ca
y	PRO:PER	y
est	VER:pres	être
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
polythéiste	ADJ	polythéiste
!	SENT	!
Avant	PRP	avant
je	PRO:PER	je
réservais	VER:impf	réserver
mes	DET:POS	mon
dévotions	NOM	dévotion
à	PRP	à
Jeunet	NAM	Jeunet
,	PUN	,
je	PRO:PER	je
vais	VER:pres	aller
maintenant	ADV	maintenant
partager	VER:infi	partager
avec	PRP	avec
J.	NAM	J.
Cameron	NAM	Cameron
.	SENT	.
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
un	NUM	un
avant	PRP	avant
JC	NAM	JC
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
aura	VER:futu	avoir
un	NUM	un
après	PRP	après
JC	NAM	JC
...	PUN	...
Je	PRO:PER	je
n'	ADV	ne
oublie	VER:pres	oublier
pas	ADV	pas
ses	DET:POS	son
autres	ADJ	autre
excellents	ADJ	excellent
films	NOM	film
,	PUN	,
mais	KON	mais
celui-là	VER:subp	celui-là
dépasse	VER:pres	dépasser
vraiment	ADV	vraiment
tout	ADV	tout
en	PRP	en
beauté	NOM	beauté
et	KON	et
en	PRP	en
émotion	NOM	émotion
,	PUN	,
la	DET:ART	le
3D	NOM	3D
permet	VER:pres	permettre
en	PRP	en
plus	ADV	plus
une	DET:ART	un
immersion	NOM	immersion
totalement	ADV	totalement
bluffante	ADJ	bluffante
.	SENT	.
Pour	PRP	pour
les	DET:ART	le
rabat-joies	NOM	rabat-joie
à	PRP	à
qui	PRO:REL	qui
il	PRO:PER	il
manque	VER:pres	manquer
un	DET:ART	un
scénario	NOM	scénario
original	ADJ	original
,	PUN	,
je	PRO:PER	je
réponds	VER:pres	répondre
:	PUN	:
oui	INT	oui
et	KON	et
alors	ADV	alors
?	SENT	?
Quoi	PRO	quoi
d’autre	NOM	d’autre
à	PRP	à
part	NOM	part
l’amour	ADJ	l’amour
,	PUN	,
la	DET:ART	le
bêtise	NOM	bêtise
,	PUN	,
la	DET:ART	le
cupidité	NOM	cupidité
,	PUN	,
la	DET:ART	le
quête	NOM	quête
de	PRP	de
puissance	NOM	puissance
a	VER:pres	avoir
été	VER:pper	être
développé	VER:pper	développer
par	PRP	par
les	DET:ART	le
plus	ADV	plus
grands	ADJ	grand
.	SENT	.
Un	DET:ART	un
bon	ADJ	bon
scénario	NOM	scénario
ne	ADV	ne
vaut	VER:pres	valoir
rien	ADV	rien
s’il	ADJ	s’il
est	VER:pres	être
mal	ADV	mal
raconté	VER:pper	raconter
.	SENT	.
JC	NAM	JC
a	VER:pres	avoir
rajouté	VER:pper	rajouter
le	DET:ART	le
thème	NOM	thème
de	PRP	de
l’écologie	NOM	l’écologie
et	KON	et
de	PRP	de
l’unicité	NOM	l’unicité
d’une	VER:pres	d’une
planète	NOM	planète
.	SENT	.
Quoi	PRO	quoi
de	PRP	de
choquant	VER:ppre	choquer
?	SENT	?
Ce	PRO:DEM	ce
film	NOM	film
vaut	VER:pres	valoir
tous	PRO:IND	tout
les	DET:ART	le
discours	NOM	discours
de	PRP	de
N.	ABR	N.
Hulot	NAM	Hulot
,	PUN	,
Vanier	NAM	Vanier
ou	KON	ou
Y.	NAM	Y.
Arthus-Bertrand	NAM	Arthus-Bertrand
.	SENT	.
La	DET:ART	le
scène	NOM	scène
de	PRP	de
la	DET:ART	le
destruction	NOM	destruction
de	PRP	de
l’arbre	NOM	l’arbre
résume	VER:pres	résumer
toute	PRO:IND	tout
la	DET:ART	le
bêtise	NOM	bêtise
humaine	ADJ	humain
.	SENT	.
Les	DET:ART	le
applaudissements	NOM	applaudissement
de	PRP	de
la	DET:ART	le
salle	NOM	salle
à	PRP	à
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
film	NOM	film
m’ont	VER:futu	m’ont
rassuré	VER:pper	rassurer
,	PUN	,
tout	PRO:IND	tout
n’est	NOM	n’est
pas	ADV	pas
perdu	VER:pper	perdre
…	PUN	…
Il	VER:subi	Il
y	PRO:PER	y
avait	VER:impf	avoir
longtemps	ADV	longtemps
que	KON	que
je	PRO:PER	je
n’avais	VER:impf	n’avais
pas	ADV	pas
eu	VER:pper	avoir
un	DET:ART	un
joyeux	ADJ	joyeux
noël	NOM	noël
,	PUN	,
merci	NOM	merci
JC	NAM	JC
!	SENT	!
