Deux	NUM	deux
monuments	NOM	monument
du	PRP:det	du
cinema	VER:simp	cinema
français	ADJ	français
jouent	VER:pres	jouer
pour	PRP	pour
la	DET:ART	le
premiere	NOM	premiere
fois	NOM	foi|fois
ensembles	NOM	ensemble
.	SENT	.
Alain	NAM	Alain
Delon	NAM	Delon
et	KON	et
Gerard	NAM	Gerard
Depardieu	NAM	Depardieu
,	PUN	,
pourtant	ADV	pourtant
excellents	ADJ	excellent
,	PUN	,
se	PRO:PER	se
donnent	VER:pres	donner
la	DET:ART	le
réplique	NOM	réplique
dans	PRP	dans
ce	PRO:DEM	ce
qui	PRO:REL	qui
restera	VER:futu	rester
le	DET:ART	le
plus	ADV	plus
beau	ADJ	beau
des	PRP:det	du
gachis	NOM	gachis
dans	PRP	dans
notre	DET:POS	notre
patrimoine	NOM	patrimoine
cinématographique	ADJ	cinématographique
.	SENT	.
Une	DET:ART	un
distribution	NOM	distribution
épatante	ADJ	épatant
pour	PRP	pour
des	PRP:det	du
dialogues	NOM	dialogue
insipides	ADJ	insipide
.	SENT	.
Des	PRP:det	du
scènes	NOM	scène
lourdes	ADJ	lourd
et	KON	et
interminables	ADJ	interminable
.	SENT	.
Des	PRP:det	du
gags	NOM	gag
qui	PRO:REL	qui
qui	PRO:REL	qui
font	VER:pres	faire
pscchitt.	VER:pper	pscchitt.
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
franchement	ADV	franchement
pathétique	ADJ	pathétique
.	SENT	.
Non	ADV	non
,	PUN	,
l'	DET:ART	le
esprit	NOM	esprit
Astérix	NAM	Astérix
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
là	ADV	là
,	PUN	,
les	DET:ART	le
clins	NOM	clin
d'	PRP	de
oeil	NOM	œil
ne	ADV	ne
suffisent	VER:pres	suffire
pas	ADV	pas
,	PUN	,
Goscinny	NAM	Goscinny
savait	VER:impf	savoir
y	PRO:PER	y
ajouter	VER:infi	ajouter
de	PRP	de
la	DET:ART	le
finesse	NOM	finesse
pertinente	ADJ	pertinent
.	SENT	.
Chabat	NAM	Chabat
avait	VER:impf	avoir
eu	VER:pper	avoir
cet	PRO:DEM	ce
esprit	NOM	esprit
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
5ans	NOM	5ans
,	PUN	,
Langmann	NAM	Langmann
et	KON	et
Forestier	NAM	Forestier
n'	ADV	ne
ont	VER:pres	avoir
jamais	ADV	jamais
lu	VER:pper	lire
un	DET:ART	un
album	NOM	album
