Tout	PRO:IND	tout
est	VER:pres	être
dit	VER:pper	dire
je	PRO:PER	je
crois	VER:pres	croire
.	SENT	.
Même	ADV	même
si	KON	si
la	DET:ART	le
réalisation	NOM	réalisation
mériterait	VER:cond	mériter
une	DET:ART	un
note	NOM	note
positive	ADJ	positif
,	PUN	,
le	DET:ART	le
foutage	NOM	foutage
de	PRP	de
gueule	NOM	gueule
commercial	NOM	commercial
aurait	VER:cond	avoir
lui	PRO:PER	lui
mérité	VER:pper	mériter
une	DET:ART	un
note	NOM	note
négative	ADJ	négatif
.	SENT	.
Au	PRP:det	au
total	NOM	total
,	PUN	,
ca	VER:simp	ca
fait	VER:pper	faire
0	NUM	@card@
,	PUN	,
parce	KON	parce
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
mettre	VER:infi	mettre
moins	ADV	moins
.	SENT	.
N'	ADV	ne
en	PRO:PER	en
déplaise	VER:subp	déplaire
aux	PRP:det	au
enfants	NOM	enfant
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
irais	VER:cond	aller
pas	ADV	pas
voir	VER:infi	voir
la	DET:ART	le
suite	NOM	suite
et	KON	et
les	DET:ART	le
fims	NOM	fims
de	PRP	de
bessons	NOM	besson
c'	PRO:DEM	ce
est	VER:pres	être
fini	VER:pper	finir
pour	PRP	pour
le	DET:ART	le
moment	NOM	moment
.	SENT	.
Le	DET:ART	le
seul	NOM	seul
moyen	ADJ	moyen
qu'	PRO:REL	que
il	PRO:PER	il
ait	VER:subp	avoir
de	PRP	de
se	PRO:PER	se
rattraper	VER:infi	rattraper
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
de	PRP	de
diffuser	VER:infi	diffuser
la	DET:ART	le
suite	NOM	suite
gratuitement	ADV	gratuitement
ou	KON	ou
sous	PRP	sous
forme	NOM	forme
de	PRP	de
DVD	NAM	DVD
à	PRP	à
5€	NOM	5€
comme	KON	comme
pour	PRP	pour
Home	NAM	Home
.	SENT	.
Sinon	KON	sinon
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
mort	NOM	mort
.	SENT	.
Je	PRO:PER	je
me	PRO:PER	me
demande	VER:pres	demander
si	KON	si
on	PRO:PER	on
ne	ADV	ne
pourrait	VER:cond	pouvoir
pas	ADV	pas
déposer	VER:infi	déposer
une	DET:ART	un
plainte	NOM	plainte
.	SENT	.
Il	PRO:PER	il
m'	PRO:PER	me
a	VER:pres	avoir
quand	ADV	quand
même	ADV	même
pris	VER:pper	prendre
50€	NOM	50€
pour	KON	pour
pour	PRP	pour
me	PRO:PER	me
diffuser	VER:infi	diffuser
une	DET:ART	un
bande	NOM	bande
annonce	VER:pres	annoncer
...	PUN	...
Voleur	NAM	Voleur
!	SENT	!
