Quelle	PRO:REL	quel
petite	ADJ	petit
merveille	NOM	merveille
,	PUN	,
James	NAM	James
Cameron	NAM	Cameron
signe	VER:pres	signer
ici	ADV	ici
sa	DET:POS	son
plus	ADV	plus
belle	ADJ	beau
oeuvre	NOM	œuvre
cinématographique	ADJ	cinématographique
!	SENT	!
C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
plaisir	NOM	plaisir
pour	PRP	pour
les	DET:ART	le
yeux	NOM	œil
car	KON	car
Avatar	NAM	Avatar
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
vraiment	ADV	vraiment
des	PRP:det	du
effets	NOM	effet
spréciaux	ADJ	spréciaux
à	PRP	à
vous	PRO:PER	vous
couper	VER:infi	couper
le	DET:ART	le
souffle	NOM	souffle
et	KON	et
un	DET:ART	un
monde	NOM	monde
rempli	VER:pper	remplir
de	PRP	de
couleurs	NOM	couleur
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
reste	VER:pres	rester
"	PUN:cit	"
baba	ADJ	baba
"	PUN:cit	"
,	PUN	,
et	KON	et
on	PRO:PER	on
comprend	VER:pres	comprendre
que	KON	que
James	NAM	James
Cameron	NAM	Cameron
ait	VER:subp	avoir
attendu	VER:pper	attendre
que	KON	que
la	DET:ART	le
technoplogie	NOM	technoplogie
permette	VER:subp	permettre
d'	PRP	de
avoir	VER:infi	avoir
ce	PRO:DEM	ce
type	NOM	type
d'	PRP	de
effets	NOM	effet
spéciaux	ADJ	spécial
car	KON	car
on	PRO:PER	on
sait	VER:pres	savoir
que	KON	que
le	DET:ART	le
projet	NOM	projet
"	PUN:cit	"
d'	PRP	de
Avatard	NAM	Avatard
"	PUN:cit	"
lui	PRO:PER	lui
trottait	VER:impf	trotter
dans	PRP	dans
la	DET:ART	le
tête	NOM	tête
déjà	ADV	déjà
avant	ADV	avant
de	PRP	de
réaliser	VER:infi	réaliser
"	PUN:cit	"
Titanic	NAM	Titanic
"	PUN:cit	"
.	SENT	.
Je	PRO:PER	je
ne	ADV	ne
peux	VER:pres	pouvoir
faire	VER:infi	faire
que	KON	que
l'	DET:ART	le
éloge	NOM	éloge
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
car	KON	car
au	PRP:det	au
delà	ADV	delà
des	PRP:det	du
images	NOM	image
extraordinaires	ADJ	extraordinaire
,	PUN	,
le	DET:ART	le
script	NOM	script
est	VER:pres	être
parfait	VER:pper	parfaire
avec	ADV	avec
peut	VER:pres	pouvoir
être	VER:infi	être
un	DET:ART	un
petit	ADJ	petit
message	NOM	message
écologique	ADJ	écologique
en	PRP	en
prime	NOM	prime
.	SENT	.
Les	DET:ART	le
acteurs	NOM	acteur
sont	VER:pres	être
convaicants	ADJ	convaicants
et	KON	et
attachants	ADJ	attachant
,	PUN	,
bref	ADV	bref
le	DET:ART	le
film	NOM	film
à	PRP	à
ne	ADV	ne
manquer	VER:infi	manquer
sous	PRP	sous
aucun	PRO:IND	aucun
prétexte	NOM	prétexte
et	KON	et
à	PRP	à
avoir	VER:infi	avoir
dans	PRP	dans
sa	DET:POS	son
dvdthèque	NOM	dvdthèque
,	PUN	,
je	PRO:PER	je
pense	VER:pres	penser
même	ADV	même
aller	VER:infi	aller
le	PRO:PER	le
revoir	VER:infi	revoir
en	PRP	en
3D	NOM	3D
!	SENT	!
