VOILA	VER:simp	voiler
C	NUM	C
EST	NOM	est
VU	VER:pper	voir
et	KON	et
oui	INT	oui
j'	PRO:PER	je
en	PRO:PER	en
ai	VER:pres	avoir
rêvé	VER:pper	rêver
et	KON	et
james	NOM	james
cameron	ADJ	cameron
m'	PRO:PER	me
en	PRO:PER	en
a	VER:pres	avoir
mis	VER:pper	mettre
plein	ADJ	plein
la	DET:ART	le
vue	NOM	vue
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
beau	ADJ	beau
d'	PRP	de
aimer	VER:infi	aimer
le	DET:ART	le
cinéma	NOM	cinéma
depuis	PRP	depuis
tout	PRO:IND	tout
gosse	NOM	gosse
et	KON	et
d'	PRP	de
arriver	VER:infi	arriver
a	VER:pres	avoir
50	NUM	@card@
ans	NOM	an
pour	PRP	pour
voir	VER:infi	voir
un	DET:ART	un
film	NOM	film
GRANDIOSE	NAM	GRANDIOSE
SUBLIME	NAM	SUBLIME
MERVEILLEUX	NAM	MERVEILLEUX
et	KON	et
surtout	ADV	surtout
génialement	ADV	génialement
fait	VER:pper	faire
la	PRO:PER	la
3D	VER:futu	3D
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
nec	NOM	nec
plus	ADV	plus
ultras	NOM	ultra
décidément	ADV	décidément
cet	PRO:DEM	ce
homme	NOM	homme
est	VER:pres	être
un	DET:ART	un
GENIE	NOM	GENIE
wouahhhhhhhhh	ADJ	wouahhhhhhhhh
j'	PRO:PER	je
en	PRO:PER	en
reviens	VER:pres	revenir
toujours	ADV	toujours
pas	ADV	pas
je	PRO:PER	je
suis	VER:pres	suivre|être
encore	ADV	encore
sur	PRP	sur
Pandora	NOM	Pandora
film	NOM	film
a	VER:pres	avoir
montrer	VER:infi	montrer
a	VER:pres	avoir
Copenhague	NAM	Copenhague
a	VER:pres	avoir
tout	PRO:IND	tout
ces	PRO:DEM	ce
destructeur	NOM	destructeur
de	PRP	de
la	DET:ART	le
planète	NOM	planète
que	KON	que
de	PRP	de
beauté	NOM	beauté
et	KON	et
de	PRP	de
valeur	NOM	valeur
dans	PRP	dans
ce	PRO:DEM	ce
film	NOM	film
100	NUM	@card@
%	SYM	%
ecolo	ADJ	ecolo
et	KON	et
moralisateur	ADJ	moralisateur
mais	KON	mais
sincèrement	ADV	sincèrement
ont	VER:pres	avoir
plonge	NOM	plonge
dans	PRP	dans
ce	PRO:DEM	ce
monde	NOM	monde
de	PRP	de
Cameron	NAM	Cameron
avec	PRP	avec
délice	NOM	délice
et	KON	et
je	PRO:PER	je
le	PRO:PER	le
redis	VER:pres	redire
quelle	PRO:REL	quel
prouesse	NOM	prouesse
technique	ADJ	technique
cette	PRO:DEM	ce
3D	NOM	3D
alors	ADV	alors
je	PRO:PER	je
le	PRO:PER	le
dis	VER:pres	dire
mille	NUM	mille
fois	NOM	foi|fois
a	VER:pres	avoir
qui	PRO:REL	qui
veut	VER:pres	vouloir
le	PRO:PER	le
comprendre	VER:infi	comprendre
ALLEZ	NAM	ALLEZ
VOIR	NAM	VOIR
LE	NAM	LE
FILM	NAM	FILM
AVATAR	NAM	AVATAR
vous	PRO:PER	vous
ne	ADV	ne
serez	VER:futu	être
pas	ADV	pas
déçu	VER:pper	décevoir
