Mr	ABR	monsieur
besson	NOM	besson
est	VER:pres	être
un	DET:ART	un
pro	NOM	pro
hadopi	ADJ	hadopi
convaincu	VER:pper	convaincre
!	SENT	!
Rien	NOM	rien
d'	PRP	de
étonnant	VER:ppre	étonner
à	PRP	à
celà	NOM	celà
,	PUN	,
maintenant	ADV	maintenant
que	KON	que
la	DET:ART	le
loi	NOM	loi
est	VER:pres	être
passée	VER:pper	passer
,	PUN	,
100	NUM	@card@
%	SYM	%
bizness	NOM	bizness
,	PUN	,
100	NUM	@card@
%	SYM	%
arnaque	NOM	arnaque
!	SENT	!
8,50	NUM	@card@
euros	NOM	euro
la	DET:ART	le
place	NOM	place
multiplié	VER:pper	multiplier
par	PRP	par
4	NUM	@card@
pour	PRP	pour
aller	VER:infi	aller
voir	VER:infi	voir
le	DET:ART	le
chef	NOM	chef
d'oeuvre	VER:subp	d'oeuvre
de	PRP	de
l'	DET:ART	le
arnaque	NOM	arnaque
!	SENT	!
De	PRP	de
la	DET:ART	le
pure	ADJ	pur
escroquerie	NOM	escroquerie
,	PUN	,
le	DET:ART	le
film	NOM	film
se	PRO:PER	se
passe	VER:pres	passer
à	PRP	à
attendre	VER:infi	attendre
que	KON	que
quelque	PRO:IND	quelque
chose	NOM	chose
se	PRO:PER	se
passe	VER:pres	passer
,	PUN	,
et	KON	et
quand	KON	quand
l'	DET:ART	le
histoire	NOM	histoire
commence	VER:pres	commencer
:	PUN	:
A	PRP	à
SUIVRE	NAM	SUIVRE
...	PUN	...
Le	DET:ART	le
troisième	NUM	troisième
volet	NOM	volet
?	SENT	?
?	SENT	?
?	SENT	?
Je	PRO:PER	je
l'	PRO:PER	la|le
emprunterais	VER:cond	emprunter
à	PRP	à
la	DET:ART	le
médiathèque	NOM	médiathèque
pour	KON	pour
que	KON	que
les	DET:ART	le
enfants	NOM	enfant
puissent	VER:subp	pouvoir
voir	VER:infi	voir
la	DET:ART	le
suite	NOM	suite
(	PUN	(
je	PRO:PER	je
n'	ADV	ne
ose	VER:pres	oser
même	ADV	même
pas	ADV	pas
parler	VER:infi	parler
de	PRP	de
la	DET:ART	le
fin	NOM	fin
!	SENT	!
)	PUN	)
du	PRP:det	du
film	NOM	film
où	PRO:REL	où
leurs	DET:POS	leur
parents	NOM	parent|parents
se	PRO:PER	se
sont	VER:pres	être
joyeusement	ADV	joyeusement
faits	VER:pper	faire
escroquer	VER:infi	escroquer
!	SENT	!
Si	KON	si
le	DET:ART	le
film	NOM	film
fait	VER:pres	faire
un	DET:ART	un
bide	NOM	bide
...	PUN	...
Si	NAM	Si
le	DET:ART	le
DVD	NAM	DVD
fait	VER:pres	faire
un	DET:ART	un
bide	NOM	bide
(	PUN	(
et	KON	et
celà	VER:subi	celà
,	PUN	,
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
vous	PRO:PER	vous
y	PRO:PER	y
attendre	VER:infi	attendre
,	PUN	,
a	VER:pres	avoir
tel	PRO:DEM	tel
point	NOM	point
que	KON	que
si	KON	si
j'	PRO:PER	je
ai	VER:pres	avoir
un	DET:ART	un
conseil	NOM	conseil
à	PRP	à
donner	VER:infi	donner
à	PRP	à
mr	ADJ	mr
besson	NOM	besson
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
de	PRP	de
s'	PRO:PER	se
économiser	VER:infi	économiser
les	DET:ART	le
frais	ADJ	frais
de	PRP	de
la	DET:ART	le
sortie	NOM	sortie
en	PRP	en
DVD	NAM	DVD
!	SENT	!
)	PUN	)
...	PUN	...
Vous	NAM	Vous
pourrez	VER:futu	pouvoir
toujours	ADV	toujours
mettre	VER:infi	mettre
celà	NOM	celà
sur	PRP	sur
le	DET:ART	le
dos	NOM	dos
des	PRP:det	du
"	PUN:cit	"
pirates	NOM	pirate
"	PUN:cit	"
!	SENT	!
Mais	KON	mais
si	KON	si
vous	PRO:PER	vous
voulez	VER:pres	vouloir
gagner	VER:infi	gagner
plus	ADV	plus
,	PUN	,
il	PRO:PER	il
va	VER:pres	aller
falloir	VER:infi	falloir
vous	PRO:PER	vous
mettre	VER:infi	mettre
à	PRP	à
travailler	VER:infi	travailler
(	PUN	(
je	PRO:PER	je
n'	ADV	ne
ose	VER:pres	oser
même	ADV	même
pas	ADV	pas
dire	VER:infi	dire
travailler	VER:infi	travailler
plus	ADV	plus
,	PUN	,
vu	VER:pper	voir
le	DET:ART	le
niveau	NOM	niveau
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
!	SENT	!
)	PUN	)
.	SENT	.
