Ouais	INT	ouais
ben	ADV	ben
je	PRO:PER	je
comprend	VER:pres	comprendre
le	DET:ART	le
matraquage	NOM	matraquage
des	PRP:det	du
critiques	NOM	critique
,	PUN	,
bon	ADV	bon
ben	ADV	ben
comme	ADV	comme
d'	PRP	de
hab	NOM	hab
l'	DET:ART	le
alcoolique	NOM	alcoolique
est	VER:pres	être
affreux	ADJ	affreux
,	PUN	,
et	KON	et
cornillac	NOM	cornillac
dans	PRP	dans
un	NOM	un
de	PRP	de
ses	DET:POS	son
pires	ADJ	pire
roles	NOM	roles
,	PUN	,
Poolevorde	NAM	Poolevorde
et	KON	et
Deloin	NAM	Deloin
sont	VER:pres	être
excellents	ADJ	excellent
,	PUN	,
Astier	NAM	Astier
relegue	VER:pres	relegue
au	PRP:det	au
rang	NOM	rang
de	PRP	de
second	NOM	second
role	ADJ	role
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
honte	NOM	honte
,	PUN	,
et	KON	et
la	DET:ART	le
fin	NOM	fin
du	PRP:det	du
film	NOM	film
est	VER:pres	être
un	DET:ART	un
scandale	NOM	scandale
de	PRP	de
cinema	VER:simp	cinema
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
certe	VER:pper	certe
un	DET:ART	un
defilement	NOM	defilement
de	PRP	de
stars	NOM	star
...	PUN	...
sauf	PRP	sauf
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
en	PRO:PER	en
fait	VER:pres	faire
un	DET:ART	un
defilement	NOM	defilement
des	PRP:det	du
pires	ADJ	pire
mongols	NOM	mongol
du	PRP:det	du
star	NOM	star
system	NOM	system
,	PUN	,
jamais	ADV	jamais
vu	VER:pper	voir
autant	ADV	autant
de	PRP	de
beaufs	NOM	beauf
,	PUN	,
la	DET:ART	le
fin	NOM	fin
est	VER:pres	être
ignoblement	ADV	ignoblement
nulle	ADJ	nul
,	PUN	,
le	PRO:PER	le
reste	VER:pres	rester
ben	ADV	ben
c'	PRO:DEM	ce
est	VER:pres	être
asterix	NOM	asterix
...	PUN	...
donc	ADV	donc
totalement	ADV	totalement
ininteressant	ADJ	ininteressant
bien	NOM	bien
sur	PRP	sur
.	SENT	.
