Mes	DET:POS	mon
enfants	NOM	enfant
attendaient	VER:impf	attendre
la	DET:ART	le
suite	NOM	suite
avec	PRP	avec
impatience	NOM	impatience
.	SENT	.
Les	DET:ART	le
personnages	NOM	personnage
sont	VER:pres	être
là	ADV	là
et	KON	et
tout	PRO:IND	tout
est	VER:pres	être
soigné	VER:pper	soigner
.	SENT	.
MAIS	KON	mais
qu'	PRO:REL	que
est	VER:pres	être
-ce	PRO:DEM	ce
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
long.	ABR	long.
.	SENT	.
Tout	PRO:IND	tout
dure	NOM	dur
des	PRP:det	du
plombes	NOM	plombe
...	PUN	...
On	NAM	On
s'	PRO:PER	se
ennuie	VER:pres	ennuyer
et	KON	et
on	PRO:PER	on
se	PRO:PER	se
dit	VER:pres	dire
que	KON	que
le	DET:ART	le
film	NOM	film
doit	VER:pres	devoir
durer	VER:infi	durer
2h	NOM	2h
pour	KON	pour
qu'	PRO:REL	que
il	PRO:PER	il
se	PRO:PER	se
passe	VER:pres	passer
enfin	ADV	enfin
quelquechose	ADJ	quelquechose
.	SENT	.
Et	KON	et
non	ADV	non
!	SENT	!
Message	NOM	message
"	PUN:cit	"
à	PRP	à
suivre	VER:infi	suivre
"	PUN:cit	"
quand	KON	quand
cela	PRO:DEM	cela
devient	VER:pres	devenir
intéressant	ADJ	intéressant
:	PUN	:
vexant	ADJ	vexant
.	SENT	.
En	PRP	en
sortant	VER:ppre	sortir
l'	DET:ART	le
impression	NOM	impression
de	PRP	de
s'	PRO:PER	se
être	VER:infi	être
fait	VER:pper	faire
avoir	VER:infi	avoir
.	SENT	.
qu'	KON	que
il	PRO:PER	il
s'	PRO:PER	se
agissait	VER:impf	agir
d'	PRP	de
une	DET:ART	un
bande	NOM	bande
annonce	VER:pres	annoncer
pour	PRP	pour
le	DET:ART	le
prochain	ADJ	prochain
...	PUN	...
Dommage	NAM	Dommage
.	SENT	.
En	PRP	en
sortant	VER:ppre	sortir
j'	PRO:PER	je
aurai	VER:futu	avoir
mis	VER:pper	mettre
Zéro	NAM	Zéro
étoiles	VER:pres	étoiler
tellement	ADV	tellement
j'	PRO:PER	je
étais	VER:impf	être
déçue	VER:pper	décevoir
.	SENT	.
Avec	PRP	avec
un	DET:ART	un
peu	ADV	peu
de	PRP	de
recul	NOM	recul
,	PUN	,
je	PRO:PER	je
mets	VER:pres	mettre
quand	ADV	quand
même	ADV	même
une	DET:ART	un
étoile	NOM	étoile
.	SENT	.
