Pochahontas	VER:simp	Pochahontas
en	PRO:PER	en
3D	VER:subi	3D
...	PUN	...
Les	DET:ART	le
scènes	NOM	scène
d'	PRP	de
actions	NOM	action
sont	VER:pres	être
assez	ADV	assez
fades	ADJ	fade
,	PUN	,
pas	ADV	pas
de	PRP	de
tension	NOM	tension
,	PUN	,
pas	ADV	pas
de	PRP	de
stress	NOM	stress
,	PUN	,
personne	ADV	personne
ne	ADV	ne
bondi	VER:pper	bondir
dans	PRP	dans
son	DET:POS	son
siège	NOM	siège
...	PUN	...
L'	DET:ART	le
histoire	NOM	histoire
d'	PRP	de
amour	NOM	amour
est	VER:pres	être
trufée	VER:pper	trufée
de	PRP	de
clichés	NOM	cliché
(	PUN	(
on	PRO:PER	on
se	PRO:PER	se
fréquente	VER:pres	fréquenter
,	PUN	,
tout	ADV	tout
nous	PRO:PER	nous
oppose	VER:pres	opposer
,	PUN	,
on	PRO:PER	on
apprend	VER:pres	apprendre
à	PRP	à
se	PRO:PER	se
connaitre	VER:infi	connaître
on	PRO:PER	on
s'	PRO:PER	se
aime	VER:pres	aimer
,	PUN	,
jalousie	NOM	jalousie
du	PRP:det	du
copain	NOM	copain
delaissé	ADJ	delaissé
,	PUN	,
trahison	NOM	trahison
,	PUN	,
pardon	NOM	pardon
...	PUN	...
)	PUN	)
.	SENT	.
Passé	VER:pper	passer
1h	NOM	1h
de	PRP	de
réelle	ADJ	réel
émerveillement	NOM	émerveillement
graphique	ADJ	graphique
on	PRO:PER	on
s'	PRO:PER	se
habitue	VER:pres	habituer
à	PRP	à
la	DET:ART	le
3D	NOM	3D
et	KON	et
du	PRP:det	du
coup	NOM	coup
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
plus	ADV	plus
rien	ADV	rien
d'	PRP	de
extraordinaire	NOM	extraordinaire
,	PUN	,
dans	PRP	dans
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
reste	VER:pres	rester
encore	ADV	encore
1h40	ADJ	1h40
à	PRP	à
tenir	VER:infi	tenir
...	PUN	...
L'	DET:ART	le
avenir	NOM	avenir
dira	VER:futu	dire
si	ADV	si
le	DET:ART	le
film	NOM	film
restera	VER:futu	rester
dans	PRP	dans
les	DET:ART	le
annales	NOM	annales
pour	PRP	pour
sa	DET:POS	son
réalisation	NOM	réalisation
comme	KON	comme
un	DET:ART	un
Terminator	NAM	Terminator
2.	ADV	@ord@
Ou	VER:subi	Ou
si	ADV	si
son	DET:POS	son
seul	ADJ	seul
mérite	NOM	mérite
sera	VER:futu	être
d'	PRP	de
avoir	VER:infi	avoir
été	VER:pper	être
le	DET:ART	le
premier	NOM	premier
(	PUN	(
on	PRO:PER	on
l'	PRO:PER	la|le
oubliera	VER:futu	oublier
très	ADV	très
vite	ADV	vite
comme	ADV	comme
Abyss	NAM	Abyss
)	PUN	)
...	PUN	...
