ah	INT	ah
le	DET:ART	le
retour	NOM	retour
du	PRP:det	du
vrai	ADJ	vrai
gd	NOM	gd
spectacle	NOM	spectacle
pout	VER:pres	pout
tous	PRO:IND	tout
ça	PRO:DEM	cela
fait	NOM	fait
plaisir	NOM	plaisir
.	SENT	.
G	VER:cond	G
été	VER:pper	être
le	PRO:PER	le
voir	VER:infi	voir
avec	PRP	avec
ma	DET:POS	mon
copine	NOM	copine
pas	ADV	pas
fan	NOM	fan
du	PRP:det	du
tout	NOM	tout
de	PRP	de
film	NOM	film
d'	PRP	de
action	NOM	action
et	KON	et
elle	PRO:PER	elle
a	VER:pres	avoir
apprécié	VER:pper	apprécier
.	SENT	.
JC	NAM	JC
a	VER:pres	avoir
réuni	VER:pper	réunir
ts	VER:pper	ts
les	DET:ART	le
ingrédients	NOM	ingrédient
du	PRP:det	du
blockbuster	NOM	blockbuster
effets	NOM	effet
spéciaux	ADJ	spécial
qui	PRO:REL	qui
émerveillent	VER:pres	émerveiller
,	PUN	,
de	PRP	de
plus	ADV	plus
sont	VER:pres	être
au	PRP:det	au
service	NOM	service
de	PRP	de
l'	DET:ART	le
histoire	NOM	histoire
,	PUN	,
graphisme	NOM	graphisme
tendance	NOM	tendance
héroic	ADJ	héroic
fantasy	ADJ	fantasy
/SF	NOM	/SF
(	PUN	(
robots	NOM	robot
a	VER:pres	avoir
la	DET:ART	le
matrix	NOM	matrix
,	PUN	,
personnages	NOM	personnage
ressemblant	ADJ	ressemblant
a	VER:pres	avoir
des	PRP:det	du
elfs	NOM	elfs
,	PUN	,
univers	NOM	univers
de	PRP	de
jeux	NOM	jeu
videos	NOM	videos
avec	PRP	avec
palettes	NOM	palette
de	PRP	de
couleur	NOM	couleur
,	PUN	,
montagnes	NOM	montagne
flottantes	ADJ	flottant
...	PUN	...
tout	ADV	tout
y	PRO:PER	y
est	VER:pres	être
!	SENT	!
)	PUN	)
Les	DET:ART	le
thèmes	NOM	thème
de	PRP	de
fond	NOM	fond
sont	VER:pres	être
fédérateurs	ADJ	fédérateur
et	KON	et
pas	ADV	pas
baclés	VER:pper	baclés
bien	ADV	bien
que	KON	que
ce	PRO:DEM	ce
ne	ADV	ne
soit	VER:subp	être
pas	ADV	pas
l'	DET:ART	le
objectif	ADJ	objectif
premier	NOM	premier
qui	PRO:REL	qui
est	VER:pres	être
divertir(	ADJ	divertir(
rôle	NOM	rôle
rempli	VER:pper	remplir
)	PUN	)
.	SENT	.
Enfin	ADV	enfin
l'	DET:ART	le
utilisation	NOM	utilisation
de	PRP	de
la	DET:ART	le
3D	NOM	3D
pourrait	VER:cond	pouvoir
être	VER:infi	être
encore	ADV	encore
plus	ADV	plus
impressionnante	ADJ	impressionnant
mais	KON	mais
bon	ADJ	bon
ne	ADV	ne
boudons	VER:pres	bouder
pas	ADV	pas
notre	DET:POS	notre
plaisir	NOM	plaisir
au	PRP:det	au
milieu	NOM	milieu
du	PRP:det	du
quotidien	NOM	quotidien
parfois	ADV	parfois
morrose	NOM	morrose
s'	KON	si
évader	VER:infi	évader
un	DET:ART	un
peu	ADV	peu
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
de	PRP	de
refus	NOM	refus
