Langmann	NAM	Langmann
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
réalisateur	NOM	réalisateur
et	KON	et
la	DET:ART	le
seule	ADJ	seul
chose	NOM	chose
qui	PRO:REL	qui
l'	PRO:PER	la|le
intéresse	VER:pres	intéresser
est	VER:pres	être
l'	DET:ART	le
argent	NOM	argent
,	PUN	,
bref	ADV	bref
le	DET:ART	le
film	NOM	film
n'	ADV	ne
est	VER:pres	être
fait	VER:pper	faire
que	KON	que
pour	PRP	pour
amasser	VER:infi	amasser
du	PRP:det	du
pognon	NOM	pognon
et	KON	et
faire	VER:infi	faire
gonfler	VER:infi	gonfler
l'	DET:ART	le
égo	NOM	égo
du	PRP:det	du
fils	NOM	fil|fils
de	PRP	de
claude	NOM	claude
berri	ADJ	berri
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
qu'	KON	que
une	DET:ART	un
ambition	NOM	ambition
dans	PRP	dans
la	DET:ART	le
vie	NOM	vie
:	PUN	:
prouver	VER:infi	prouver
à	PRP	à
son	DET:POS	son
papa	NOM	papa
qu'	PRO:REL	que
il	PRO:PER	il
peut	VER:pres	pouvoir
faire	VER:infi	faire
aussi	ADV	aussi
bien	ADV	bien
que	KON	que
lui	PRO:PER	lui
.	SENT	.
mais	KON	mais
nous	PRO:PER	nous
on	PRO:PER	on
s'	PRO:PER	se
en	PRO:PER	en
fiche	VER:pres	ficher|ficher
et	KON	et
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
voulait	VER:impf	vouloir
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
seulement	ADV	seulement
voir	VER:infi	voir
un	DET:ART	un
bon	ADJ	bon
film	NOM	film
.	SENT	.
Comparez	VER:pres	comparer
les	DET:ART	le
budgets	NOM	budget
de	PRP	de
"	PUN:cit	"
bienvenu	VER:pper	bienvenir
chez	PRP	chez
les	DET:ART	le
ch'tis	NOM	ch'tis
"	PUN:cit	"
et	KON	et
"	PUN:cit	"
astérix	NOM	astérix
"	PUN:cit	"
et	KON	et
vous	PRO:PER	vous
comprendrez	VER:futu	comprendre
que	KON	que
plus	ADV	plus
on	PRO:PER	on
met	VER:pres	mettre
de	PRP	de
frix	NOM	frix
dans	PRP	dans
un	DET:ART	un
film	NOM	film
plus	ADV	plus
c'	PRO:DEM	ce
est	VER:pres	être
pour	PRP	pour
compenser	VER:infi	compenser
la	DET:ART	le
nullité	NOM	nullité
du	PRP:det	du
scénario	NOM	scénario
