Ce	PRO:DEM	ce
nouveau	ADJ	nouveau
dessin	NOM	dessin
animé	VER:pper	animer
de	PRP	de
Walt	NAM	Walt
Disney	NAM	Disney
fait	VER:pres	faire
peine	NOM	peine
à	PRP	à
voir	VER:infi	voir
.	SENT	.
Mauvaise	ADJ	mauvais
intégration	NOM	intégration
des	PRP:det	du
personnages	NOM	personnage
(	PUN	(
loin	ADV	loin
de	PRP	de
qui	PRO:REL	qui
veut	VER:pres	vouloir
la	DET:ART	le
peau	NOM	peau
de	PRP	de
roger	VER:infi	roger
rabbit	NOM	rabbit
)	PUN	)
,	PUN	,
réalisation	NOM	réalisation
digne	ADJ	digne
d'	PRP	de
une	DET:ART	un
intro	ADJ	intro
Playstation	NOM	Playstation
2	NUM	@card@
,	PUN	,
scénario	NOM	scénario
simpliste	ADJ	simpliste
,	PUN	,
effet	NOM	effet
3D	ADJ	3D
nul	ADJ	nul
.	SENT	.
James	NAM	James
Cameron	NAM	Cameron
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
que	KON	que
l'	DET:ART	le
ombre	NOM	ombre
de	PRP	de
lui	PRO:PER	lui
même	ADV	même
depuis	PRP	depuis
son	DET:POS	son
dernier	ADJ	dernier
film	NOM	film
Terminator	NAM	Terminator
4.	SENT	@ord@
Le	DET:ART	le
design	NOM	design
est	VER:pres	être
digne	ADJ	digne
d'	PRP	de
un	DET:ART	un
épisode	NOM	épisode
des	PRP:det	du
schtroumpf	NOM	schtroumpf
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
attend	VER:pres	attendre
à	PRP	à
voir	VER:infi	voir
débarquer	VER:infi	débarquer
Gargamel	NAM	Gargamel
à	PRP	à
chaque	PRO:IND	chaque
plan	NOM	plan
.	SENT	.
Walt	NAM	Walt
Disney	NAM	Disney
aurait	VER:cond	avoir
du	PRP:det	du
confier	VER:infi	confier
le	DET:ART	le
projet	NOM	projet
à	PRP	à
Pixar	NAM	Pixar
pour	KON	pour
avoir	VER:infi	avoir
un	DET:ART	un
dessin	NOM	dessin
animé	VER:pper	animer
de	PRP	de
qualité	NOM	qualité
.	SENT	.
Je	PRO:PER	je
vais	VER:pres	aller
me	PRO:PER	me
remater	VER:infi	remater
de	PRP	de
suite	NOM	suite
un	DET:ART	un
bon	ADJ	bon
film	NOM	film
Final	NAM	Final
Fantasy	NAM	Fantasy
pour	PRP	pour
me	PRO:PER	me
laver	VER:infi	laver
le	DET:ART	le
cerveau	NOM	cerveau
avec	PRP	avec
de	PRP	de
l'	DET:ART	le
image	NOM	image
de	PRP	de
synthese	NOM	synthese
de	PRP	de
qualité	NOM	qualité
!	SENT	!
