Ce	PRO:DEM	ce
film	NOM	film
justifie	VER:pres	justifier
à	PRP	à
lui	PRO:PER	lui
tout	ADV	tout
seul	ADJ	seul
:	PUN	:
1/Le	VER:pres	1/Le
fait	VER:pper	faire
de	PRP	de
payer	VER:infi	payer|payer
sa	DET:POS	son
place	NOM	place
(	PUN	(
j'	PRO:PER	je
ai	VER:pres	avoir
pas	ADV	pas
payer	VER:infi	payer|payer
je	PRO:PER	je
suis	VER:pres	suivre|être
ugc	NOM	ugc
illimité	VER:pper	illimiter
mais	KON	mais
je	PRO:PER	je
l'	PRO:PER	la|le
aurais	VER:cond	avoir
fait	VER:pper	faire
)	PUN	)
2/Les	ADJ	2/Les
films	NOM	film
en	PRP	en
3D	NOM	3D
Bon	NAM	Bon
sinon	KON	sinon
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
pas	ADV	pas
la	DET:ART	le
plus	ADV	plus
fantastique	ADJ	fantastique
du	PRP:det	du
monde	NOM	monde
,	PUN	,
mais	KON	mais
Whaouiiii	NAM	Whaouiiii
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
en	PRO:PER	en
prends	VER:pres	prendre
pleins	ADJ	plein
les	DET:ART	le
yeux	NOM	œil
durant	PRP	durant
2h41	NOM	2h41
.	SENT	.
Du	PRP:det	du
GRAND	NAM	GRAND
spéctacle	NOM	spéctacle
,	PUN	,
un	DET:ART	un
bon	ADJ	bon
gros	ADJ	gros
show	NOM	show
,	PUN	,
des	PRP:det	du
paysage	NOM	paysage
de	PRP	de
dingue	NOM	dingue
et	KON	et
un	DET:ART	un
monde	NOM	monde
vraiment	ADV	vraiment
fantastique	ADJ	fantastique
.	SENT	.
Avec	PRP	avec
quand	ADV	quand
même	ADV	même
une	DET:ART	un
petite	ADJ	petit
morale	NOM	morale
tout	ADV	tout
au	PRP:det	au
long	NOM	long
du	PRP:det	du
film	NOM	film
,	PUN	,
le	DET:ART	le
respect	NOM	respect
de	PRP	de
la	DET:ART	le
nature	NOM	nature
...	PUN	...
A	PRP	à
voir	VER:infi	voir
ABSOLUMENT	NAM	ABSOLUMENT
.	SENT	.
Le	DET:ART	le
film	NOM	film
de	PRP	de
l'	DET:ART	le
année	NOM	année
sans	PRP	sans
aucun	PRO:IND	aucun
doute	NOM	doute
(	PUN	(
avec	PRP	avec
le	DET:ART	le
dernier	ADJ	dernier
tarantino	NOM	tarantino
quand	ADV	quand
même	ADJ	même
)	PUN	)
