Voila	VER:simp	voiler
encore	ADV	encore
un	DET:ART	un
film	NOM	film
qui	PRO:REL	qui
dépasse	VER:pres	dépasser
des	PRP:det	du
records	NOM	record
signé	ADJ	signé
Cameron	NAM	Cameron
!	SENT	!
Avatar	NOM	avatar
est	VER:pres	être
un	DET:ART	un
formidable	ADJ	formidable
spectacle	NOM	spectacle
de	PRP	de
fond	NOM	fond
et	KON	et
de	PRP	de
forme	NOM	forme
qu'	PRO:REL	que
il	PRO:PER	il
faut	VER:pres	falloir
absolument	ADV	absolument
voir	VER:infi	voir
avec	PRP	avec
les	DET:ART	le
lunettes	NOM	lunette|lunettes
de	PRP	de
3D	NOM	3D
,	PUN	,
de	PRP	de
sorte	NOM	sorte
qu'	PRO:REL	que
on	PRO:PER	on
s'	PRO:PER	se
y	PRO:PER	y
croit	VER:pres	croire
vraiment	ADV	vraiment
plongé	VER:pper	plonger
.	SENT	.
Une	DET:ART	un
histoire	NOM	histoire
pleine	ADJ	plein
de	PRP	de
sens	NOM	sen|sens
qui	PRO:REL	qui
ne	ADV	ne
manque	VER:pres	manquer
pas	ADV	pas
de	PRP	de
nous	PRO:PER	nous
toucher	VER:infi	toucher
vraiment	ADV	vraiment
comme	ADV	comme
un	DET:ART	un
cri	NOM	cri
d'	PRP	de
alarme	NOM	alarme
sur	PRP	sur
l'	DET:ART	le
avidité	NOM	avidité
des	PRP:det	du
humains	NOM	humain
qui	PRO:REL	qui
,	PUN	,
ici	ADV	ici
,	PUN	,
recourent	VER:pres	recourir
à	PRP	à
la	DET:ART	le
force	NOM	force
contre	PRP	contre
des	PRP:det	du
indigènes	NOM	indigène
pleins	ADJ	plein
de	PRP	de
sagesse	NOM	sagesse
.	SENT	.
Les	DET:ART	le
Navi	NAM	Navi
,	PUN	,
indigènes	NOM	indigène
bleus	ADJ	bleu
de	PRP	de
Pandora	NOM	Pandora
,	PUN	,
sont	VER:pres	être
superbement	ADV	superbement
créés	VER:pper	créer
,	PUN	,
tout	ADV	tout
comme	ADV	comme
les	DET:ART	le
animaux	NOM	animal
,	PUN	,
et	KON	et
la	DET:ART	le
pléïade	NOM	pléïade
d'	PRP	de
effets	NOM	effet
spéciaux	ADJ	spécial
est	VER:pres	être
sublime	ADJ	sublime
!	SENT	!
C'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
peut	VER:pres	pouvoir
appeler	VER:infi	appeler
un	DET:ART	un
chef	NOM	chef
d'oeuvre	NOM	d'oeuvre
cinématographique	ADJ	cinématographique
empli	VER:pper	emplir
de	PRP	de
sensibilité	NOM	sensibilité
avec	PRP	avec
sa	DET:POS	son
petite	ADJ	petit
histoire	NOM	histoire
d'	PRP	de
amour	NOM	amour
,	PUN	,
les	DET:ART	le
traits	NOM	trait
de	PRP	de
ses	DET:POS	son
personnages	NOM	personnage
et	KON	et
la	DET:ART	le
transcription	NOM	transcription
des	PRP:det	du
noirs	ADJ	noir
agissements	NOM	agissements
des	PRP:det	du
humains	NOM	humain
envers	PRP	envers
des	PRP:det	du
communautés	NOM	communauté
différentes	ADJ	différent
.	SENT	.
Il	PRO:PER	il
est	VER:pres	être
temps	NOM	temps
de	PRP	de
faire	VER:infi	faire
cesser	VER:infi	cesser
les	DET:ART	le
injustices	NOM	injustice
qui	PRO:REL	qui
écrasent	VER:pres	écraser
les	DET:ART	le
populations	NOM	population
bafouées	VER:pper	bafouer
par	PRP	par
l'	DET:ART	le
empreinte	NOM	empreinte
des	PRP:det	du
civilisations	NOM	civilisation
industrielles	ADJ	industriel
,	PUN	,
comme	KON	comme
cela	PRO:DEM	cela
est	VER:pres	être
montré	VER:pper	montrer
dans	PRP	dans
Avatar	NAM	Avatar
.	SENT	.
Un	DET:ART	un
travail	NOM	travail
magnifique	ADJ	magnifique
pour	PRP	pour
cette	PRO:DEM	ce
fin	NOM	fin
d'	PRP	de
année	NOM	année
!	SENT	!
A	VER:pres	avoir
ne	ADV	ne
pas	ADV	pas
rater	VER:infi	rater
!	SENT	!
