Consternant	VER:ppre	consterner
.	SENT	.
Les	DET:ART	le
super-productions	NOM	super-productions
françaises	ADJ	français
tombent	VER:pres	tomber
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
bas	ADJ	bas
.	SENT	.
Il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
pourtant	ADV	pourtant
moyen	ADJ	moyen
de	PRP	de
faire	VER:infi	faire
quelque	PRO:IND	quelque
chose	NOM	chose
avec	PRP	avec
"	PUN:cit	"
Iznogoud	NAM	Iznogoud
"	PUN:cit	"
,	PUN	,
adaptation	NOM	adaptation
de	PRP	de
la	DET:ART	le
célèbre	ADJ	célèbre
BD	ABR	BD
de	PRP	de
Goscinny	NAM	Goscinny
.	SENT	.
Mais	KON	mais
c'	PRO:DEM	ce
est	VER:pres	être
plus	ADV	plus
navrant	ADJ	navrant
que	KON	que
jamais	ADV	jamais
.	SENT	.
Les	DET:ART	le
décors	NOM	décor
sont	VER:pres	être
opulents	ADJ	opulent
mais	KON	mais
font	VER:pres	faire
carton	NOM	carton
pate	ADJ	pate
.	SENT	.
On	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
impression	NOM	impression
d'	PRP	de
assister	VER:infi	assister
à	PRP	à
un	DET:ART	un
défilé	NOM	défilé
de	PRP	de
guests	NOM	guests
de	PRP	de
la	DET:ART	le
télé	NOM	télé
menus	ADJ	menu
faire	VER:infi	faire
leur	DET:POS	leur
show	NOM	show
,	PUN	,
sans	PRP	sans
aucune	PRO:IND	aucun
ambition	NOM	ambition
artistique	ADJ	artistique
.	SENT	.
Michael	NAM	Michael
Youn	NAM	Youn
qui	PRO:REL	qui
se	PRO:PER	se
prend	VER:pres	prendre
pour	PRP	pour
De	NAM	De
Funès	NAM	Funès
,	PUN	,
laissez	VER:pres	laisser
-moi	PRO:PER	moi
rire	VER:infi	rire
.	SENT	.
Magloire	NOM	Magloire
horripile	VER:pres	horripiler
,	PUN	,
Villeret	NAM	Villeret
navre	VER:pres	navrer
.	SENT	.
Quand	KON	quand
on	PRO:PER	on
pense	VER:pres	penser
que	KON	que
ce	PRO:DEM	ce
genre	NOM	genre
d'	PRP	de
aneries	NOM	aneries
fait	VER:pres	faire
2,5	NUM	@card@
millions	NOM	million
d'	PRP	de
entrées	NOM	entrée
en	PRP	en
France	NAM	France
,	PUN	,
on	PRO:PER	on
reste	VER:pres	rester
perplexe	ADJ	perplexe
...	PUN	...
J'	NAM	J'
espère	VER:pres	espérer
que	KON	que
Astérix	NAM	Astérix
aux	PRP:det	au
J.	NAM	J.
O	NOM	O
relevera	VER:futu	relevera
le	DET:ART	le
niveau	NOM	niveau
.	SENT	.
