Navrant	VER:ppre	navrer
.	SENT	.
Pathétique	NOM	pathétique
.	SENT	.
Stupide	ADJ	stupide
et	KON	et
inutile	ADJ	inutile
.	SENT	.
Définitivement	ADV	définitivement
mauvais	ADJ	mauvais
,	PUN	,
dans	PRP	dans
la	DET:ART	le
catégorie	NOM	catégorie
super	ADJ	super
navet	NOM	navet
.	SENT	.
Autant	ADV	autant
d'	PRP	de
adjectifs	ADJ	adjectif
pour	PRP	pour
désigner	VER:infi	désigner
cette	PRO:DEM	ce
merde	NOM	merde
infâme	ADJ	infâme
,	PUN	,
et	KON	et
qui	PRO:REL	qui
laisserait	VER:cond	laisser
presque	ADV	presque
un	DET:ART	un
goût	NOM	goût
amer	ADJ	amer
dans	PRP	dans
la	DET:ART	le
bouche	NOM	bouche
.	SENT	.
Autant	ADV	autant
d'	PRP	de
adjectifs	NOM	adjectif
,	PUN	,
mais	KON	mais
qui	PRO:REL	qui
encore	ADV	encore
ne	ADV	ne
parviennent	VER:pres	parvenir
pas	ADV	pas
à	PRP	à
démontrer	VER:infi	démontrer
toute	PRO:IND	tout
la	DET:ART	le
nullité	NOM	nullité
de	PRP	de
ce	PRO:DEM	ce
chef	NOM	chef
d'oeuvre	VER:subp	d'oeuvre
du	PRP:det	du
mauvais	NOM	mauvais
!	SENT	!
45	NUM	@card@
minutes	NOM	minute
ont	VER:pres	avoir
suffi	VER:pper	suffire
à	PRP	à
comprendre	VER:infi	comprendre
:	PUN	:
j'	PRO:PER	je
ai	VER:pres	avoir
non	ADV	non
seulement	ADV	seulement
perdu	ADJ	perdu
1h	NOM	1h
,	PUN	,
la	DET:ART	le
place	NOM	place
de	PRP	de
parking	NOM	parking
,	PUN	,
mais	KON	mais
aussi	ADV	aussi
et	KON	et
surtout	ADV	surtout
la	DET:ART	le
confiance	NOM	confiance
dans	PRP	dans
le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
!	SENT	!
Les	DET:ART	le
producteurs	NOM	producteur
et	KON	et
réalisateurs	NOM	réalisateur
,	PUN	,
du	PRP:det	du
moins	ADV	moins
ceux	PRO:DEM	celui
qui	PRO:REL	qui
font	VER:pres	faire
ce	PRO:DEM	ce
genre	NOM	genre
de	PRP	de
daube	NOM	daube
,	PUN	,
prennent	VER:pres	prendre
vraiment	ADV	vraiment
les	DET:ART	le
gens	NOM	gens
pour	KON	pour
des	PRP:det	du
cons	NOM	con
de	PRP	de
catégorie	NOM	catégorie
internationale	ADJ	international
,	PUN	,
rien	NOM	rien
,	PUN	,
absolument	ADV	absolument
rien	ADV	rien
dans	PRP	dans
cette	PRO:DEM	ce
apothéose	NOM	apothéose
de	PRP	de
la	DET:ART	le
nullité	NOM	nullité
ne	ADV	ne
justifie	VER:pres	justifier
ce	PRO:DEM	ce
film	NOM	film
!	SENT	!
Tous	PRO:IND	tout
sont	VER:pres	être
mauvais	ADJ	mauvais
,	PUN	,
tout	PRO:IND	tout
est	VER:pres	être
mauvais	ADJ	mauvais
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
même	ADV	même
oubliés	VER:pper	oublier
les	DET:ART	le
blagues	NOM	blague
!	SENT	!
A	PRP	à
ranger	VER:infi	ranger
dans	PRP	dans
le	DET:ART	le
sous	PRP	sous
genre	NOM	genre
:	PUN	:
ne	ADV	ne
jamais	ADV	jamais
voir	VER:infi	voir
,	PUN	,
tenter	VER:infi	tenter
d'	PRP	de
oublier	VER:infi	oublier
.	SENT	.
Vraiment	ADV	vraiment
,	PUN	,
vraiment	ADV	vraiment
,	PUN	,
n'	ADV	ne
y	PRO:PER	y
allez	VER:pres	aller
surtout	ADV	surtout
pas	ADV	pas
!	SENT	!
