Bonsoir	INT	bonsoir
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
allé	VER:pper	aller
voir	VER:infi	voir
ce	PRO:DEM	ce
film	NOM	film
hier	ADV	hier
soir	NOM	soir
et	KON	et
je	PRO:PER	je
vous	PRO:PER	vous
le	PRO:PER	le
conseille	VER:pres	conseiller
vivement	ADV	vivement
.	SENT	.
Le	DET:ART	le
scénario	NOM	scénario
est	VER:pres	être
bon	ADJ	bon
,	PUN	,
les	DET:ART	le
effets	NOM	effet
spéciaux	ADJ	spécial
excellents	ADJ	excellent
,	PUN	,
les	DET:ART	le
images	NOM	image
magnifiques	ADJ	magnifique
.	SENT	.
L'	DET:ART	le
expérience	NOM	expérience
3D	ADJ	3D
est	VER:pres	être
au	PRP:det	au
début	NOM	début
un	DET:ART	un
peu	ADV	peu
déconcertante	ADJ	déconcertant
car	KON	car
j'	PRO:PER	je
avais	VER:impf	avoir
l'	DET:ART	le
impression	NOM	impression
d'	PRP	de
avoir	VER:infi	avoir
du	PRP:det	du
mal	NOM	mal
à	PRP	à
me	PRO:PER	me
concentrer	VER:infi	concentrer
sur	PRP	sur
l'	DET:ART	le
histoire	NOM	histoire
,	PUN	,
puis	ADV	puis
je	PRO:PER	je
l'	PRO:PER	la|le
ai	VER:pres	avoir
vraiment	ADV	vraiment
trouvée	VER:pper	trouver
bluffante	ADJ	bluffante
.	SENT	.
La	DET:ART	le
3D	NOM	3D
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
indispensable	ADJ	indispensable
au	PRP:det	au
film	NOM	film
mais	KON	mais
apporte	VER:pres	apporter
un	DET:ART	un
plus	ADV	plus
certain	ADJ	certain
.	SENT	.
Certaines	PRO:IND	certain
images	NOM	image
ne	ADV	ne
sont	VER:pres	être
cependant	ADV	cependant
pas	ADV	pas
très	ADV	très
nettes	ADJ	net
hors	PRP	hors
la	DET:ART	le
partie	NOM	partie
principale	ADJ	principal
(	PUN	(
progrès	NOM	progrès
à	PRP	à
faire	VER:infi	faire
)	PUN	)
.	SENT	.
Plusieurs	PRO:IND	plusieurs
thèmes	NOM	thème
:	PUN	:
les	DET:ART	le
profiteurs	NOM	profiteur
américains	ADJ	américain
qui	PRO:REL	qui
veulent	VER:pres	vouloir
piller	VER:infi	piller
les	DET:ART	le
ressources	NOM	ressource
naturelles	ADJ	naturel
de	PRP	de
la	DET:ART	le
planète	NOM	planète
Pandora	NAM	Pandora
,	PUN	,
quitte	VER:pres	quitter
à	PRP	à
en	PRO:PER	en
exterminer	VER:infi	exterminer
ou	KON	ou
chasser	VER:infi	chasser
ses	DET:POS	son
habitants	NOM	habitant
les	DET:ART	le
na'vi	NOM	na'vi
;	PUN	;
le	DET:ART	le
thème	NOM	thème
de	PRP	de
l'	DET:ART	le
écologie	NOM	écologie
:	PUN	:
les	DET:ART	le
na'vi	NOM	na'vi
restituent	VER:pres	restituer
ce	PRO:DEM	ce
qu'	PRO:REL	que
ils	PRO:PER	il
prennent	VER:pres	prendre
à	PRP	à
la	DET:ART	le
nature	NOM	nature
pour	PRP	pour
vivre	VER:infi	vivre
et	KON	et
rendent	VER:pres	rendre
hommages	NOM	hommage
aux	PRP:det	au
animaux	NOM	animal
qu'	PRO:REL	que
ils	PRO:PER	il
tuent	VER:pres	tuer
;	PUN	;
le	DET:ART	le
thème	NOM	thème
du	PRP:det	du
rite	NOM	rite
initiatique	ADJ	initiatique
et	KON	et
de	PRP	de
l'	DET:ART	le
amour	NOM	amour
mixte	ADJ	mixte
pas	ADV	pas
appréciée	VER:pper	apprécier
au	PRP:det	au
début	NOM	début
.	SENT	.
Bref	ADV	bref
courrez	VER:futu	courir
-y	PRO:PER	y
vite	ADV	vite
.	SENT	.
