Quelle	PRO:REL	quel
déception	NOM	déception
!	SENT	!
Avoir	VER:infi	avoir
autant	ADV	autant
de	PRP	de
budget	NOM	budget
et	KON	et
d'	PRP	de
aussi	ADV	aussi
bons	ADJ	bon
acteurs	NOM	acteur
pour	PRP	pour
faire	VER:infi	faire
un	DET:ART	un
film	NOM	film
aussi	ADV	aussi
médiocre	ADJ	médiocre
c'	PRO:DEM	ce
est	VER:pres	être
honteux	ADJ	honteux
!	SENT	!
Poelevoorde	NAM	Poelevoorde
est	VER:pres	être
irritant	ADJ	irritant
et	KON	et
Cornillac	NAM	Cornillac
mérite	VER:pres	mériter
cent	NUM	cent
fois	NOM	foi|fois
mieux	ADV	mieux
que	KON	que
ce	PRO:DEM	ce
rôle	NOM	rôle
.	SENT	.
Alain	NAM	Alain
Delon	NAM	Delon
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
du	PRP:det	du
tout	NOM	tout
drôle	ADJ	drôle
...	PUN	...
et	KON	et
le	DET:ART	le
rôle	NOM	rôle
de	PRP	de
Schumacher	NAM	Schumacher
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
été	VER:pper	être
exploité	VER:pper	exploiter
,	PUN	,
d'ailleurs	ADV	d'ailleurs
cette	PRO:DEM	ce
scène	NOM	scène
est	VER:pres	être
super	ADJ	super
longue	ADJ	longue
on	PRO:PER	on
s'	PRO:PER	se
endormirai	VER:futu	endormir
devant	ADV	devant
...	PUN	...
En	VER:simp	En
fait	VER:pper	faire
j'	PRO:PER	je
ai	VER:pres	avoir
juste	ADJ	juste
aimé	VER:pper	aimer
les	DET:ART	le
5	NUM	@card@
denières	NOM	denières
minutes	NOM	minute
,	PUN	,
heureusement	ADV	heureusement
que	KON	que
Jamel	NAM	Jamel
et	KON	et
Zidane	NAM	Zidane
ont	VER:pres	avoir
fait	VER:pper	faire
une	DET:ART	un
apparition	NOM	apparition
!	SENT	!
A	PRP	à
78	NUM	@card@
millions	NOM	million
les	DET:ART	le
5	NUM	@card@
minutes	NOM	minute
de	PRP	de
rires	NOM	rire
Thomas	NAM	Thomas
Langmann	NAM	Langmann
aurait	VER:cond	avoir
mieux	ADV	mieux
fait	VER:pper	faire
de	PRP	de
s'	PRO:PER	se
abstenir	VER:infi	abstenir
!	SENT	!
