NON	INT	non
!	SENT	!
!	SENT	!
il	PRO:PER	il
faut	VER:pres	falloir
absolument	ADV	absolument
boycoter	VER:infi	boycoter
ce	PRO:DEM	ce
film	NOM	film
!	SENT	!
n'	ADV	ne
allez	VER:pres	aller
pas	ADV	pas
le	PRO:PER	le
voir	VER:infi	voir
on	PRO:PER	on
nous	PRO:PER	nous
prend	VER:pres	prendre
vraiment	ADV	vraiment
pour	PRP	pour
des	PRP:det	du
pigeons	NOM	pigeon
et	KON	et
on	PRO:PER	on
nous	PRO:PER	nous
boure	VER:subp	boure
le	PRO:PER	le
crane	VER:pres	craner
avec	PRP	avec
une	DET:ART	un
promo	NOM	promo
folle	ADJ	folle|fou
!	SENT	!
ça	PRO:DEM	cela
fait	VER:pres	faire
3	NUM	@card@
ans	NOM	an
qu'	KON	que
onn	NOM	onn
entend	VER:pres	entendre
parler	VER:infi	parler
de	PRP	de
cette	PRO:DEM	ce
pompe	NOM	pompe
à	PRP	à
fric	NOM	fric
qui	PRO:REL	qui
n'	ADV	ne
en	PRO:PER	en
vaut	VER:pres	valoir
meme	NOM	meme
pas	ADV	pas
la	DET:ART	le
peine	NOM	peine
d'après	ADV	d'après
les	DET:ART	le
critiques	NOM	critique
leur	DET:POS	leur
seul	ADJ	seul
argument	NOM	argument
c'	PRO:DEM	ce
est	VER:pres	être
deux	NUM	deux
mettre	VER:infi	mettre
des	PRP:det	du
acteurs	NOM	acteur
archis	NOM	archis
connu	VER:pper	connaître
et	KON	et
qui	PRO:REL	qui
pètent	VER:pres	péter
plus	ADV	plus
haut	ADJ	haut
que	KON	que
leur	DET:POS	leur
cul	NOM	cul
:	PUN	:
Avé	NOM	avé
césar	NOM	césar
!	SENT	!
!	SENT	!
allez	VER:pres	aller
plutot	NOM	plutot
voir	VER:infi	voir
des	PRP:det	du
films	NOM	film
comme	KON	comme
celui	PRO:DEM	celui
de	PRP	de
Sandrine	NAM	Sandrine
Bonnaire	NAM	Bonnaire
qui	PRO:REL	qui
sort	VER:pres	sortir
cette	PRO:DEM	ce
semaine	NOM	semaine
aussi	ADV	aussi
et	KON	et
sauvez	VER:pres	sauver
l'	DET:ART	le
honneur	NOM	honneur
du	PRP:det	du
cinéma	NOM	cinéma
français	ADJ	français
!	SENT	!
