C'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
très	ADV	très
bon	ADJ	bon
divertissement	NOM	divertissement
.	SENT	.
Du	PRP:det	du
haut	NOM	haut
de	PRP	de
gamme	NOM	gamme
.	SENT	.
une	DET:ART	un
première	NUM	premier
partie	NOM	partie
qui	PRO:REL	qui
m'	PRO:PER	me
a	VER:pres	avoir
semblée	VER:pper	sembler
plus	ADV	plus
captivante	ADJ	captivant
(	PUN	(
la	DET:ART	le
découverte	NOM	découverte
de	PRP	de
pandora	NOM	pandora
,	PUN	,
les	DET:ART	le
rites	NOM	rite
initiatiques	ADJ	initiatique
...	PUN	...
)	PUN	)
que	KON	que
les	DET:ART	le
scènes	NOM	scène
de	PRP	de
"	PUN:cit	"
baston	NOM	baston
"	PUN:cit	"
plus	ADV	plus
convenues	VER:pper	convenir
...	PUN	...
Il	NAM	Il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
des	PRP:det	du
moments	NOM	moment
ou	KON	ou
je	PRO:PER	je
suis	VER:pres	suivre|être
parti	VER:pper	partir
dans	PRP	dans
le	DET:ART	le
film	NOM	film
et	KON	et
d'	PRP	de
autres	ADJ	autre
ou	KON	ou
j'	PRO:PER	je
ai	VER:pres	avoir
un	DET:ART	un
peu	ADV	peu
décroché	VER:pper	décrocher
...	PUN	...
le	DET:ART	le
film	NOM	film
aurait	VER:cond	avoir
peut-être	ADV	peut-être
mérité	VER:pper	mériter
d'	PRP	de
être	VER:infi	être
un	DET:ART	un
peu	ADV	peu
moins	ADV	moins
long	ADJ	long
.	SENT	.
Indéniablement	ADV	indéniablement
,	PUN	,
le	DET:ART	le
film	NOM	film
en	PRP	en
images	NOM	image
de	PRP	de
synthèse	NOM	synthèse
le	DET:ART	le
plus	ADV	plus
abouti	VER:pper	aboutir
.	SENT	.
Et	KON	et
quelle	PRO:REL	quel
invention	NOM	invention
...	PUN	...
Par	NOM	par
contre	PRP	contre
,	PUN	,
l'	DET:ART	le
omniprésente	ADJ	omniprésent
musique	NOM	musique
néo	ADJ	néo
new-âge	ADJ	new-âge
gâche	NOM	gâche
un	DET:ART	un
peu	ADV	peu
le	DET:ART	le
plaisir	NOM	plaisir
au	PRP:det	au
final	ADJ	final
.	SENT	.
