C'	PRO:DEM	ce
est	VER:pres	être
nul	ADJ	nul
!	SENT	!
!	SENT	!
Fuyez	VER:pres	fuir
!	SENT	!
!	SENT	!
En	PRP	en
gros	ADV	gros
les	DET:ART	le
gags	NOM	gag
arrivent	VER:pres	arriver
à	PRP	à
pas	ADV	pas
d'	PRP	de
éléphant	NOM	éléphant
,	PUN	,
les	DET:ART	le
clins	NOM	clin
d'	PRP	de
oeil	NOM	œil
cinématographique	ADJ	cinématographique
inintéressants	ADJ	inintéressant
.	SENT	.
Les	DET:ART	le
seuls	ADJ	seul
moments	NOM	moment
d'	PRP	de
humour	NOM	humour
arrivent	VER:pres	arriver
à	PRP	à
la	DET:ART	le
fin	NOM	fin
,	PUN	,
mais	KON	mais
sont	VER:pres	être
noyés	VER:pper	noyer
dans	PRP	dans
un	DET:ART	un
défilé	NOM	défilé
de	PRP	de
sportif	NOM	sportif
connu	VER:pper	connaître
.	SENT	.
Je	PRO:PER	je
dirais	VER:cond	dire
même	ADV	même
que	KON	que
le	DET:ART	le
film	NOM	film
est	VER:pres	être
plutot	NOM	plutot
mal	ADV	mal
mise	VER:pper	mettre
en	PRP	en
scene	NOM	scene
et	KON	et
l'	DET:ART	le
interprétation	NOM	interprétation
de	PRP	de
Delon	NAM	Delon
...	PUN	...
au	PRP:det	au
secours	NOM	secours
!	SENT	!
!	SENT	!
"	PUN:cit	"
avé	NOM	avé
moi	NOM	moi
"	PUN:cit	"
,	PUN	,
on	PRO:PER	on
nous	PRO:PER	nous
l'	PRO:PER	la|le
a	VER:pres	avoir
tellement	ADV	tellement
sortit	VER:simp	sortir
durant	PRP	durant
la	DET:ART	le
promotion	NOM	promotion
du	PRP:det	du
film	NOM	film
,	PUN	,
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
supporte	VER:pres	supporter
plus	ADV	plus
de	PRP	de
l'	PRO:PER	la|le
entendre	VER:infi	entendre
dans	PRP	dans
sa	DET:POS	son
bouche	NOM	bouche
.	SENT	.
En	PRP	en
gros	ADJ	gros
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
mis	VER:pper	mettre
tout	PRO:IND	tout
leur	DET:POS	leur
argent	NOM	argent
dans	PRP	dans
les	DET:ART	le
vedettes	NOM	vedette
mais	KON	mais
aurait	VER:cond	avoir
du	PRP:det	du
travailler	VER:infi	travailler
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
le	DET:ART	le
scénario	NOM	scénario
!	SENT	!
!	SENT	!
!	SENT	!
