J	ABR	J
'	PUN	'
ai	VER:pres	avoir
hésité	VER:pper	hésiter
entre	PRP	entre
2	NUM	@card@
et	KON	et
3	NUM	@card@
étoiles	NOM	étoile
et	KON	et
je	PRO:PER	je
choisis	VER:pres	choisir
la	DET:ART	le
2ème	NUM	2ème
solution	NOM	solution
du	PRP:det	du
fait	NOM	fait
des	PRP:det	du
critiques	NOM	critique
plus	ADV	plus
qu	ADJ	qu
'	PUN	'
exagérés	VER:pper	exagérer
envers	PRP	envers
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
Les	DET:ART	le
premières	NUM	premier
20	NUM	@card@
minutes	NOM	minute
sont	VER:pres	être
un	DET:ART	un
peu	ADV	peu
longuettes	ADJ	longuet
,	PUN	,
mais	KON	mais
dans	PRP	dans
l	NOM	l
'	PUN	'
ensemble	ADV	ensemble
le	DET:ART	le
film	NOM	film
se	PRO:PER	se
tient	VER:pres	tenir
très	ADV	très
bien	ADV	bien
et	KON	et
est	VER:pres	être
plaisant	ADJ	plaisant
à	PRP	à
suivre	VER:infi	suivre
.	SENT	.
"	PUN:cit	"
Obélix	NAM	Obélix
"	PUN:cit	"
Depardieu	NAM	Depardieu
tient	VER:pres	tenir
bien	ADV	bien
son	DET:POS	son
rôle	NOM	rôle
et	KON	et
le	DET:ART	le
nouvel	ADJ	nouveau
"	PUN:cit	"
Astérix	NAM	Astérix
"	PUN:cit	"
Clovis	NAM	Clovis
Cornillac	NAM	Cornillac
fait	VER:pres	faire
oublier	VER:infi	oublier
Clavier	NAM	Clavier
;	PUN	;
Poolvorde	NAM	Poolvorde
est	VER:pres	être
parfait	VER:pper	parfaire
dans	PRP	dans
le	DET:ART	le
personnage	NOM	personnage
du	PRP:det	du
déjanté	VER:pper	déjanter
Brutus	NAM	Brutus
et	KON	et
Delon	NAM	Delon
est	VER:pres	être
l	VER:pper	l
'	PUN	'
acteur	NOM	acteur
parfait	ADJ	parfait
pour	PRP	pour
tenir	VER:infi	tenir
le	DET:ART	le
rôle	NOM	rôle
de	PRP	de
César	NAM	César
.	SENT	.
Coté	VER:pper	coter
guest-star	NOM	guest-star
,	PUN	,
si	KON	si
Michaël	NAM	Michaël
"	PUN:cit	"
Shumix	NAM	Shumix
"	PUN:cit	"
Shumacher	NAM	Shumacher
et	KON	et
Jean	NAM	Jean
Todt	NAM	Todt
ont	VER:pres	avoir
leurs	DET:POS	leur
places	NOM	place
dans	PRP	dans
la	DET:ART	le
course	NOM	course
de	PRP	de
chars	NOM	char
,	PUN	,
"	PUN:cit	"
Numérodix	NOM	Numérodix
"	PUN:cit	"
Zidane	NAM	Zidane
,	PUN	,
Jamel	NAM	Jamel
Debouzze	NAM	Debouzze
et	KON	et
Tony	NAM	Tony
Parker	NAM	Parker
n	VER:futu	n
'	PUN	'
apportent	VER:pres	apporter
rien	ADV	rien
à	PRP	à
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
Dans	PRP	dans
l	NOM	l
'	PUN	'
ensemble	ADV	ensemble
,	PUN	,
une	DET:ART	un
bonne	ADJ	bon
surprise	NOM	surprise
-	PUN	-
notamment	ADV	notamment
quand	KON	quand
on	PRO:PER	on
a	VER:pres	avoir
été	VER:pper	être
abreuvé	VER:pper	abreuver
par	PRP	par
les	DET:ART	le
critiques	NOM	critique
très	ADV	très
exagèrement	NOM	exagèrement
négatives	ADJ	négatif
-	PUN	-
mais	KON	mais
tout	PRO:IND	tout
n	NOM	n
'	PUN	'
est	VER:pres	être
pas	ADV	pas
parfait	ADJ	parfait
quand	KON	quand
même	ADJ	même
.	SENT	.
Ma	DET:POS	mon
note	NOM	note
:	PUN	:
14/20	NUM	@card@
