Mon	DET:POS	mon
dieu	NOM	dieu
,	PUN	,
mais	KON	mais
quel	PRO:REL	quel
Daube	NAM	Daube
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
Avec	PRP	avec
un	DET:ART	un
Budget	NOM	budget
de	PRP	de
78	NUM	@card@
millions	NOM	million
de	PRP	de
dollars	NOM	dollar
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
on	PRO:PER	on
pouvait	VER:impf	pouvoir
vraiment	ADV	vraiment
s'	PRO:PER	se
attendre	VER:infi	attendre
a	VER:pres	avoir
un	DET:ART	un
film	NOM	film
généreux	ADJ	généreux
et	KON	et
drôle	ADJ	drôle
,	PUN	,
mais	KON	mais
franchement	ADV	franchement
là	ADV	là
c'	PRO:DEM	ce
est	VER:pres	être
pathétique	ADJ	pathétique
.	SENT	.
Les	DET:ART	le
décors	NOM	décor
,	PUN	,
les	DET:ART	le
costume	NOM	costume
,	PUN	,
tout	PRO:IND	tout
l'	DET:ART	le
ensemble	NOM	ensemble
du	PRP:det	du
film	NOM	film
est	VER:pres	être
une	DET:ART	un
totale	ADJ	total
deception	NOM	deception
.	SENT	.
Les	DET:ART	le
seuls	ADJ	seul
interets	NOM	interets
du	PRP:det	du
film	NOM	film
sont	VER:pres	être
Clovis	NAM	Clovis
Cornillac	NAM	Cornillac
qui	PRO:REL	qui
campe	VER:pres	camper
un	DET:ART	un
meileur	NOM	meileur
Asterix	NAM	Asterix
que	KON	que
Clavier	NAM	Clavier
,	PUN	,
Gerard	NAM	Gerard
Depardieu	NAM	Depardieu
qui	PRO:REL	qui
est	VER:pres	être
toujours	ADV	toujours
tès	NOM	tès
bon	ADJ	bon
en	PRP	en
Obelix	NAM	Obelix
mais	KON	mais
aussi	ADV	aussi
Alain	NAM	Alain
Delon	NAM	Delon
qui	PRO:REL	qui
campe	VER:pres	camper
un	DET:ART	un
interessant	ADJ	interessant
César	NAM	César
.	SENT	.
Par	PRP	par
contre	PRP	contre
si	ADV	si
Benoit	NAM	Benoit
Poelvoorde	NAM	Poelvoorde
pouvait	VER:impf	pouvoir
arreter	VER:infi	arreter
le	DET:ART	le
cinéma	NOM	cinéma
honnêtement	ADV	honnêtement
ca	VER:cond	ca
m'	PRO:PER	me
arrangerait	VER:cond	arranger
,	PUN	,
ce	PRO:DEM	ce
type	NOM	type
là	ADV	là
je	PRO:PER	je
le	PRO:PER	le
supporte	VER:pres	supporter
pas	ADV	pas
,	PUN	,
et	KON	et
là	ADV	là
dans	PRP	dans
ce	PRO:DEM	ce
film	NOM	film
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
tête	NOM	tête
à	PRP	à
claque	NOM	claque
au	PRP:det	au
possible	ADJ	possible
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
Bon	ADJ	bon
voilà	ADV	voilà
,	PUN	,
franchement	ADV	franchement
messieurs	NOM	messieurs
les	DET:ART	le
producteurs	NOM	producteur
vous	PRO:PER	vous
serez	VER:futu	être
aviser	VER:infi	aviser
la	DET:ART	le
prochaine	ADJ	prochain
fois	NOM	foi|fois
de	PRP	de
depenser	NOM	depenser
de	PRP	de
l'	DET:ART	le
argent	NOM	argent
de	PRP	de
manière	NOM	manière
plus	ADV	plus
intelligente	ADJ	intelligent
.	SENT	.
Voici	ADV	voici
un	DET:ART	un
film	NOM	film
que	KON	que
je	PRO:PER	je
ne	ADV	ne
conseille	VER:pres	conseiller
vraiment	ADV	vraiment
a	VER:pres	avoir
personne	ADV	personne
,	PUN	,
passez	VER:pres	passer
votre	DET:POS	votre
chemin	NOM	chemin
et	KON	et
ne	ADV	ne
perdez	VER:pres	perdre
pas	ADV	pas
votre	DET:POS	votre
temps	NOM	temps
a	VER:pres	avoir
regarder	VER:infi	regarder
un	DET:ART	un
truc	NOM	truc
pareil	ADJ	pareil
.	SENT	.
