Affligeant	VER:ppre	affliger
!	SENT	!
!	SENT	!
Le	DET:ART	le
mot	NOM	mot
est	VER:pres	être
lancé	VER:pper	lancer
...	PUN	...
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
affligeant	ADJ	affligeant
!	SENT	!
Heureusement	ADV	heureusement
que	KON	que
ce	PRO:DEM	ce
film	NOM	film
a	VER:pres	avoir
plu	VER:pper	plaire|pleuvoir
à	PRP	à
ma	DET:POS	mon
fille	NOM	fille
de	PRP	de
09	NUM	@card@
ans	NOM	an
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
seule	ADJ	seul
compensation	NOM	compensation
que	PRO:REL	que
je	PRO:PER	je
puisse	VER:subp	pouvoir
retirer	VER:infi	retirer
de	PRP	de
cette	PRO:DEM	ce
pénible	ADJ	pénible
et	KON	et
douloureuse	ADJ	douloureux
séance	NOM	séance
cinématographique	ADJ	cinématographique
.	SENT	.
Les	DET:ART	le
doublages	NOM	doublage
sont	VER:pres	être
trés	ADJ	trés
mal	ADV	mal
effectués	VER:pper	effectuer
,	PUN	,
surtout	ADV	surtout
pour	PRP	pour
le	DET:ART	le
père	NOM	père
d'	PRP	de
Arthur	NAM	Arthur
.	SENT	.
Je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
rien	ADV	rien
contre	PRP	contre
Jean	NAM	Jean
Paul	NAM	Paul
Rouve	NAM	Rouve
,	PUN	,
bien	ADV	bien
au	PRP:det	au
contraire	NOM	contraire
,	PUN	,
mais	KON	mais
sa	DET:POS	son
voix	NOM	voix
ne	ADV	ne
colle	VER:pres	coller
absolument	ADV	absolument
pas	ADV	pas
au	PRP:det	au
personnage	NOM	personnage
.	SENT	.
Les	DET:ART	le
séquences	NOM	séquence
d'	PRP	de
actions	NOM	action
n'	ADV	ne
existent	VER:pres	exister
quasiment	ADV	quasiment
pas	ADV	pas
et	KON	et
je	PRO:PER	je
passe	VER:pres	passer
sur	PRP	sur
les	DET:ART	le
autres	ADJ	autre
défauts	NOM	défaut
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
Le	DET:ART	le
clou	NOM	clou
du	PRP:det	du
spectacle	NOM	spectacle
,	PUN	,
si	KON	si
j'	PRO:PER	je
ose	VER:pres	oser
m'	PRO:PER	me
exprimer	VER:infi	exprimer
ainsi	ADV	ainsi
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
"	PUN:cit	"
A	PRP	à
suivre	VER:infi	suivre
"	PUN:cit	"
qui	PRO:REL	qui
a	VER:pres	avoir
déclenché	VER:pper	déclencher
des	PRP:det	du
plaintes	NOM	plainte
par	PRP	par
dizaine	NOM	dizaine
de	PRP	de
la	DET:ART	le
part	NOM	part
des	PRP:det	du
jeunes	ADJ	jeune
spectateurs	NOM	spectateur
.	SENT	.
Dommage	NOM	dommage
,	PUN	,
Luc	NAM	Luc
Besson	NAM	Besson
nous	PRO:PER	nous
avez	VER:pres	avoir
habitué	VER:pper	habituer
à	PRP	à
mieux	ADV	mieux
.	SENT	.
