Hum	INT	hum
...	PUN	...
comment	ADV	comment
appréhender	VER:infi	appréhender
un	DET:ART	un
tel	PRO:DEM	tel
film	NOM	film
?	SENT	?
En	PRP	en
y	PRO:PER	y
voyant	VER:ppre	voir
le	DET:ART	le
côté	NOM	côté
divertissant	ADJ	divertissant
?	SENT	?
Ca	NAM	Ca
ne	ADV	ne
marche	VER:pres	marcher
pas	ADV	pas
non	ADV	non
plus	ADV	plus
.	SENT	.
Pourtant	ADV	pourtant
,	PUN	,
ce	PRO:DEM	ce
film	NOM	film
avait	VER:impf	avoir
le	DET:ART	le
potentiel	NOM	potentiel
et	KON	et
les	DET:ART	le
décors	NOM	décor
pour	PRP	pour
faire	VER:infi	faire
mieux	ADV	mieux
.	SENT	.
Mais	KON	mais
j'	PRO:PER	je
ai	VER:pres	avoir
très	ADV	très
rarement	ADV	rarement
sourit	VER:pres	sourire
durant	PRP	durant
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
J'	PRO:PER	je
ai	VER:pres	avoir
même	ADV	même
lutté	VER:pper	lutter
pour	PRP	pour
ne	ADV	ne
pas	ADV	pas
dormir	VER:infi	dormir
.	SENT	.
Pourquoi	ADV	pourquoi
?	SENT	?
Parce	KON	parce
que	KON	que
les	DET:ART	le
acteurs	NOM	acteur
cabotinent	VER:pres	cabotiner
,	PUN	,
en	PRO:PER	en
font	VER:pres	faire
des	PRP:det	du
caisses	NOM	caisse
,	PUN	,
surjouent	VER:pres	surjouent
.	SENT	.
Tous	PRO:IND	tout
sans	PRP	sans
exception	NOM	exception
.	SENT	.
Sans	PRP	sans
parler	VER:infi	parler
des	PRP:det	du
dix	NUM	dix
dernières	ADJ	dernier
minutes	NOM	minute
.	SENT	.
Racoleuses	ADJ	racoleur
et	KON	et
ridicules	ADJ	ridicule
à	PRP	à
souhaits	NOM	souhait
.	SENT	.
Un	DET:ART	un
Debbouze	NOM	Debbouze
qui	PRO:REL	qui
fait	VER:pres	faire
le	DET:ART	le
guignol	NOM	guignol
(	PUN	(
comme	ADV	comme
pour	PRP	pour
accrocher	VER:infi	accrocher
un	DET:ART	un
peu	ADV	peu
de	PRP	de
sel	NOM	sel
du	PRP:det	du
film	NOM	film
de	PRP	de
Chabat	NAM	Chabat
)	PUN	)
autour	ADV	autour
de	PRP	de
people	NOM	people
même	ADV	même
plus	ADV	plus
dans	PRP	dans
le	DET:ART	le
coup	NOM	coup
mais	KON	mais
qui	PRO:REL	qui
font	VER:pres	faire
sentir	VER:infi	sentir
que	KON	que
ce	PRO:DEM	ce
film	NOM	film
a	VER:pres	avoir
des	PRP:det	du
années	NOM	année
de	PRP	de
retard	NOM	retard
au	PRP:det	au
vue	NOM	vue
des	PRP:det	du
gags	NOM	gag
éculés	VER:pper	éculer
de	PRP	de
cette	PRO:DEM	ce
dernière	ADJ	dernier
partie	NOM	partie
.	SENT	.
Conclusion	NOM	conclusion
:	PUN	:
un	DET:ART	un
ramassis	NOM	ramassis
d'	PRP	de
humour	NOM	humour
cliché	VER:pper	clicher
qui	PRO:REL	qui
n'	ADV	ne
épargne	VER:pres	épargner
rien	ADV	rien
dans	PRP	dans
le	DET:ART	le
ridicule	NOM	ridicule
que	KON	que
les	DET:ART	le
magnifiques	ADJ	magnifique
décors	NOM	décor
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
réussit	VER:pres	réussir
à	PRP	à
sauver	VER:infi	sauver
.	SENT	.
