Aucun	PRO:IND	aucun
scénario	NOM	scénario
...	PUN	...
pourtant	ADV	pourtant
c'	PRO:DEM	ce
est	VER:pres	être
bien	ADV	bien
le	DET:ART	le
secteur	NOM	secteur
d'	PRP	de
un	DET:ART	un
film	NOM	film
qui	PRO:REL	qui
coute	VER:pres	coute
pas	ADV	pas
grand	ADJ	grand
choser	VER:infi	choser
et	KON	et
qui	PRO:REL	qui
demande	VER:pres	demander
la	DET:ART	le
plus	ADV	plus
grande	ADJ	grand
créativité	NOM	créativité
.	SENT	.
De	PRP	de
ce	PRO:DEM	ce
côté	NOM	côté
James	NAM	James
Cameron	NAM	Cameron
c'	PRO:DEM	ce
est	VER:pres	être
pas	ADV	pas
une	DET:ART	un
flèche	NOM	flèche
.	SENT	.
De	PRP	de
grosses	ADJ	gros
longueurs	NOM	longueur
pour	PRP	pour
un	DET:ART	un
film	NOM	film
de	PRP	de
plus	ADV	plus
de	PRP	de
2	NUM	@card@
h.	ABR	h.
Après	NAM	Après
la	PRO:PER	la
3d	VER:simp	3d
tant	ADV	tant
vantée	VER:pper	vanter
qu'	KON	que
on	PRO:PER	on
nous	PRO:PER	nous
a	VER:pres	avoir
servi	VER:pper	servir
comme	ADV	comme
révolutionnaire	ADJ	révolutionnaire
...	PUN	...
je	PRO:PER	je
cherche	VER:pres	chercher
encore	ADV	encore
.	SENT	.
Ah	INT	ah
si	KON	si
peut	VER:pres	pouvoir
être	VER:infi	être
faire	VER:infi	faire
payer	VER:infi	payer|payer
12	NUM	@card@
euros	NOM	euro
le	DET:ART	le
ticket	NOM	ticket
et	KON	et
réussir	VER:infi	réussir
à	PRP	à
faire	VER:infi	faire
porter	VER:infi	porter
à	PRP	à
une	DET:ART	un
salle	NOM	salle
entière	ADJ	entier
des	PRP:det	du
lunettes	NOM	lunette|lunettes
ridicules	ADJ	ridicule
.	SENT	.
Sérieusement	ADV	sérieusement
,	PUN	,
je	PRO:PER	je
m'	PRO:PER	me
attendais	VER:impf	attendre
à	PRP	à
autre	ADJ	autre
chose	NOM	chose
que	KON	que
cette	PRO:DEM	ce
3D	VER:simp	3D
:	PUN	:
à	PRP	à
savoir	VER:infi	savoir
faire	VER:infi	faire
délimiter	VER:infi	délimiter
plus	ADV	plus
ou	KON	ou
moins	ADV	moins
3	NUM	@card@
niveaux	NOM	niveau
de	PRP	de
profondeur	NOM	profondeur
et	KON	et
jouer	VER:infi	jouer
avec	PRP	avec
le	DET:ART	le
décor	NOM	décor
pour	PRP	pour
faire	VER:infi	faire
ressortir	VER:infi	ressortir|ressortir
des	PRP:det	du
elements	NOM	elements
du	PRP:det	du
décor	NOM	décor
...	PUN	...
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
procédé	NOM	procédé
très	ADV	très
gadget	NOM	gadget
à	PRP	à
mon	DET:POS	mon
sens	NOM	sen|sens
qui	PRO:REL	qui
n'	ADV	ne
amène	VER:pres	amener
pas	ADV	pas
grand	ADJ	grand
chose	NOM	chose
,	PUN	,
et	KON	et
qui	PRO:REL	qui
enlève	VER:pres	enlever
pas	ADV	pas
mal	ADV	mal
quand	KON	quand
l'	DET:ART	le
action	NOM	action
se	PRO:PER	se
met	VER:pres	mettre
en	PRP	en
branle	NOM	branle
.	SENT	.
Gros	ADV	gros
point	ADV	point
positif	ADJ	positif
du	PRP:det	du
film	NOM	film
:	PUN	:
les	DET:ART	le
avatars	NOM	avatar
et	KON	et
na'vis	NOM	na'vis
...	PUN	...
.	SENT	.
confondant	VER:ppre	confondre
de	PRP	de
réalisme	NOM	réalisme
.	SENT	.
Chapeau	NOM	chapeau
bas	ADJ	bas
,	PUN	,
oubliez	VER:pres	oublier
final	ADJ	final
fantaisy	NOM	fantaisy
et	KON	et
Pole	NAM	Pole
Express	NAM	Express
avec	PRP	avec
leurs	DET:POS	leur
persos	NOM	persos
au	PRP:det	au
regard	NOM	regard
de	PRP	de
poisson	NOM	poisson
mort	NOM	mort
.	SENT	.
