Astérix	NAM	Astérix
aux	PRP:det	au
jeux	NOM	jeu
Olympiques	ADJ	olympique
est	VER:pres	être
un	DET:ART	un
bon	ADJ	bon
film	NOM	film
:	PUN	:
le	DET:ART	le
tout	NOM	tout
à	PRP	à
mon	DET:POS	mon
avis	NOM	avis
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
de	PRP	de
se	PRO:PER	se
demander	VER:infi	demander
combien	ADV	combien
il	PRO:PER	il
a	VER:pres	avoir
couté	VER:pper	couté
ou	KON	ou
s'	PRO:PER	se
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
histoire	NOM	histoire
bien	ADV	bien
construite	VER:pper	construire
mais	KON	mais
de	PRP	de
se	PRO:PER	se
laisser	VER:infi	laisser
porter	VER:infi	porter
par	PRP	par
le	DET:ART	le
film	NOM	film
et	KON	et
par	PRP	par
les	DET:ART	le
effets	NOM	effet
spéciaux	ADJ	spécial
qui	PRO:REL	qui
sont	VER:pres	être
époustouflants	ADJ	époustouflant
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
avant	PRP	avant
tout	PRO:IND	tout
un	DET:ART	un
film	NOM	film
familial	ADJ	familial
et	KON	et
léger	ADJ	léger
pour	PRP	pour
se	PRO:PER	se
détendre	VER:infi	détendre
et	KON	et
en	PRP	en
prendre	VER:infi	prendre
plein	ADJ	plein
la	DET:ART	le
vue	NOM	vue
.	SENT	.
Il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
à	PRP	à
réflechir	VER:infi	réflechir
ce	PRO:DEM	ce
qui	PRO:REL	qui
a	VER:pres	avoir
le	DET:ART	le
mérite	NOM	mérite
de	PRP	de
reposer	VER:infi	reposer
...	PUN	...
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
vous	PRO:PER	vous
esquisserez	VER:futu	esquisser
quelques	PRO:IND	quelque
sourires	NOM	sourire
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
de	PRP	de
l'	DET:ART	le
action	NOM	action
,	PUN	,
un	DET:ART	un
peu	ADV	peu
d'	PRP	de
eau	NOM	eau
de	PRP	de
rose	NOM	rose
et	KON	et
très	ADV	très
peu	ADV	peu
de	PRP	de
temps	NOM	temps
mort	NOM	mort
...	PUN	...
quoi	PRO	quoi
demander	VER:infi	demander
de	PRP	de
plus	ADV	plus
?	SENT	?
