Quatre	NUM	quatre
étoiles	NOM	étoile
pour	PRP	pour
ce	PRO:DEM	ce
film	NOM	film
et	KON	et
pourtant	ADV	pourtant
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
un	DET:ART	un
chef	NOM	chef
d'oeuvre	NOM	d'oeuvre
du	PRP:det	du
cinéma	NOM	cinéma
.	SENT	.
Faute	NOM	faute
à	PRP	à
un	DET:ART	un
synopsis	NOM	synopsis
trop	ADV	trop
simpliste	ADJ	simpliste
et	KON	et
déjà-vu	NOM	déjà-vu
sur	PRP	sur
fond	NOM	fond
de	PRP	de
western	NOM	western
écolo	NOM	écolo
.	SENT	.
Pas	ADV	pas
la	DET:ART	le
peine	NOM	peine
d'	PRP	de
aller	VER:infi	aller
si	KON	si
loin	ADV	loin
pour	PRP	pour
ça	PRO:DEM	cela
.	SENT	.
Néanmoins	ADV	néanmoins
,	PUN	,
Avatar	NAM	Avatar
est	VER:pres	être
un	DET:ART	un
excellentissime	ADJ	excellentissime
film	NOM	film
,	PUN	,
qui	PRO:REL	qui
révolutionne	VER:pres	révolutionner
le	DET:ART	le
monde	NOM	monde
du	PRP:det	du
cinéma	NOM	cinéma
par	PRP	par
sa	DET:POS	son
prouesse	NOM	prouesse
visuelle	ADJ	visuel
,	PUN	,
son	DET:POS	son
univers	NOM	univers
très	ADV	très
riche	ADJ	riche
et	KON	et
envoutant	ADJ	envoutant
.	SENT	.
Quel	PRO:REL	quel
beau	ADJ	beau
scénario	NOM	scénario
digne	ADJ	digne
d'	PRP	de
un	DET:ART	un
George	NAM	George
Lucas	NAM	Lucas
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
manquait	VER:impf	manquer
plus	ADV	plus
que	KON	que
Totorro	NAM	Totorro
.	SENT	.
Pendant	PRP	pendant
le	DET:ART	le
film	NOM	film
je	PRO:PER	je
n'	ADV	ne
arrêtais	VER:impf	arrêter
pas	ADV	pas
de	PRP	de
me	PRO:PER	me
damander	VER:infi	damander
s'	PRO:PER	se
il	PRO:PER	il
reste	VER:pres	rester
encore	ADV	encore
une	DET:ART	un
couche	NOM	couche
sur	PRP	sur
pandora	NOM	pandora
pour	KON	pour
que	KON	que
j'	PRO:PER	je
y	PRO:PER	y
passe	VER:pres	passer
mes	DET:POS	mon
vacances	NOM	vacance
.	SENT	.
Chez	PRP	chez
les	DET:ART	le
Navis	NOM	Navis
obligatoirement	ADV	obligatoirement
!	SENT	!
Merci	NOM	merci
pour	PRP	pour
ce	PRO:DEM	ce
moment	NOM	moment
Monsieur	NAM	Monsieur
Cameron	NAM	Cameron
.	SENT	.
