Ouille	INT	ouille
!	SENT	!
!	SENT	!
!	SENT	!
Je	PRO:PER	je
pense	VER:pres	penser
avoir	VER:infi	avoir
répéter	VER:infi	répéter
5	NUM	@card@
fois	NOM	foi|fois
durant	PRP	durant
le	DET:ART	le
film	NOM	film
"	PUN:cit	"
Je	PRO:PER	je
veux	VER:pres	vouloir
quitter	VER:infi	quitter
la	DET:ART	le
salle	NOM	salle
"	PUN:cit	"
.	SENT	.
Mais	KON	mais
je	PRO:PER	je
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
tout	ADV	tout
seul	ADJ	seul
.	SENT	.
Enfin	ADV	enfin
sortie	VER:pper	sortir
,	PUN	,
je	PRO:PER	je
cours	VER:pres	courir
vite	ADV	vite
dire	VER:infi	dire
à	PRP	à
tous	PRO:IND	tout
ceux	PRO:DEM	celui
que	PRO:REL	que
je	PRO:PER	je
rencontre	VER:pres	rencontrer
"	PUN:cit	"
N'	NAM	N'
allez	VER:pres	aller
pas	ADV	pas
voir	VER:infi	voir
ce	PRO:DEM	ce
film	NOM	film
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
"	PUN:cit	"
Vide	ADJ	vide
,	PUN	,
médiocre	ADJ	médiocre
,	PUN	,
pas	ADV	pas
drôle	ADJ	drôle
,	PUN	,
lourd	ADJ	lourd
...	PUN	...
sont	VER:pres	être
autant	ADV	autant
d'	PRP	de
expression	NOM	expression
pour	PRP	pour
définir	VER:infi	définir
cette	PRO:DEM	ce
erreur	NOM	erreur
du	PRP:det	du
cinéma	NOM	cinéma
.	SENT	.
Désolé	VER:pper	désoler
à	PRP	à
vous	PRO:PER	vous
les	DET:ART	le
acteurs	NOM	acteur
mais	KON	mais
vous	PRO:PER	vous
ne	ADV	ne
rattrapez	VER:pres	rattraper
rien	ADV	rien
à	PRP	à
l'	DET:ART	le
affaire	NOM	affaire
.	SENT	.
Dommage	NOM	dommage
pour	PRP	pour
certains	PRO:IND	certain
qui	PRO:REL	qui
sont	VER:pres	être
descendu	VER:pper	descendre
dans	PRP	dans
mon	DET:POS	mon
estime	NOM	estime
.	SENT	.
D'	PRP	de
autres	ADJ	autre
n'	ADV	ne
aurait	VER:cond	avoir
même	ADV	même
pas	ADV	pas
dû	VER:pper	devoir
se	PRO:PER	se
rendre	VER:infi	rendre
sur	PRP	sur
le	DET:ART	le
plateau	NOM	plateau
.	SENT	.
Et	KON	et
enfin	ADV	enfin
,	PUN	,
je	PRO:PER	je
pense	VER:pres	penser
qu'	KON	que
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
perdu	VER:pper	perdre
dans	PRP	dans
le	DET:ART	le
studio	NOM	studio
et	KON	et
ce	PRO:DEM	ce
sont	VER:pres	être
trompé	VER:pper	tromper
de	PRP	de
plateau	NOM	plateau
.	SENT	.
Enfin	ADV	enfin
bref	ADJ	bref
,	PUN	,
les	DET:ART	le
2	NUM	@card@
bons	ADJ	bon
gags	NOM	gag
du	PRP:det	du
films	NOM	film
ne	ADV	ne
rattraperons	VER:futu	rattraper
pas	ADV	pas
les	DET:ART	le
trop	ADV	trop
nombreuses	ADJ	nombreux
faiblesses	NOM	faiblesse
de	PRP	de
cette	PRO:DEM	ce
piteuse	ADJ	piteux
comédie	NOM	comédie
.	SENT	.
