euh	INT	euh
,	PUN	,
franchement	ADV	franchement
un	DET:ART	un
magnifique	ADJ	magnifique
film	NOM	film
;	PUN	;
toutefois	ADV	toutefois
,	PUN	,
je	PRO:PER	je
reste	VER:pres	rester
mitigé	VER:pper	mitiger
en	PRP	en
ce	PRO:DEM	ce
qui	PRO:REL	qui
concerne	VER:pres	concerner
la	DET:ART	le
3d	NOM	3d
:	PUN	:
d'	PRP	de
un	DET:ART	un
coté	VER:pper	coter
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
des	PRP:det	du
images	NOM	image
vraiment	ADV	vraiment
énormes	ADJ	énorme
qui	PRO:REL	qui
seraient	VER:cond	être
presque	ADV	presque
sans	PRP	sans
intéret	NOM	intéret
en	PRP	en
2d	NOM	2d
,	PUN	,
d'	PRP	de
un	DET:ART	un
autre	ADJ	autre
côté	NOM	côté
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
quelque	PRO:IND	quelque
détails	NOM	détail
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
trouvés	VER:pper	trouver
plutôt	ADV	plutôt
désagréables	ADJ	désagréable
,	PUN	,
comme	KON	comme
le	DET:ART	le
fait	NOM	fait
que	KON	que
les	DET:ART	le
images	NOM	image
soient	VER:subp	être
souvent	ADV	souvent
bien	ADV	bien
trop	ADV	trop
sombres	ADJ	sombre
,	PUN	,
floues	ADJ	flou
lorsqu'	KON	lorsque
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
trop	ADV	trop
de	PRP	de
mouvement	NOM	mouvement
,	PUN	,
et	KON	et
qu'	PRO:REL	que
elles	PRO:PER	elle
paraissent	VER:pres	paraître
quelquefois	ADV	quelquefois
trop	ADV	trop
"	PUN:cit	"
superposées	VER:pper	superposer
"	PUN:cit	"
.	SENT	.
Fin	NOM	fin
bref	ADJ	bref
,	PUN	,
cela	PRO:DEM	cela
reste	VER:pres	rester
des	PRP:det	du
détails	NOM	détail
et	KON	et
le	DET:ART	le
film	NOM	film
dans	PRP	dans
son	DET:POS	son
ensemble	NOM	ensemble
me	PRO:PER	me
laisse	VER:pres	laisser
tout	ADV	tout
de	PRP	de
même	ADV	même
une	DET:ART	un
superbe	ADJ	superbe
impression	NOM	impression
.	SENT	.
