***	NOM	***
VENI	NAM	VENI
,	PUN	,
VIDI	NAM	VIDI
,	PUN	,
VICI	NAM	VICI
...	PUN	...
!	SENT	!
!	SENT	!
Je	PRO:PER	je
suis	VER:pres	suivre|être
VENU	VER:pper	venir
(	PUN	(
au	PRP:det	au
cinéma	NOM	cinéma
)	PUN	)
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
VU	NAM	VU
(	PUN	(
AVATAR	NAM	AVATAR
)	PUN	)
,	PUN	,
et	KON	et
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
VAINCU	VER:pper	vaincre
par	PRP	par
ce	PRO:DEM	ce
chef	NOM	chef
d'	PRP	de
œuvre	NOM	œuvre
cinématographique	ADJ	cinématographique
.	SENT	.
Une	DET:ART	un
immersion	NOM	immersion
sensationnelle	ADJ	sensationnel
dans	PRP	dans
un	DET:ART	un
univers	NOM	univers
où	PRO:REL	où
tout	ADV	tout
est	VER:pres	être
beau	ADJ	beau
...	PUN	...
Des	NAM	Des
Na'vi	NAM	Na'vi
incroyablement	ADV	incroyablement
vrais	ADJ	vrai
...	PUN	...
Un	ABR	Un
casting	NOM	casting
où	PRO:REL	où
les	DET:ART	le
acteurs	NOM	acteur
n'	ADV	ne
en	PRO:PER	en
sont	VER:pres	être
plus	ADV	plus
...	PUN	...
Et	VER:ppre	Et
une	DET:ART	un
3D	NOM	3D
qui	PRO:REL	qui
nous	PRO:PER	nous
dit	VER:pres	dire
qu'	KON	que
en	PRP	en
dehors	NOM	dehors
de	PRP	de
l'	DET:ART	le
écran	NOM	écran
,	PUN	,
tout	PRO:IND	tout
est	VER:pres	être
faux	ADJ	faux
...	PUN	...
Je	PRO:PER	je
retourne	VER:pres	retourner
dans	PRP	dans
ce	PRO:DEM	ce
monde	NOM	monde
très	ADV	très
bientôt	ADV	bientôt
...	PUN	...
Cameron	NAM	Cameron
a	VER:pres	avoir
pensé	VER:pper	penser
AVATAR	NAM	AVATAR
des	PRP:det	du
années	NOM	année
auparavant	PRP	auparavant
alors	ADV	alors
qu'	KON	que
un	DET:ART	un
tel	PRO:DEM	tel
long	ADJ	long
métrage	NOM	métrage
était	VER:impf	être
irréalisable	ADJ	irréalisable
à	PRP	à
l'	DET:ART	le
époque	NOM	époque
...	PUN	...
Tout	NAM	Tout
comme	KON	comme
James	NAM	James
Cameron	NAM	Cameron
,	PUN	,
allez	VER:pres	aller
au	PRP:det	au
bout	NOM	bout
de	PRP	de
vos	DET:POS	votre
ambitions	NOM	ambition
...	PUN	...
En	VER:subi	En
vous	PRO:PER	vous
souhaitant	VER:ppre	souhaiter
de	PRP	de
très	ADV	très
Bonnes	NAM	Bonnes
Fêtes	NAM	Fêtes
,	PUN	,
Prayboy	NAM	Prayboy
=	NOM	=
)	PUN	)
