Ah	INT	ah
,	PUN	,
Avatar	NAM	Avatar
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
assez	ADV	assez
complique	VER:pres	compliquer
de	PRP	de
juger	VER:infi	juger
un	DET:ART	un
tel	PRO:DEM	tel
film	NOM	film
.	SENT	.
Bon	ADJ	bon
,	PUN	,
si	KON	si
je	PRO:PER	je
suis	VER:pres	suivre|être
allé	VER:pper	aller
le	PRO:PER	le
voir	VER:infi	voir
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
grace	ADJ	grace
(	PUN	(
à	PRP	à
cause	NOM	cause
?	SENT	?
)	PUN	)
de	PRP	de
l'	DET:ART	le
utilisation	NOM	utilisation
de	PRP	de
la	DET:ART	le
3D	NOM	3D
qui	PRO:REL	qui
devait	VER:impf	devoir
bouleverser	VER:infi	bouleverser
le	DET:ART	le
monde	NOM	monde
du	PRP:det	du
cinéma	NOM	cinéma
.	SENT	.
Honnêtement	ADV	honnêtement
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
trouve	VER:pres	trouver
pas	ADV	pas
.	SENT	.
La	DET:ART	le
3D	NOM	3D
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
assez	ADV	assez
aboutie	VER:pper	aboutir
pour	PRP	pour
emporter	VER:infi	emporter
mon	DET:POS	mon
adhésion	NOM	adhésion
.	SENT	.
Autre	ADJ	autre
bémol	NOM	bémol
:	PUN	:
le	DET:ART	le
scénario	NOM	scénario
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
franchement	ADV	franchement
bateau	NOM	bateau
et	KON	et
parfois	ADV	parfois
à	PRP	à
la	DET:ART	le
limite	NOM	limite
de	PRP	de
la	DET:ART	le
connerie	NOM	connerie
et	KON	et
des	PRP:det	du
clichés	NOM	cliché
.	SENT	.
Mais	KON	mais
bon	ADJ	bon
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
avouer	VER:infi	avouer
que	KON	que
certains	PRO:IND	certain
passages	NOM	passage
sont	VER:pres	être
magnifiques	ADJ	magnifique
,	PUN	,
et	KON	et
que	KON	que
ce	PRO:DEM	ce
film	NOM	film
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
tant	ADV	tant
une	DET:ART	un
révolution	NOM	révolution
finale	ADJ	final
,	PUN	,
mais	KON	mais
bien	ADV	bien
une	DET:ART	un
nouvelle	ADJ	nouveau
porte	VER:pres	porter
ouverte	VER:pper	ouvrir
à	PRP	à
un	DET:ART	un
nouveau	ADJ	nouveau
style	NOM	style
de	PRP	de
films	NOM	film
.	SENT	.
