ah	INT	ah
la	DET:ART	le
la	NOM	la
...	PUN	...
.	SENT	.
Alors	ADV	alors
que	KON	que
la	DET:ART	le
mode	NOM	mode
est	VER:pres	être
a	VER:pres	avoir
l'	DET:ART	le
adaptation	NOM	adaptation
de	PRP	de
bd	NOM	bd
et	KON	et
de	PRP	de
films	NOM	film
,	PUN	,
on	PRO:PER	on
peut	VER:pres	pouvoir
dire	VER:infi	dire
que	KON	que
dans	PRP	dans
cette	PRO:DEM	ce
mode	NOM	mode
y	PRO:PER	y
a	VER:pres	avoir
du	PRP:det	du
bon	ADJ	bon
et	KON	et
donc	ADV	donc
du	PRP:det	du
mauvais	NOM	mauvais
...	PUN	...
malheureusement	ADV	malheureusement
la	DET:ART	le
ou	KON	ou
astérix	NOM	astérix
a	VER:pres	avoir
tapé	VER:pper	taper
fort	ADJ	fort
iznogoud	NOM	iznogoud
rate	VER:pres	rater
completement	NOM	completement
le	DET:ART	le
coche	NOM	coche
!	SENT	!
C'	PRO:DEM	ce
est	VER:pres	être
dommage	NOM	dommage
car	KON	car
avec	PRP	avec
cette	PRO:DEM	ce
bd	NOM	bd
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
beaucoup	ADV	beaucoup
a	VER:pres	avoir
faire	VER:infi	faire
et	KON	et
du	PRP:det	du
bon	ADJ	bon
.	SENT	.
On	PRO:PER	on
peut	VER:pres	pouvoir
pas	ADV	pas
dire	VER:infi	dire
que	KON	que
le	DET:ART	le
Youn	NOM	Youn
soit	VER:subp	être
fulgurant	ADJ	fulgurant
,	PUN	,
et	KON	et
les	DET:ART	le
autres	ADJ	autre
on	PRO:PER	on
ne	ADV	ne
les	PRO:PER	la|le
voit	VER:pres	voir
pas	ADV	pas
souvent	ADV	souvent
.	SENT	.
Franck	NAM	Franck
Dubosc	NAM	Dubosc
est	VER:pres	être
quasiment	ADV	quasiment
inexistant	ADJ	inexistant
car	KON	car
on	PRO:PER	on
le	PRO:PER	le
voit	VER:pres	voir
5	NUM	@card@
mn	NOM	mn
dans	PRP	dans
le	DET:ART	le
film	NOM	film
...	PUN	...
Pour	NAM	Pour
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
de	PRP	de
ce	PRO:DEM	ce
tres	VER:simp	tres
regretté	VER:pper	regretter
Jacques	NAM	Jacques
Villeret	NAM	Villeret
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
fait	VER:pper	faire
la	DET:ART	le
publicité	NOM	publicité
du	PRP:det	du
film	NOM	film
malgre	ADJ	malgre
lui	PRO:PER	lui
,	PUN	,
est	VER:pres	être
la	PRO:PER	la
pour	PRP	pour
remonter	VER:infi	remonter
un	DET:ART	un
peu	ADV	peu
,	PUN	,
mais	KON	mais
alors	ADV	alors
un	DET:ART	un
peu	ADV	peu
le	DET:ART	le
niveau	NOM	niveau
.	SENT	.
Voila	VER:simp	voiler
donc	ADV	donc
plutôt	ADV	plutôt
un	DET:ART	un
film	NOM	film
à	PRP	à
eviter	NOM	eviter
,	PUN	,
bien	ADV	bien
qu'	KON	que
on	PRO:PER	on
soit	VER:subp	être
tenté	VER:pper	tenter
de	PRP	de
le	PRO:PER	le
voir	VER:infi	voir
tant	ADV	tant
la	DET:ART	le
promo	NOM	promo
est	VER:pres	être
imposante	ADJ	imposant
.	SENT	.
En	PRP	en
tout	PRO:IND	tout
cas	NOM	cas
n'	ADV	ne
y	PRO:PER	y
allez	VER:pres	aller
pas	ADV	pas
pour	PRP	pour
rire	VER:infi	rire
parce	KON	parce
que	KON	que
vous	PRO:PER	vous
serez	VER:futu	être
vraiment	ADV	vraiment
deçu	NOM	deçu
...	PUN	...
