Eh	INT	eh
bien	ADV	bien
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
James	NAM	James
Cameron	NAM	Cameron
qui	PRO:REL	qui
veut	VER:pres	vouloir
,	PUN	,
une	DET:ART	un
fois	NOM	foi|fois
de	PRP	de
plus	ADV	plus
il	PRO:PER	il
nous	PRO:PER	nous
sert	VER:pres	servir
un	DET:ART	un
block	NOM	block
Buster	VER:infi	Buster
de	PRP	de
haut	ADJ	haut
vol	NOM	vol
.	SENT	.
Une	DET:ART	un
myriade	NOM	myriade
de	PRP	de
couleur	NOM	couleur
,	PUN	,
des	PRP:det	du
effets	NOM	effet
spéciaux	ADJ	spécial
à	PRP	à
n'	ADV	ne
en	PRP	en
plus	ADV	plus
finir	VER:infi	finir
,	PUN	,
de	PRP	de
l'	DET:ART	le
action	NOM	action
à	PRP	à
volonté	NOM	volonté
.	SENT	.
Un	DET:ART	un
jeu	NOM	jeu
d'	PRP	de
acteur	NOM	acteur
parfaitement	ADV	parfaitement
touchant	ADJ	touchant
et	KON	et
un	DET:ART	un
scénario	NOM	scénario
bien	ADV	bien
goupillé	VER:pper	goupiller
font	VER:pres	faire
de	PRP	de
cette	PRO:DEM	ce
œuvre	NOM	œuvre
un	DET:ART	un
must	NOM	must
dans	PRP	dans
le	DET:ART	le
cinéma	NOM	cinéma
de	PRP	de
divertissement	NOM	divertissement
.	SENT	.
Un	DET:ART	un
départ	NOM	départ
lent	ADJ	lent
juste	ADJ	juste
comme	KON	comme
il	PRO:PER	il
faut	VER:pres	falloir
pour	PRP	pour
poser	VER:infi	poser
les	DET:ART	le
personnages	NOM	personnage
,	PUN	,
un	DET:ART	un
conflit	NOM	conflit
de	PRP	de
tempérament	NOM	tempérament
extrêmement	ADV	extrêmement
bien	ADV	bien
exploité	VER:pper	exploiter
.	SENT	.
Et	KON	et
en	PRO:PER	en
plus	ADV	plus
on	PRO:PER	on
n'	ADV	ne
en	PRO:PER	en
prend	VER:pres	prendre
plein	ADJ	plein
la	DET:ART	le
vue	NOM	vue
.	SENT	.
Et	KON	et
encor	ADV	encor
je	PRO:PER	je
ne	ADV	ne
l'	PRO:PER	la|le
ai	VER:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
en	PRP	en
3d	ADJ	3d
relief	NOM	relief
.	SENT	.
Plus	ADV	plus
rare	ADJ	rare
encore	ADV	encore
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
d'	PRP	de
un	NUM	un
des	PRP:det	du
seuls	ADJ	seul
films	NOM	film
que	PRO:REL	que
j'	PRO:PER	je
ai	VER:pres	avoir
vu	VER:pper	voir
où	PRO:REL	où
le	DET:ART	le
public	NOM	public
a	VER:pres	avoir
applaudit	VER:pres	applaudir
à	PRP	à
la	DET:ART	le
fin	NOM	fin
.	SENT	.
Mais	KON	mais
il	PRO:PER	il
le	PRO:PER	le
mérite	VER:pres	mériter
un	DET:ART	un
pur	ADJ	pur
plaisir	NOM	plaisir
sans	PRP	sans
temps	NOM	temps
mort	VER:pper	mourir
à	PRP	à
ne	ADV	ne
pas	ADV	pas
manquer	VER:infi	manquer
!	SENT	!
!	SENT	!
