Ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
magnifique	ADJ	magnifique
,	PUN	,
splendide	ADJ	splendide
:	PUN	:
un	DET:ART	un
superbe	ADJ	superbe
divertissement	NOM	divertissement
qui	PRO:REL	qui
passe	VER:pres	passer
à	PRP	à
toute	PRO:IND	tout
vitesse	NOM	vitesse
.	SENT	.
L’histoire	NAM	L’histoire
est	VER:pres	être
plutôt	ADV	plutôt
simple	ADJ	simple
mais	KON	mais
terriblement	ADV	terriblement
efficace	ADJ	efficace
avec	PRP	avec
des	PRP:det	du
images	NOM	image
sublimes	ADJ	sublime
et	KON	et
des	PRP:det	du
scènes	NOM	scène
spectaculaires	ADJ	spectaculaire
.	SENT	.
On	PRO:PER	on
peut	VER:pres	pouvoir
néanmoins	ADV	néanmoins
y	PRO:PER	y
voir	VER:infi	voir
quelques	PRO:IND	quelque
messages	NOM	message
profond	ADJ	profond
:	PUN	:
l’écologie	NOM	l’écologie
,	PUN	,
une	DET:ART	un
manière	NOM	manière
de	PRP	de
vivre	VER:infi	vivre
en	PRP	en
adéquation	NOM	adéquation
avec	PRP	avec
la	DET:ART	le
nature	NOM	nature
et	KON	et
faire	VER:infi	faire
également	ADV	également
un	DET:ART	un
parallèle	NOM	parallèle
avec	PRP	avec
les	DET:ART	le
guerres	NOM	guerre
actuelles	ADJ	actuel
(	PUN	(
surtout	ADV	surtout
Irak	NOM	Irak
)	PUN	)
avec	PRP	avec
un	DET:ART	un
envahisseur	NOM	envahisseur
qui	PRO:REL	qui
s’embourbe	VER:pres	s’embourbe
en	PRP	en
occupant	VER:ppre	occuper
un	DET:ART	un
territoire	NOM	territoire
étranger	ADJ	étranger
pour	PRP	pour
y	PRO:PER	y
récupérer	VER:infi	récupérer
les	DET:ART	le
ressources	NOM	ressource
.	SENT	.
Un	DET:ART	un
film	NOM	film
à	PRP	à
voir	VER:infi	voir
absolument	ADV	absolument
.	SENT	.
Un	DET:ART	un
pur	ADJ	pur
moment	NOM	moment
de	PRP	de
bonheur	NOM	bonheur
(	PUN	(
devant	PRP	devant
un	DET:ART	un
grand	ADJ	grand
écran	NOM	écran
en	PRP	en
3D	ADJ	3D
bien-sur	NOM	bien-sur
)	PUN	)
.	SENT	.
