Oulala	VER:simp	Oulala
mais	KON	mais
quel	PRO:REL	quel
film	NOM	film
...	PUN	...
ennuyant	ADJ	ennuyant
,	PUN	,
je	PRO:PER	je
l'	PRO:PER	la|le
ai	VER:pres	avoir
vu	VER:pper	voir
en	PRP	en
3D	NOM	3D
et	KON	et
en	PRP	en
Français	NAM	Français
malheur	NOM	malheur
à	PRP	à
moi	PRO:PER	moi
!	SENT	!
!	SENT	!
!	SENT	!
Le	DET:ART	le
3	NUM	@card@
D	ABR	D
ça	PRO:DEM	cela
n'	ADV	ne
est	VER:pres	être
vraiment	ADV	vraiment
pas	ADV	pas
l'	DET:ART	le
idéal	ADJ	idéal
,	PUN	,
le	DET:ART	le
regard	NOM	regard
sans	PRP	sans
cesse	NOM	cesse
dirigé	VER:pper	diriger
,	PUN	,
des	PRP:det	du
décors	NOM	décor
qui	PRO:REL	qui
avait	VER:impf	avoir
l'	DET:ART	le
air	NOM	air
beaux	ADJ	beau
,	PUN	,
mais	KON	mais
malheureusement	ADV	malheureusement
très	ADV	très
terne	ADJ	terne
avec	PRP	avec
les	DET:ART	le
verres	NOM	verre
des	PRP:det	du
lunettes	NOM	lunette|lunettes
.	SENT	.
Et	KON	et
ça	PRO:DEM	cela
tire	VER:pres	tirer
sur	PRP	sur
les	DET:ART	le
yeux	NOM	œil
au	PRP:det	au
début	NOM	début
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
faut	VER:pres	falloir
plus	ADV	plus
bouger	VER:infi	bouger
du	PRP:det	du
siège	NOM	siège
,	PUN	,
sinon	KON	sinon
c'	PRO:DEM	ce
est	VER:pres	être
bon	ADJ	bon
,	PUN	,
tu	PRO:PER	tu
perds	VER:pres	perdre
le	DET:ART	le
3D	NOM	3D
...	PUN	...
C'	NAM	C'
est	VER:pres	être
bien	ADV	bien
si	KON	si
vous	PRO:PER	vous
voulez	VER:pres	vouloir
voir	VER:infi	voir
des	PRP:det	du
fougères	NOM	fougère
en	PRP	en
relief	NOM	relief
.	SENT	.
Sinon	KON	sinon
les	DET:ART	le
voix	NOM	voix
françaises	ADJ	français
sont	VER:pres	être
vraiment	ADV	vraiment
énervantes	ADJ	énervant
surtout	ADV	surtout
celle	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
héroïne	NOM	héroïne
.	SENT	.
Cameron	NAM	Cameron
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
vraiment	ADV	vraiment
cherché	VER:pper	chercher
un	DET:ART	un
scénario	NOM	scénario
original	ADJ	original
,	PUN	,
nous	PRO:PER	nous
avons	VER:pres	avoir
là	ADV	là
un	DET:ART	un
western	NOM	western
du	PRP:det	du
futur	NOM	futur
.	SENT	.
La	DET:ART	le
flore	NOM	flore
et	KON	et
la	DET:ART	le
faune	NOM	faune
n'	ADV	ne
est	VER:pres	être
qu'	KON	que
une	DET:ART	un
copie	NOM	copie
de	PRP	de
celle	PRO:DEM	celui
qu'	PRO:REL	que
il	PRO:PER	il
ya	NOM	ya
sur	PRP	sur
terre	NOM	terre
.	SENT	.
Et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
en	PRP	en
elle	PRO:PER	elle
même	ADV	même
est	VER:pres	être
très	ADV	très
gnangnan	ADJ	gnangnan
.	SENT	.
Enfin	ADV	enfin
bref	ADJ	bref
,	PUN	,
il	PRO:PER	il
ne	ADV	ne
mérite	VER:pres	mériter
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
les	DET:ART	le
éloges	NOM	éloge
attribuées	VER:pper	attribuer
.	SENT	.
