Oh	INT	oh
mon	DET:POS	mon
Dieu	NOM	Dieu
!	SENT	!
Ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
une	DET:ART	un
pure	ADJ	pur
merveille	NOM	merveille
,	PUN	,
je	PRO:PER	je
ne	ADV	ne
trouve	VER:pres	trouver
absolument	ADV	absolument
rien	NOM	rien
qui	PRO:REL	qui
lui	PRO:PER	lui
fasse	VER:subp	faire
défaut	NOM	défaut
.	SENT	.
Graphiquement	ADV	graphiquement
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
petite	ADJ	petit
claque	NOM	claque
,	PUN	,
l'	DET:ART	le
effet	NOM	effet
3D	ADJ	3D
est	VER:pres	être
incroyablement	ADV	incroyablement
bien	ADV	bien
fait	VER:pper	faire
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
très	ADV	très
originale	ADJ	original
et	KON	et
on	PRO:PER	on
se	PRO:PER	se
délecte	VER:pres	délecter
de	PRP	de
la	PRO:PER	la
découvrir	VER:infi	découvrir
tout	ADV	tout
au	PRP:det	au
long	NOM	long
du	PRP:det	du
film	NOM	film
.	SENT	.
Les	DET:ART	le
acteurs	NOM	acteur
sont	VER:pres	être
tous	PRO:IND	tout
très	ADV	très
bons	ADJ	bon
et	KON	et
les	DET:ART	le
dialogues	NOM	dialogue
constructif	ADJ	constructif
.	SENT	.
L'	DET:ART	le
ambiance	NOM	ambiance
du	PRP:det	du
film	NOM	film
est	VER:pres	être
réellement	ADV	réellement
énorme	ADJ	énorme
,	PUN	,
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
immédiatement	ADV	immédiatement
dépaysé	VER:pper	dépayser
en	PRP	en
contemplant	VER:ppre	contempler
cette	PRO:DEM	ce
jungle	NOM	jungle
fantastique	ADJ	fantastique
et	KON	et
incroyablement	ADV	incroyablement
bien	ADV	bien
faite	VER:pper	faire
.	SENT	.
Les	DET:ART	le
personnages	NOM	personnage
sont	VER:pres	être
très	ADV	très
attachant	VER:ppre	attacher
et	KON	et
les	DET:ART	le
relations	NOM	relation
qu'	PRO:REL	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
entre	PRP	entre
eux	PRO:PER	eux
sont	VER:pres	être
interessantes	ADJ	interessantes
,	PUN	,
notament	VER:pres	notament
cette	PRO:DEM	ce
histoire	NOM	histoire
d'	PRP	de
amour	NOM	amour
que	PRO:REL	que
je	PRO:PER	je
trouve	VER:pres	trouver
très	ADV	très
belle	ADJ	beau
.	SENT	.
Je	PRO:PER	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
pour	PRP	pour
vous	PRO:PER	vous
,	PUN	,
mais	KON	mais
Avatar	NAM	Avatar
m'	PRO:PER	me
a	VER:pres	avoir
beaucoup	ADV	beaucoup
rappellé	VER:pper	rappellé
"	PUN:cit	"
Danse	NAM	Danse
avec	PRP	avec
les	DET:ART	le
loups	NOM	loup
"	PUN:cit	"
et	KON	et
"	PUN:cit	"
Matrix	NAM	Matrix
.	SENT	.
Mais	KON	mais
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
également	ADV	également
les	DET:ART	le
vaisseaux	NOM	vaisseau
qui	PRO:REL	qui
resemblent	VER:pres	resemblent
beaucoup	ADV	beaucoup
à	PRP	à
ceux	PRO:DEM	celui
de	PRP	de
"	PUN:cit	"
Aliens	NAM	Aliens
:	PUN	:
le	DET:ART	le
retour	NOM	retour
"	PUN:cit	"
,	PUN	,
enfin	ADV	enfin
bref	ADJ	bref
,	PUN	,
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
agreablement	NOM	agreablement
surpris	VER:pper	surprendre
par	PRP	par
ce	PRO:DEM	ce
chef	NOM	chef
d'oeuvre	VER:subp	d'oeuvre
et	KON	et
je	PRO:PER	je
pense	VER:pres	penser
retourner	VER:infi	retourner
le	PRO:PER	le
voir	VER:infi	voir
prochainement	ADV	prochainement
ça	PRO:DEM	cela
c'	PRO:DEM	ce
est	VER:pres	être
sur	PRP	sur
.	SENT	.
Je	PRO:PER	je
vous	PRO:PER	vous
le	DET:ART	le
conseil	NOM	conseil
vivement	ADV	vivement
...	PUN	...
