Quel	PRO:REL	quel
respect	NOM	respect
du	PRP:det	du
public	NOM	public
.	SENT	.
Spectaculaire	ADJ	spectaculaire
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
populiste	ADJ	populiste
(	PUN	(
Taxi	NOM	taxi
puissance	NOM	puissance
50	NUM	@card@
,	PUN	,
à	PRP	à
ce	PRO:DEM	ce
niveau	NOM	niveau
)	PUN	)
,	PUN	,
pas	ADV	pas
drôle	ADJ	drôle
,	PUN	,
ça	PRO:DEM	cela
se	PRO:PER	se
veut	VER:pres	vouloir
prestigieux	ADJ	prestigieux
(	PUN	(
défilé	VER:pper	défiler
de	PRP	de
people	NOM	people
plus	ADV	plus
ou	KON	ou
moins	ADV	moins
has	ADJ	has
been	NOM	been
,	PUN	,
pas	ADV	pas
drôles	ADJ	drôle
,	PUN	,
insignifiants	ADJ	insignifiant
,	PUN	,
etc	ABR	etc
.	SENT	.
)	PUN	)
et	KON	et
ça	PRO:DEM	cela
ne	ADV	ne
respecte	VER:pres	respecter
en	PRP	en
rien	ADV	rien
l'	DET:ART	le
esprit	NOM	esprit
Astérix	NAM	Astérix
.	SENT	.
Et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
bien	ADV	bien
le	DET:ART	le
plus	ADV	plus
grave	ADJ	grave
.	SENT	.
Parce	KON	parce
que	KON	que
des	PRP:det	du
navets	NOM	navet
censé	ADJ	censé
être	VER:infi	être
comiques	ADJ	comique
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
a	VER:pres	avoir
un	DET:ART	un
paquet	NOM	paquet
,	PUN	,
mais	KON	mais
des	PRP:det	du
navets	NOM	navet
de	PRP	de
ce	PRO:DEM	ce
niveau	NOM	niveau
sous	PRP	sous
licence	NOM	licence
(	PUN	(
aussi	ADV	aussi
prestigieuse	ADJ	prestigieux
,	PUN	,
en	PRP	en
plus	ADV	plus
)	PUN	)
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
rare	ADJ	rare
.	SENT	.
Et	KON	et
avec	PRP	avec
l'	DET:ART	le
aval	NOM	aval
de	PRP	de
l'	DET:ART	le
auteur	NOM	auteur
(	PUN	(
enfin	ADV	enfin
,	PUN	,
l'	DET:ART	le
un	NOM	un
des	PRP:det	du
auteurs	NOM	auteur
)	PUN	)
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
ça	PRO:DEM	cela
le	DET:ART	le
plus	ADV	plus
triste	ADJ	triste
.	SENT	.
Fuyez	VER:pres	fuir
...	PUN	...
