Des	PRP:det	du
effets	NOM	effet
visuels	ADJ	visuel
exceptionnels	ADJ	exceptionnel
ne	ADV	ne
compensent	VER:pres	compenser
pas	ADV	pas
un	DET:ART	un
scenario	NOM	scenario
totalement	ADV	totalement
inexistant	ADJ	inexistant
et	KON	et
rempli	VER:pper	remplir
d'	PRP	de
incohérences	NOM	incohérence
et	KON	et
de	PRP	de
clichés	NOM	cliché
,	PUN	,
la	DET:ART	le
3D	NOM	3D
est	VER:pres	être
un	DET:ART	un
attrape	NOM	attrape
nigaud	ADJ	nigaud
qui	PRO:REL	qui
ne	ADV	ne
m'	PRO:PER	me
a	VER:pres	avoir
vraiment	ADV	vraiment
pas	ADV	pas
marqué	VER:pper	marquer
,	PUN	,
en	PRP	en
plus	ADV	plus
les	DET:ART	le
lunettes	NOM	lunette|lunettes
sont	VER:pres	être
lourdes	ADJ	lourd
,	PUN	,
crades	NOM	crades
et	KON	et
surement	NOM	surement
pas	ADV	pas
ecolos	ADJ	ecolos
!	SENT	!
Sur	PRP	sur
ce	PRO:DEM	ce
dernier	ADJ	dernier
point	NOM	point
je	PRO:PER	je
trouve	VER:pres	trouver
qu'	KON	que
avatar	NOM	avatar
est	VER:pres	être
un	DET:ART	un
paroxysme	NOM	paroxysme
d'	PRP	de
hypocrisie	NOM	hypocrisie
,	PUN	,
une	DET:ART	un
telle	PRO:DEM	tel
surenchère	NOM	surenchère
d'	PRP	de
effets	NOM	effet
speciaux	ADJ	speciaux
n'	ADV	ne
est	VER:pres	être
surement	NOM	surement
pas	ADV	pas
economique	ADJ	economique
en	PRP	en
energie	NOM	energie
et	KON	et
je	PRO:PER	je
doute	VER:pres	douter
que	KON	que
les	DET:ART	le
lunettes	NOM	lunette|lunettes
3D	ADJ	3D
soient	VER:subp	être
recyclées	VER:pper	recycler
!	SENT	!
A	PRP	à
savoir	VER:infi	savoir
:	PUN	:
pour	PRP	pour
les	DET:ART	le
beaufs	NOM	beauf
qui	PRO:REL	qui
aiment	VER:pres	aimer
leurs	DET:POS	leur
bagnols	NOM	bagnols
,	PUN	,
Avatar	NAM	Avatar
et	KON	et
facebook	NOM	facebook
il	PRO:PER	il
existe	VER:pres	exister
un	DET:ART	un
site	NOM	site
ou	KON	ou
tu	PRO:PER	tu
peux	VER:pres	pouvoir
creer	VER:infi	creer
un	DET:ART	un
avatar	NOM	avatar
avec	PRP	avec
ton	DET:POS	ton
visage	NOM	visage
,	PUN	,
sponsorisé	VER:pper	sponsoriser
par	PRP	par
les	DET:ART	le
"	PUN:cit	"
trés	ADJ	trés
écolos	NOM	écolo
"	PUN:cit	"
...	PUN	...
.	SENT	.
MCDonalds	NOM	MCDonalds
!	SENT	!
Bref	ADV	bref
:	PUN	:
0	NUM	@card@
etoiles	NOM	etoiles
pour	PRP	pour
UNE	NAM	UNE
FAUSSE	NAM	FAUSSE
REVOLUTION	NAM	REVOLUTION
,	PUN	,
UNE	NAM	UNE
HYPOCRISIE	NAM	HYPOCRISIE
TOTALE	NAM	TOTALE
,	PUN	,
pas	ADV	pas
le	DET:ART	le
film	NOM	film
le	DET:ART	le
plus	ADV	plus
mauvais	ADJ	mauvais
mais	KON	mais
DE	NAM	DE
LOIN	NAM	LOIN
LE	NAM	LE
FILM	NAM	FILM
LE	NAM	LE
PLUS	NAM	PLUS
SURESTIME	NAM	SURESTIME
DE	NAM	DE
TOUT	NAM	TOUT
LES	NAM	LES
TEMPS	NAM	TEMPS
!	SENT	!
