Ah	INT	ah
O_o	NAM	O_o
le	DET:ART	le
par	PRP	par
contre	PRP	contre
je	PRO:PER	je
reste	VER:pres	rester
TRES	VER:pper	TRES
surpris	VER:pper	surprendre
su	VER:pper	savoir
rle	VER:pres	rle
scénario	NOM	scénario
...	PUN	...
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
vraiment	ADV	vraiment
inintéressante	ADJ	inintéressant
,	PUN	,
longue	ADJ	longue
et	KON	et
parfois	ADV	parfois
même	ADV	même
ennuyeuse	ADJ	ennuyeux
.	SENT	.
Je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
vraiment	ADV	vraiment
pas	ADV	pas
aimé	VER:pper	aimer
alors	ADV	alors
que	KON	que
j'	PRO:PER	je
ai	VER:pres	avoir
adoré	VER:pper	adorer
le	DET:ART	le
premier	NUM	premier
chapitre	NOM	chapitre
.	SENT	.
Je	PRO:PER	je
suis	VER:pres	suivre|être
resté	VER:pper	rester
sur	PRP	sur
mon	DET:POS	mon
siège	NOM	siège
en	PRP	en
voyant	VER:ppre	voir
la	DET:ART	le
fin	NOM	fin
.	SENT	.
Un	DET:ART	un
film	NOM	film
axé	VER:pper	axer
pour	PRP	pour
les	DET:ART	le
petits	NOM	petit
qui	PRO:REL	qui
aiment	VER:pres	aimer
les	DET:ART	le
histoires	NOM	histoire
.	SENT	.
Le	DET:ART	le
premier	NUM	premier
volet	NOM	volet
était	VER:impf	être
vraiment	ADV	vraiment
consacré	VER:pper	consacrer
à	PRP	à
tous	PRO:IND	tout
public	NOM	public
avec	PRP	avec
une	DET:ART	un
belle	ADJ	beau
histoire	NOM	histoire
,	PUN	,
et	KON	et
la	DET:ART	le
surprise	NOM	surprise
des	PRP:det	du
personnages	NOM	personnage
.	SENT	.
Aucunes	PRO:IND	aucun
découvertes	ADJ	découvert
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
attendait	VER:impf	attendre
à	PRP	à
quelque	PRO:IND	quelque
chose	NOM	chose
de	PRP	de
magique	ADJ	magique
...	PUN	...
je	PRO:PER	je
repart	VER:pres	repartir
très	ADV	très
très	ADV	très
déçu	VER:pper	décevoir
en	PRP	en
me	PRO:PER	me
disant	VER:ppre	dire
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
grand	ADJ	grand
Luc	NAM	Luc
Besson	NAM	Besson
qui	PRO:REL	qui
a	VER:pres	avoir
réalisé	VER:pper	réaliser
ce	PRO:DEM	ce
film	NOM	film
.	SENT	.
