Oh	INT	oh
Clooney	NAM	Clooney
,	PUN	,
ya	NOM	ya
urgence	NOM	urgence
là	ADV	là
non	ADV	non
,	PUN	,
t'	PRO:PER	te
en	PRO:PER	en
peu	ADV	peu
plus	ADV	plus
?	SENT	?
?	SENT	?
On	PRO:PER	on
se	PRO:PER	se
croirait	VER:cond	croire
en	PRP	en
boîte	NOM	boîte
Parisienne	ADJ	parisien
au	PRP:det	au
milieu	NOM	milieu
de	PRP	de
tout	PRO:IND	tout
ça	PRO:DEM	cela
,	PUN	,
à	PRP	à
un	DET:ART	un
moment	NOM	moment
donné	VER:pper	donner
tu	PRO:PER	tu
crois	VER:pres	croire
même	ADV	même
qu'	KON	que
il	PRO:PER	il
faudrait	VER:cond	falloir
qu'	KON	que
on	PRO:PER	on
se	PRO:PER	se
lève	VER:pres	lever
et	KON	et
qu'	KON	que
on	PRO:PER	on
se	PRO:PER	se
mettent	VER:pres	mettre
à	PRP	à
danser	VER:infi	danser
tout	ADV	tout
seul(e	ADJ	seul(e
)	PUN	)
ou	KON	ou
avec	PRP	avec
la	DET:ART	le
famille	NOM	famille
,	PUN	,
au	PRP:det	au
choix	NOM	choix
,	PUN	,
dans	PRP	dans
son	DET:POS	son
salon	NOM	salon
pour	PRP	pour
rentrer	VER:infi	rentrer
dans	PRP	dans
le	DET:ART	le
trip	NOM	trip
du	PRP:det	du
film	NOM	film
.	SENT	.
Mon	DET:POS	mon
conseil	NOM	conseil
:	PUN	:
Si	KON	si
vous	PRO:PER	vous
organiser	VER:infi	organiser
une	DET:ART	un
teuf	NOM	teuf
chez	PRP	chez
vous	PRO:PER	vous
,	PUN	,
et	KON	et
que	KON	que
vous	PRO:PER	vous
n'	ADV	ne
avez	VER:pres	avoir
pas	ADV	pas
de	PRP	de
spot	NOM	spot
,	PUN	,
louer	VER:infi	louer
batman	ADJ	batman
et	KON	et
robin	ADJ	robin
et	KON	et
mettez	VER:pres	mettre
le	PRO:PER	le
à	PRP	à
la	DET:ART	le
tv	NOM	tv
en	PRP	en
coupant	VER:ppre	couper
le	DET:ART	le
son	NOM	son
,	PUN	,
vous	PRO:PER	vous
verrez	VER:futu	voir
vous	PRO:PER	vous
vous	PRO:PER	vous
croirez	VER:futu	croire
en	PRP	en
boîte	NOM	boîte
!	SENT	!
Au	PRP:det	au
Fait	NAM	Fait
Batman	NAM	Batman
Clooney	NAM	Clooney
,	PUN	,
mon	DET:POS	mon
wisky	NOM	wisky
ça	PRO:DEM	cela
vient	VER:pres	venir
?	SENT	?
!	SENT	!
