oh	INT	oh
mon	DET:POS	mon
dieu	NOM	dieu
mais	KON	mais
pourquoi	ADV	pourquoi
ce	PRO:DEM	ce
film	NOM	film
?	SENT	?
L'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
totalement	ADV	totalement
decousue	VER:pper	decousue
.	SENT	.
Les	DET:ART	le
blagues	NOM	blague
ne	ADV	ne
sont	VER:pres	être
pas	ADV	pas
droles	ADJ	droles
,	PUN	,
je	PRO:PER	je
n'	ADV	ne
avais	VER:impf	avoir
jamais	ADV	jamais
vu	VER:pper	voir
(	PUN	(
ou	KON	ou
plutot	NOM	plutot
entendu	VER:pper	entendre
)	PUN	)
une	DET:ART	un
salle	NOM	salle
de	PRP	de
cinema	VER:simp	cinema
rempli(	NOM	rempli(
!	SENT	!
)	PUN	)
aussi	ADV	aussi
calme	ADJ	calme
pendant	PRP	pendant
la	DET:ART	le
projection	NOM	projection
d'	PRP	de
un	DET:ART	un
film	NOM	film
dit	VER:pres	dire
comique	ADJ	comique
.	SENT	.
Et	KON	et
pour	PRP	pour
les	DET:ART	le
acteurs	NOM	acteur
;	PUN	;
Delon	NAM	Delon
fait	VER:pres	faire
du	PRP:det	du
Delon	NAM	Delon
,	PUN	,
Poelvoord	NAM	Poelvoord
fait	VER:pres	faire
du	PRP:det	du
poelvoord	NOM	poelvoord
,	PUN	,
et	KON	et
Garcia	VER:simp	Garcia
fait	VER:pper	faire
du	PRP:det	du
Garcia	NAM	Garcia
...	PUN	...
Rien	NAM	Rien
de	PRP	de
très	ADV	très
original	ADJ	original
...	PUN	...
En	VER:simp	En
ce	PRO:DEM	ce
qui	PRO:REL	qui
concerne	VER:pres	concerner
les	DET:ART	le
guest	ADJ	guest
star	NOM	star
tant	ADV	tant
attenduent	VER:subp	attenduent
(	PUN	(
enfin	ADV	enfin
si	KON	si
l'	PRO:PER	la|le
on	PRO:PER	on
veut	VER:pres	vouloir
)	PUN	)
elles	PRO:PER	elle
debarquent	VER:subp	debarquent
pour	PRP	pour
les	DET:ART	le
10	NUM	@card@
dernières	ADJ	dernier
minutes	NOM	minute
du	PRP:det	du
film	NOM	film
,	PUN	,
dans	PRP	dans
une	DET:ART	un
scène	NOM	scène
de	PRP	de
banquet	NOM	banquet
tourné	VER:pper	tourner
de	PRP	de
la	DET:ART	le
meme	ADJ	meme
manière	NOM	manière
(	PUN	(
mais	KON	mais
en	PRP	en
moins	ADV	moins
bien	ADV	bien
)	PUN	)
que	KON	que
le	DET:ART	le
banquet	NOM	banquet
du	PRP:det	du
Asterix	NAM	Asterix
de	PRP	de
Chabat	NAM	Chabat
.	SENT	.
En	PRP	en
résumé	NOM	résumé
évitez	VER:pres	éviter
ce	PRO:DEM	ce
film	NOM	film
de	PRP	de
tout	PRO:IND	tout
urgence	NOM	urgence
!	SENT	!
!	SENT	!
!	SENT	!
