Oui	INT	oui
le	DET:ART	le
scénario	NOM	scénario
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
est	VER:pres	être
basique	ADJ	basique
et	KON	et
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
l'	DET:ART	le
histoire	NOM	histoire
qui	PRO:REL	qui
est	VER:pres	être
une	DET:ART	un
véritable	ADJ	véritable
révolution	NOM	révolution
bien	ADV	bien
que	KON	que
celle	PRO:DEM	celui
ci	ADV	ci
soit	KON	soit
raconté	VER:pper	raconter
de	PRP	de
façon	NOM	façon
efficace	ADJ	efficace
,	PUN	,
intéressante	ADJ	intéressant
,	PUN	,
jamais	ADV	jamais
niaise	ADJ	niais
.	SENT	.
Cameron	NAM	Cameron
Est	NAM	Est
un	DET:ART	un
grand	ADJ	grand
conteur	NOM	conteur
et	KON	et
le	PRO:PER	le
prouve	VER:pres	prouver
à	PRP	à
nouveau	ADJ	nouveau
.	SENT	.
Mais	KON	mais
la	DET:ART	le
véritable	ADJ	véritable
REVOLUTION	NOM	REVOLUTION
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
images	NOM	image
de	PRP	de
synthèses	NOM	synthèse
d'	PRP	de
un	DET:ART	un
réalisme	NOM	réalisme
à	PRP	à
couper	VER:infi	couper
le	DET:ART	le
souffle	NOM	souffle
.	SENT	.
Oubliez	VER:pres	oublier
tout	PRO:IND	tout
ce	PRO:DEM	ce
que	PRO:REL	que
vous	PRO:PER	vous
avez	VER:pres	avoir
vu	VER:pper	voir
jusqu'	PRP	jusque
à	PRP	à
présent	ADJ	présent
,	PUN	,
AVATAR	NAM	AVATAR
réussi	VER:pper	réussir
le	DET:ART	le
tour	NOM	tour
de	PRP	de
force	NOM	force
de	PRP	de
nous	PRO:PER	nous
faire	VER:infi	faire
oublier	VER:infi	oublier
que	KON	que
Les	DET:ART	le
Na'vis	NAM	Na'vis
sont	VER:pres	être
des	PRP:det	du
créatures	NOM	créature
de	PRP	de
pixels	NOM	pixel
.	SENT	.
Les	DET:ART	le
images	NOM	image
sont	VER:pres	être
absolument	ADV	absolument
magnifique	ADJ	magnifique
,	PUN	,
les	DET:ART	le
personnages	NOM	personnage
attachants	ADJ	attachant
,	PUN	,
on	PRO:PER	on
rit	VER:pres	rire
,	PUN	,
on	PRO:PER	on
pleure	VER:pres	pleurer
et	KON	et
l'	PRO:PER	la|le
on	PRO:PER	on
s'	PRO:PER	se
émerveille	VER:pres	émerveiller
à	PRP	à
chaque	PRO:IND	chaque
instant	NOM	instant
de	PRP	de
cette	PRO:DEM	ce
planète	NOM	planète
fabuleuse	ADJ	fabuleux
qu'	PRO:REL	que
est	VER:pres	être
PANDORA	NAM	PANDORA
Merci	NAM	Merci
Mr	ABR	monsieur
Cameron	NAM	Cameron
