Olé	INT	olé
,	PUN	,
on	PRO:PER	on
touche	VER:pres	toucher
vraiment	ADV	vraiment
le	DET:ART	le
fond	NOM	fond
,	PUN	,
je	PRO:PER	je
me	PRO:PER	me
demande	VER:pres	demander
même	ADV	même
si	KON	si
c'	PRO:DEM	ce
est	VER:pres	être
pas	ADV	pas
le	DET:ART	le
pire	ADJ	pire
film	NOM	film
que	PRO:REL	que
je	PRO:PER	je
viens	VER:pres	venir
de	PRP	de
voir	VER:infi	voir
...	PUN	...
A	PRP	à
aucuns	PRO:IND	aucun
moments	NOM	moment
on	PRO:PER	on
rigole	VER:pres	rigoler
,	PUN	,
on	PRO:PER	on
s'	PRO:PER	se
endort	VER:pres	endormir
pendant	PRP	pendant
tout	PRO:IND	tout
le	DET:ART	le
film	NOM	film
,	PUN	,
l'	DET:ART	le
histoire	NOM	histoire
est	VER:pres	être
vraiment	ADV	vraiment
nulle	ADJ	nul
et	KON	et
l'	DET:ART	le
ennui	NOM	ennui
vous	PRO:PER	vous
envahie	VER:pper	envahir
dès	PRP	dès
les	DET:ART	le
premières	NUM	premier
minutes	NOM	minute
!	SENT	!
!	SENT	!
Seul	ADJ	seul
point	NOM	point
positif	ADJ	positif
,	PUN	,
le	DET:ART	le
jeu	NOM	jeu
d'	PRP	de
Astérix	NAM	Astérix
(	PUN	(
qui	PRO:REL	qui
nous	PRO:PER	nous
change	VER:pres	changer
de	PRP	de
Clavier	NAM	Clavier
)	PUN	)
et	KON	et
celui	PRO:DEM	celui
d'	PRP	de
Obélix	NAM	Obélix
toujours	ADV	toujours
excellent	ADJ	excellent
!	SENT	!
!	SENT	!
Poelvorde	NAM	Poelvorde
est	VER:pres	être
lourd	ADJ	lourd
du	PRP:det	du
début	NOM	début
à	PRP	à
la	DET:ART	le
fin	NOM	fin
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
son	DET:POS	son
rôle	NOM	rôle
et	KON	et
l'	DET:ART	le
histoire	NOM	histoire
fixée	VER:pper	fixer
sur	PRP	sur
lui	PRO:PER	lui
qui	PRO:REL	qui
sont	VER:pres	être
le	DET:ART	le
plus	ADV	plus
énervant	ADJ	énervant
...	PUN	...
Cela	VER:simp	celer
aurait	VER:cond	avoir
dût	VER:subi	devoir
se	PRO:PER	se
nommer	VER:infi	nommer
:	PUN	:
Brutus	NAM	Brutus
aux	PRP:det	au
Jeux	NAM	Jeux
Olypiques	NAM	Olypiques
,	PUN	,
un	DET:ART	un
conseil	NOM	conseil
pour	PRP	pour
8	NUM	@card@
euros	NOM	euro
et	KON	et
quelques	PRO:IND	quelque
la	DET:ART	le
place	NOM	place
,	PUN	,
allez	VER:pres	aller
voir	VER:infi	voir
un	DET:ART	un
autre	ADJ	autre
film	NOM	film
,	PUN	,
vous	PRO:PER	vous
ne	ADV	ne
rattez	VER:pres	rattez
absolument	ADV	absolument
rien	ADV	rien
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
