Oui	INT	oui
j'	PRO:PER	je
ai	VER:pres	avoir
vu	VER:pper	voir
ce	PRO:DEM	ce
"	PUN:cit	"
film	NOM	film
"	PUN:cit	"
car	KON	car
je	PRO:PER	je
voulait	VER:impf	vouloir
voir	VER:infi	voir
si	KON	si
les	DET:ART	le
critiques	NOM	critique
de	PRP	de
la	DET:ART	le
presse	NOM	presse
étaient	VER:impf	être
justifiées	VER:pper	justifier
et	KON	et
ma	DET:POS	mon
réponse	NOM	réponse
et	KON	et
NON	NAM	NON
.	SENT	.
Décidement	NAM	Décidement
la	DET:ART	le
presse	NOM	presse
est	VER:pres	être
gentille	ADJ	gentil
.	SENT	.
En	PRP	en
effet	NOM	effet
,	PUN	,
même	ADV	même
si	KON	si
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
fait	VER:pper	faire
que	KON	que
rire	VER:infi	rire
du	PRP:det	du
début	NOM	début
à	PRP	à
la	DET:ART	le
fin	ADJ	fin
ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
pas	ADV	pas
grace	ADJ	grace
au	PRP:det	au
gags	NOM	gag
,	PUN	,
enfin	ADV	enfin
,	PUN	,
si	KON	si
peu	ADV	peu
...	PUN	...
Je	PRO:PER	je
riais	VER:impf	rire
du	PRP:det	du
film	NOM	film
.	SENT	.
Le	DET:ART	le
cinéma	NOM	cinéma
français	ADJ	français
n'	ADV	ne
est	VER:pres	être
jamais	ADV	jamais
tombé	VER:pper	tomber
si	KON	si
bas	ADV	bas
et	KON	et
pourtant	ADV	pourtant
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
pas	ADV	pas
dire	VER:infi	dire
qu'	KON	que
ils	PRO:PER	il
n'	ADV	ne
avait	VER:impf	avoir
pas	ADV	pas
le	DET:ART	le
budget	NOM	budget
.	SENT	.
Cet	PRO:DEM	ce
Astérix	NAM	Astérix
ci	ADV	ci
est	VER:pres	être
au	PRP:det	au
fond	NOM	fond
du	PRP:det	du
gouffre	NOM	gouffre
(	PUN	(
enfin	ADV	enfin
j'	PRO:PER	je
espere	NOM	espere
sinon	KON	sinon
je	PRO:PER	je
n'	ADV	ne
imagine	VER:pres	imaginer
même	ADV	même
pas	ADV	pas
le	DET:ART	le
fond)avec	NOM	fond)avec
les	DET:ART	le
gags	NOM	gag
pris	VER:pper	prendre
et	KON	et
repris	VER:pper	reprendre
qui	PRO:REL	qui
ne	ADV	ne
donnent	VER:pres	donner
m^me	NOM	m^me
pas	ADV	pas
un	DET:ART	un
sourire	NOM	sourire
.	SENT	.
Le	DET:ART	le
défilé	NOM	défilé
de	PRP	de
starlettes	NOM	starlette
était	VER:impf	être
bien	ADV	bien
tenté	VER:pper	tenter
mais	KON	mais
si	KON	si
les	DET:ART	le
spectateurs	NOM	spectateur
voulait	VER:impf	vouloir
voir	VER:infi	voir
T.	NAM	T.
P.	NAM	P.
jouant	VER:ppre	jouer
au	PRP:det	au
basket	NOM	basket
ils	PRO:PER	il
pouvait	VER:impf	pouvoir
rester	VER:infi	rester
chez	PRP	chez
eux	PRO:PER	eux
.	SENT	.
Bref	ADV	bref
,	PUN	,
allez	VER:pres	aller
le	PRO:PER	le
voir	VER:infi	voir
si	KON	si
vous	PRO:PER	vous
avez	VER:pres	avoir
trop	ADV	trop
d'	PRP	de
argent	NOM	argent
,	PUN	,
non	ADV	non
,	PUN	,
en	PRP	en
fait	NOM	fait
achetez	VER:pres	acheter
vous	PRO:PER	vous
une	DET:ART	un
pizza	NOM	pizza
et	KON	et
regardez	VER:pres	regarder
un	DET:ART	un
film	NOM	film
(	PUN	(
peu	ADV	peu
importe	VER:pres	importer
lequel	PRO:REL	lequel
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
mieux	ADV	mieux
qu'	KON	que
Astérix	NAM	Astérix
)	PUN	)
.	SENT	.
