Astérix	NAM	Astérix
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
allégorie	NOM	allégorie
du	PRP:det	du
business	NOM	business
.	SENT	.
On	PRO:PER	on
nous	PRO:PER	nous
impose	VER:pres	imposer
des	PRP:det	du
films	NOM	film
people	NOM	people
.	SENT	.
Les	DET:ART	le
émissions	NOM	émission
font	VER:pres	faire
la	DET:ART	le
promotion	NOM	promotion
,	PUN	,
on	PRO:PER	on
voit	VER:pres	voir
des	PRP:det	du
affiches	NOM	affiche
.	SENT	.
Et	KON	et
ensuite	ADV	ensuite
lors	ADV	lors
des	PRP:det	du
gerards	NOM	gerards
et	KON	et
des	PRP:det	du
césars	NOM	césar
ils	PRO:PER	il
font	VER:pres	faire
tout	ADV	tout
gagné	VER:pper	gagner
.	SENT	.
Tout	PRO:IND	tout
est	VER:pres	être
calculé	VER:pper	calculer
!	SENT	!
J'	PRO:PER	je
espère	VER:pres	espérer
que	KON	que
la	DET:ART	le
production	NOM	production
française	ADJ	français
a	VER:pres	avoir
compris	VER:pper	comprendre
que	KON	que
100	NUM	@card@
millions	NOM	million
de	PRP	de
budget	NOM	budget
n'	ADV	ne
assure	VER:pres	assurer
pas	ADV	pas
la	DET:ART	le
réussite	NOM	réussite
.	SENT	.
COmparons	VER:pres	comparer
avec	PRP	avec
un	DET:ART	un
film	NOM	film
sorti	VER:pper	sortir
peu	ADV	peu
après	ADV	après
:	PUN	:
bienvenu	VER:pper	bienvenir
chez	PRP	chez
les	DET:ART	le
chtis	NOM	chtis
.	SENT	.
Dans	PRP	dans
ce	PRO:DEM	ce
dernier	ADJ	dernier
pas	NOM	pas
de	PRP	de
pub	NOM	pub
,	PUN	,
pas	ADV	pas
de	PRP	de
casting	NOM	casting
de	PRP	de
rêves	NOM	rêve
,	PUN	,
un	DET:ART	un
budget	NOM	budget
modeste	ADJ	modeste
mais	KON	mais
ils	PRO:PER	il
ont	VER:pres	avoir
compris	VER:pper	comprendre
que	KON	que
l'	DET:ART	le
amateur	NOM	amateur
de	PRP	de
cinéma	NOM	cinéma
ne	ADV	ne
recherche	VER:pres	rechercher
pas	ADV	pas
que	KON	que
les	DET:ART	le
beaux	ADJ	beau
effets.	NOM	effets.
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
un	DET:ART	un
fond	NOM	fond
dans	PRP	dans
l'	DET:ART	le
histoire	NOM	histoire
.	SENT	.
tout	PRO:IND	tout
ce	PRO:DEM	ce
kon	NOM	kon
peut	VER:pres	pouvoir
dire	VER:infi	dire
de	PRP	de
ce	PRO:DEM	ce
film	NOM	film
c'	PRO:DEM	ce
est	VER:pres	être
qu'	KON	que
il	PRO:PER	il
est	VER:pres	être
vide	ADJ	vide
.	SENT	.
bon	ADJ	bon
,	PUN	,
il	PRO:PER	il
fo	NOM	fo
ke	VER:subi	ke
j'	PRO:PER	je
oublie	VER:pres	oublier
ça	PRO:DEM	cela
prend	VER:pres	prendre
la	DET:ART	le
tête	NOM	tête
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
vu	VER:pper	voir
ce	PRO:DEM	ce
navet	NOM	navet
,	PUN	,
je	PRO:PER	je
vais	VER:pres	aller
regardé	VER:pper	regarder
france3	NOM	france3
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
surement	NOM	surement
mieux	ADV	mieux
...	PUN	...
